year,province,name,gender,count,rank,total_count
2024,Adana,Fatma,Kadın,31365,1,1139648
2024,Adana,Ayşe,Kadın,24843,2,1139648
2024,Adana,Emine,Kadın,23596,3,1139648
2024,Adana,Hatice,Kadın,20583,4,1139648
2024,Adana,Zeynep,Kadın,18781,5,1139648
2024,Adana,Elif,Kadın,16816,6,1139648
2024,Adana,Meryem,Kadın,10527,7,1139648
2024,Adana,Sultan,Kadın,7068,8,1139648
2024,Adana,Fadime,Kadın,7043,9,1139648
2024,Adana,Merve,Kadın,6929,10,1139648
2024,Adana,Zehra,Kadın,6770,11,1139648
2024,Adana,Özlem,Kadın,6640,12,1139648
2024,Adana,Leyla,Kadın,6564,13,1139648
2024,Adana,Songül,Kadın,6289,14,1139648
2024,Adana,Esra,Kadın,6244,15,1139648
2024,Adana,Yasemin,Kadın,5658,16,1139648
2024,Adana,Hülya,Kadın,5568,17,1139648
2024,Adana,Zeliha,Kadın,5346,18,1139648
2024,Adana,Büşra,Kadın,5237,19,1139648
2024,Adana,Tuğba,Kadın,4924,20,1139648
2024,Adana,Dilek,Kadın,4848,21,1139648
2024,Adana,Yağmur,Kadın,4829,22,1139648
2024,Adana,Melek,Kadın,4736,23,1139648
2024,Adana,Ayşegül,Kadın,4591,24,1139648
2024,Adana,Cennet,Kadın,4587,25,1139648
2024,Adana,Sibel,Kadın,4581,26,1139648
2024,Adana,Kübra,Kadın,4519,27,1139648
2024,Adana,Hacer,Kadın,4447,28,1139648
2024,Adana,Aysel,Kadın,4434,29,1139648
2024,Adana,Rabia,Kadın,4218,30,1139648
2024,Adıyaman,Fatma,Kadın,13347,1,301497
2024,Adıyaman,Zeynep,Kadın,8919,2,301497
2024,Adıyaman,Emine,Kadın,7701,3,301497
2024,Adıyaman,Ayşe,Kadın,5683,4,301497
2024,Adıyaman,Elif,Kadın,5668,5,301497
2024,Adıyaman,Hatice,Kadın,4946,6,301497
2024,Adıyaman,Zeliha,Kadın,4017,7,301497
2024,Adıyaman,Hanım,Kadın,2609,8,301497
2024,Adıyaman,Remziye,Kadın,2384,9,301497
2024,Adıyaman,Songül,Kadın,2170,10,301497
2024,Adıyaman,Meryem,Kadın,2101,11,301497
2024,Adıyaman,Medine,Kadın,2078,12,301497
2024,Adıyaman,Zehra,Kadın,2069,13,301497
2024,Adıyaman,Merve,Kadın,1982,14,301497
2024,Adıyaman,Sultan,Kadın,1864,15,301497
2024,Adıyaman,Esra,Kadın,1853,16,301497
2024,Adıyaman,Esma,Kadın,1662,17,301497
2024,Adıyaman,Aysel,Kadın,1609,18,301497
2024,Adıyaman,Rabia,Kadın,1566,19,301497
2024,Adıyaman,Ayşegül,Kadın,1564,20,301497
2024,Adıyaman,Büşra,Kadın,1532,21,301497
2024,Adıyaman,Özlem,Kadın,1490,22,301497
2024,Adıyaman,Leyla,Kadın,1478,23,301497
2024,Adıyaman,Zahide,Kadın,1424,24,301497
2024,Adıyaman,Bedriye,Kadın,1423,25,301497
2024,Adıyaman,Yağmur,Kadın,1345,26,301497
2024,Adıyaman,Kübra,Kadın,1330,27,301497
2024,Adıyaman,Fidan,Kadın,1299,28,301497
2024,Adıyaman,Yıldız,Kadın,1194,29,301497
2024,Adıyaman,Sibel,Kadın,1148,30,301497
2024,Afyonkarahisar,Ayşe,Kadın,11681,1,374930
2024,Afyonkarahisar,Fatma,Kadın,11048,2,374930
2024,Afyonkarahisar,Emine,Kadın,9919,3,374930
2024,Afyonkarahisar,Hatice,Kadın,9534,4,374930
2024,Afyonkarahisar,Sultan,Kadın,8992,5,374930
2024,Afyonkarahisar,Fadime,Kadın,5219,6,374930
2024,Afyonkarahisar,Zeynep,Kadın,4845,7,374930
2024,Afyonkarahisar,Şerife,Kadın,4639,8,374930
2024,Afyonkarahisar,Elif,Kadın,4387,9,374930
2024,Afyonkarahisar,Keziban,Kadın,3415,10,374930
2024,Afyonkarahisar,Hacer,Kadın,2917,11,374930
2024,Afyonkarahisar,Zehra,Kadın,2877,12,374930
2024,Afyonkarahisar,Meryem,Kadın,2766,13,374930
2024,Afyonkarahisar,Merve,Kadın,2633,14,374930
2024,Afyonkarahisar,Hanife,Kadın,2547,15,374930
2024,Afyonkarahisar,Rabia,Kadın,2481,16,374930
2024,Afyonkarahisar,Ummahan,Kadın,2356,17,374930
2024,Afyonkarahisar,Dudu,Kadın,2328,18,374930
2024,Afyonkarahisar,Hava,Kadın,2284,19,374930
2024,Afyonkarahisar,Dilek,Kadın,1942,20,374930
2024,Afyonkarahisar,Büşra,Kadın,1853,21,374930
2024,Afyonkarahisar,Satı,Kadın,1775,22,374930
2024,Afyonkarahisar,Yasemin,Kadın,1757,23,374930
2024,Afyonkarahisar,Cemile,Kadın,1746,24,374930
2024,Afyonkarahisar,Kübra,Kadın,1717,25,374930
2024,Afyonkarahisar,Sevim,Kadın,1694,26,374930
2024,Afyonkarahisar,Tuğba,Kadın,1656,27,374930
2024,Afyonkarahisar,Gülsüm,Kadın,1590,28,374930
2024,Afyonkarahisar,Ayşegül,Kadın,1571,29,374930
2024,Afyonkarahisar,Zeliha,Kadın,1547,30,374930
2024,Ağrı,Fatma,Kadın,6178,1,240973
2024,Ağrı,Zeynep,Kadın,5029,2,240973
2024,Ağrı,Elif,Kadın,3339,3,240973
2024,Ağrı,Ayşe,Kadın,3153,4,240973
2024,Ağrı,Rabia,Kadın,2589,5,240973
2024,Ağrı,Hatice,Kadın,2309,6,240973
2024,Ağrı,Berfin,Kadın,1718,7,240973
2024,Ağrı,Esra,Kadın,1708,8,240973
2024,Ağrı,Meryem,Kadın,1668,9,240973
2024,Ağrı,Zehra,Kadın,1653,10,240973
2024,Ağrı,Songül,Kadın,1617,11,240973
2024,Ağrı,Melek,Kadın,1541,12,240973
2024,Ağrı,Yağmur,Kadın,1471,13,240973
2024,Ağrı,Emine,Kadın,1459,14,240973
2024,Ağrı,Dilan,Kadın,1407,15,240973
2024,Ağrı,Leyla,Kadın,1384,16,240973
2024,Ağrı,Esma,Kadın,1327,17,240973
2024,Ağrı,Hiranur,Kadın,1324,18,240973
2024,Ağrı,Medine,Kadın,1316,19,240973
2024,Ağrı,Özlem,Kadın,1302,20,240973
2024,Ağrı,Merve,Kadın,1292,21,240973
2024,Ağrı,Yıldız,Kadın,1291,22,240973
2024,Ağrı,Filiz,Kadın,1233,23,240973
2024,Ağrı,Sevda,Kadın,1231,24,240973
2024,Ağrı,Dilek,Kadın,1224,25,240973
2024,Ağrı,Semra,Kadın,1222,26,240973
2024,Ağrı,Hülya,Kadın,1205,27,240973
2024,Ağrı,Sibel,Kadın,1199,28,240973
2024,Ağrı,Hanım,Kadın,1185,29,240973
2024,Ağrı,Büşra,Kadın,1184,30,240973
2024,Aksaray,Hatice,Kadın,5406,1,219736
2024,Aksaray,Ayşe,Kadın,4529,2,219736
2024,Aksaray,Fatma,Kadın,4146,3,219736
2024,Aksaray,Zeynep,Kadın,3707,4,219736
2024,Aksaray,Emine,Kadın,3259,5,219736
2024,Aksaray,Sultan,Kadın,2942,6,219736
2024,Aksaray,Meryem,Kadın,2503,7,219736
2024,Aksaray,Elif,Kadın,2450,8,219736
2024,Aksaray,Döndü,Kadın,1949,9,219736
2024,Aksaray,Fadime,Kadın,1923,10,219736
2024,Aksaray,Merve,Kadın,1625,11,219736
2024,Aksaray,Rabia,Kadın,1575,12,219736
2024,Aksaray,Hacer,Kadın,1373,13,219736
2024,Aksaray,Tuğba,Kadın,1266,14,219736
2024,Aksaray,Zehra,Kadın,1236,15,219736
2024,Aksaray,Fadimana,Kadın,1222,16,219736
2024,Aksaray,Esra,Kadın,1139,17,219736
2024,Aksaray,Yasemin,Kadın,1117,18,219736
2024,Aksaray,Büşra,Kadın,1095,19,219736
2024,Aksaray,Leyla,Kadın,1071,20,219736
2024,Aksaray,Kübra,Kadın,1020,21,219736
2024,Aksaray,Zeliha,Kadın,1004,22,219736
2024,Aksaray,Songül,Kadın,977,23,219736
2024,Aksaray,Melek,Kadın,964,24,219736
2024,Aksaray,Dilek,Kadın,943,25,219736
2024,Aksaray,Yeter,Kadın,936,26,219736
2024,Aksaray,Hava,Kadın,933,27,219736
2024,Aksaray,Özlem,Kadın,913,28,219736
2024,Aksaray,Medine,Kadın,879,29,219736
2024,Aksaray,Elmas,Kadın,873,30,219736
2024,Amasya,Fatma,Kadın,4690,1,170612
2024,Amasya,Emine,Kadın,4316,2,170612
2024,Amasya,Ayşe,Kadın,3695,3,170612
2024,Amasya,Hatice,Kadın,2729,4,170612
