year,province,name,gender,count,rank,total_count
2024,Adana,Mehmet,male,39825,1,1140836
2024,Adana,Mustafa,male,30673,2,1140836
2024,Adana,Ahmet,male,26533,3,1140836
2024,Adana,Ali,male,24744,4,1140836
2024,Adana,Yusuf,male,17266,5,1140836
2024,Adana,Hasan,male,15345,6,1140836
2024,Adana,İbrahim,male,15096,7,1140836
2024,Adana,Hüseyin,male,14587,8,1140836
2024,Adana,Murat,male,14211,9,1140836
2024,Adana,Ramazan,male,11730,10,1140836
2024,Adana,Ömer,male,11239,11,1140836
2024,Adana,İsmail,male,11189,12,1140836
2024,Adana,Abdullah,male,8348,13,1140836
2024,Adana,Osman,male,8254,14,1140836
2024,Adana,Mahmut,male,8056,15,1140836
2024,Adana,Halil,male,7839,16,1140836
2024,Adana,Süleyman,male,6894,17,1140836
2024,Adana,Hakan,male,6217,18,1140836
2024,Adana,Fatih,male,5901,19,1140836
2024,Adana,Cumali,male,5747,20,1140836
2024,Adana,Emre,male,5731,21,1140836
2024,Adana,Mehmet Ali,male,5138,22,1140836
2024,Adana,Adem,male,5039,23,1140836
2024,Adana,Kadir,male,4966,24,1140836
2024,Adana,Gökhan,male,4901,25,1140836
2024,Adana,Serkan,male,4546,26,1140836
2024,Adana,Muhammed,male,4479,27,1140836
2024,Adana,Kemal,male,4436,28,1140836
2024,Adana,Salih,male,4430,29,1140836
2024,Adana,Furkan,male,4291,30,1140836
2024,Adıyaman,Mehmet,male,16790,1,309540
2024,Adıyaman,Mustafa,male,10277,2,309540
2024,Adıyaman,Ali,male,6741,3,309540
2024,Adıyaman,Yusuf,male,6626,4,309540
2024,Adıyaman,Ahmet,male,6482,5,309540
2024,Adıyaman,Ramazan,male,5727,6,309540
2024,Adıyaman,Hüseyin,male,5664,7,309540
2024,Adıyaman,Hasan,male,5416,8,309540
2024,Adıyaman,Mahmut,male,4881,9,309540
2024,Adıyaman,Abuzer,male,3847,10,309540
2024,Adıyaman,Ömer,male,3733,11,309540
2024,Adıyaman,Osman,male,3233,12,309540
2024,Adıyaman,İbrahim,male,3166,13,309540
2024,Adıyaman,Abdullah,male,3057,14,309540
2024,Adıyaman,Abdurrahman,male,2878,15,309540
2024,Adıyaman,Murat,male,2537,16,309540
2024,Adıyaman,Muhammed,male,2510,17,309540
2024,Adıyaman,Memet,male,2486,18,309540
2024,Adıyaman,İsmail,male,2324,19,309540
2024,Adıyaman,Mehmet Ali,male,1630,20,309540
