year,province,name,gender,count,rank,total_count
2024,Adana,Alparslan,male,206,1,13553
2024,Adana,Aslan,male,167,2,13553
2024,Adana,Yusuf,male,155,3,13553
2024,Adana,Göktuğ,male,144,4,13553
2024,Adana,Ömer Asaf,male,126,5,13553
2024,Adana,Eymen,male,122,6,13553
2024,Adana,Ömer,male,122,6,13553
2024,Adana,Miran,male,121,7,13553
2024,Adana,Aras,male,119,8,13553
2024,Adana,Kerem,male,119,8,13553
2024,Adana,Metehan,male,119,8,13553
2024,Adana,Atlas,male,103,9,13553
2024,Adana,Mustafa,male,103,9,13553
2024,Adana,Ali Asaf,male,95,10,13553
2024,Adana,Ahmet,male,93,11,13553
2024,Adana,Ali,male,92,12,13553
2024,Adana,Mehmet,male,92,12,13553
2024,Adana,Miraç,male,89,13,13553
2024,Adana,Poyraz,male,80,14,13553
2024,Adana,Muhammed Ali,male,76,15,13553
2024,Adana,Yiğit,male,73,16,13553
2024,Adana,Kuzey,male,72,17,13553
2024,Adana,İbrahim,male,71,18,13553
2024,Adana,Ayaz,male,71,18,13553
2024,Adana,Çınar,male,68,19,13553
2024,Adana,Muhammed,male,68,19,13553
2024,Adana,Deniz,male,66,20,13553
2024,Adana,Alperen,male,66,20,13553
2024,Adana,Aybars,male,66,20,13553
2024,Adana,Hamza,male,65,21,13553
2024,Adana,Emir,male,65,21,13553
2024,Adana,Umut,male,61,22,13553
2024,Adana,Yunus Emre,male,55,23,13553
2024,Adana,Karan,male,55,23,13553
2024,Adana,Mert,male,54,24,13553
2024,Adana,Halil İbrahim,male,53,25,13553
2024,Adana,Ege,male,52,26,13553
2024,Adana,Yağız,male,52,26,13553
2024,Adana,Asil,male,51,27,13553
2024,Adana,Rüzgar,male,48,28,13553
2024,Adana,Uras,male,44,29,13553
2024,Adana,Hasan,male,43,30,13553
2024,Adana,Kıvanç,male,43,30,13553
2024,Adıyaman,Yusuf,male,73,1,4420
2024,Adıyaman,Ömer Asaf,male,58,2,4420
2024,Adıyaman,Ömer,male,52,3,4420
2024,Adıyaman,Alparslan,male,48,4,4420
2024,Adıyaman,Miran,male,44,5,4420
2024,Adıyaman,Muhammed,male,43,6,4420
2024,Adıyaman,Muhammed Ali,male,42,7,4420
2024,Adıyaman,Kerem,male,41,8,4420
2024,Adıyaman,Ali Asaf,male,35,9,4420
2024,Adıyaman,Ali,male,34,10,4420
2024,Adıyaman,Mustafa,male,34,10,4420
2024,Adıyaman,Ahmet,male,33,11,4420
2024,Adıyaman,Ayaz,male,33,11,4420
2024,Adıyaman,Aras,male,29,12,4420
2024,Adıyaman,Eymen,male,29,12,4420
2024,Adıyaman,Miraç,male,29,12,4420
2024,Adıyaman,Metehan,male,24,13,4420
2024,Adıyaman,Poyraz,male,24,13,4420
2024,Adıyaman,Alperen,male,23,14,4420
2024,Adıyaman,Mehmet,male,23,14,4420
2024,Adıyaman,İbrahim,male,22,15,4420
2024,Adıyaman,Muhammed Asaf,male,22,15,4420
2024,Adıyaman,Hamza,male,20,16,4420
2024,Adıyaman,Ömer Faruk,male,20,16,4420
2024,Adıyaman,Mehmet Ali,male,19,17,4420
2024,Adıyaman,Ramazan,male,19,17,4420
2024,Adıyaman,Muhammed Efe,male,18,18,4420
2024,Adıyaman,Umut,male,18,18,4420
2024,Adıyaman,Muhammed Yusuf,male,17,19,4420
2024,Adıyaman,Yiğit,male,17,19,4420
2024,Adıyaman,Hasan,male,16,20,4420
2024,Adıyaman,Emirhan,male,16,20,4420
2024,Adıyaman,Furkan,male,16,20,4420
2024,Adıyaman,Halil İbrahim,male,16,20,4420
2024,Adıyaman,Muhammed Mustafa,male,16,20,4420
2024,Adıyaman,Yiğit Ali,male,16,20,4420
2024,Adıyaman,Baran,male,15,21,4420
2024,Adıyaman,Berat,male,15,21,4420
2024,Adıyaman,Hüseyin,male,15,21,4420
2024,Adıyaman,Muhammed Emir,male,15,21,4420
2024,Adıyaman,Ali Osman,male,14,22,4420
2024,Adıyaman,Burak,male,14,22,4420
2024,Adıyaman,Kerem Ali,male,14,22,4420
2024,Adıyaman,Mert,male,14,22,4420
2024,Adıyaman,Muhammed Emin,male,14,22,4420
2024,Adıyaman,Muhammed Yiğit,male,14,22,4420
2024,Adıyaman,Rüzgar,male,14,22,4420
2024,Adıyaman,Abdullah,male,13,23,4420
2024,Adıyaman,Göktuğ,male,13,23,4420
2024,Adıyaman,Muhammed Aras,male,13,23,4420
2024,Adıyaman,Talha,male,13,23,4420
2024,Adıyaman,Yiğit Efe,male,13,23,4420
2024,Adıyaman,Yunus Emre,male,13,23,4420
