Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4686217275219615,1.6653345369377348e-16,0.28913220059355055,5.551115123125783e-17,1.4667084743573822,2.220446049250313e-16,1.0,0.0,-1379595.6595323524,2.3283064365386963e-10,-1395765.3746738548,6.984919309616089e-10
3,0.2803509285783463,0.005707712200780421,0.1650044921703126,0.00390903194357351,1.7724707077075814,0.01504268373645543,0.84257130048584,0.13567693593310562,-1384625.4445659728,95.21151742550099,-1408881.214502805,95.21151742550099
4,0.2880649318261402,0.030051603118601528,0.1703240844687439,0.018084256593086056,1.6737087143587344,0.14864345890919894,0.7658642602199925,0.20008007321242474,-1381641.519691925,143.36145956918625,-1413983.3444240857,143.36145956918625
5,0.238492287111677,0.021991776384612284,0.14066977057927438,0.012839440429473875,1.8480398713121178,0.13187784129094587,0.6437846688745241,0.11584932440286214,-1375340.5910252095,818.404582084505,-1415768.470552699,818.404582084505
6,0.21851101323309385,0.023250725311558182,0.12742101630447603,0.014232960161976832,1.8620812632597412,0.11199182866918271,0.6289707018392351,0.1103316113662252,-1367684.0162437218,762.0134873624836,-1416197.95056654,762.0134873624836
7,0.21327833424234455,0.029269996212713832,0.12363115399868281,0.017270043714479946,1.7880063180345218,0.10937952326659445,0.6384508890277779,0.10728347640143128,-1358513.8323062279,765.129483348209,-1415113.8214243748,765.1294833482087
8,0.1969687534319056,0.023218492883607483,0.11304913288939474,0.012982313756502925,1.7811797701539862,0.09487933312656094,0.6161230424463355,0.09394125307016882,-1348523.8742205345,708.2418216834226,-1413209.9181340104,708.2418216834226
9,0.1821267714522785,0.02371188570204377,0.10482526861211489,0.013123841633760222,1.7648282178144288,0.09510087002556035,0.5782028131812132,0.08641089806256641,-1337979.8077916212,670.1228059384822,-1410751.906500426,670.1228059384822
10,0.16963937125673859,0.022869093849805986,0.09808614288387711,0.012842509312857717,1.7458204530378527,0.10756197973457522,0.5461792956811011,0.0858901405062176,-1327011.883405126,644.0157773490014,-1407870.0369092596,644.0157773490014
11,0.17067542916871298,0.0215466389422391,0.09862369467937893,0.012080380217489748,1.6796950502433219,0.10046897150615419,0.5365437318704149,0.08738294972546592,-1315943.673610173,714.9892883466716,-1404887.8819096356,714.9892883466716
12,0.16800523333909492,0.02116148335789795,0.09750513527905047,0.011856309463609637,1.6308954050830595,0.11227591761972572,0.5256597163935838,0.08508452243242366,-1304565.7694683035,782.5251574340982,-1401596.0325630947,782.5251574340982
13,0.16684043563070589,0.023786889928062716,0.09723086823155727,0.013525313205563962,1.577024992331381,0.0979925435515362,0.5154596264336411,0.08494503081775229,-1292915.870583354,843.5319632294797,-1398032.1884734738,843.5319632294874
14,0.16336008056051848,0.025089423107859814,0.09544670846735802,0.014314037293340675,1.5458892708235872,0.08033923479498298,0.5014867095890558,0.08090211746015384,-1281341.8759857614,908.5657185912002,-1394544.2486712104,908.5657185912002
