Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.45535568224017564,0.0017988473265655464,0.2795755273983068,0.0009707636723841195,1.491045952783261,0.007954039391014857,0.9923950467532966,0.022431478428611512,-872295.0700655613,20.235019052246674,-880385.9137591998,20.235019052246674
3,0.30346323961067057,0.001753044964683743,0.1781238072000094,0.0011501075921566124,1.684262025447756,0.00558885213847592,0.988732929309318,0.04508279984564984,-889191.7714412436,15.053962178886092,-901329.2342062783,15.053962178886087
4,0.329391368721732,0.0007736645762181932,0.19496406950648748,0.0005301111605815705,1.5189138799603794,0.002500376570571795,0.968917819838442,0.03299344832923256,-902826.1959197574,60.07712828588235,-919010.277756188,60.07712828588235
5,0.32566974570284146,0.007102324418309516,0.19211221147606383,0.004206330116635825,1.3205005379616028,0.0695497004060296,0.8240430916047692,0.09041505778843867,-908430.7100146792,523.4359234233654,-928661.4109225066,523.4359234233652
6,0.3036482958123888,0.013559748992081061,0.17820366398524534,0.008199075414204834,1.4035952953946287,0.09156918625059489,0.7333417726988412,0.10373865103349299,-911838.4576962559,661.2783897235028,-936115.7776754795,661.2783897235026
7,0.3021323100248636,0.020212519303693367,0.17614072305262712,0.011204632913253982,1.3856048962327356,0.07553340586953661,0.7536719756921103,0.1109144486675137,-914431.8406907654,1034.0535121402042,-942755.7797413857,1034.0535121402042
8,0.2785582448250344,0.026658412374676387,0.16206276057852964,0.01503350807885295,1.3820311928906452,0.08083787708909641,0.6687447043655603,0.10320533722438743,-915286.3454470795,1284.187290339997,-947656.9035690959,1284.1872903399972
9,0.26067542903390223,0.025799854661768602,0.15112151675374316,0.014798020263069193,1.3752400380914571,0.09563206185276134,0.6096160691753748,0.10364090173393785,-916077.2031552929,1320.7104966943784,-952494.3803487063,1320.7104966943784
10,0.24713402665045917,0.024931189658960667,0.1435340201592986,0.013548193891016212,1.356908974405881,0.08528246932672232,0.5760244264686529,0.10596909192703644,-917262.0035821269,1504.2788278519072,-957725.7998469365,1504.2788278519072
11,0.23917352584862794,0.028709503390552008,0.13875805041103934,0.0156480717377495,1.3357512267630796,0.07867684759687842,0.5494727622490894,0.10648113254826484,-918266.6853404678,1571.17870238967,-962777.1006766738,1571.17870238967
12,0.23695424189489736,0.02535473086443109,0.13714858539497582,0.013923207403545499,1.307538843781243,0.07076011735225106,0.5595103638195563,0.10107411510705759,-919611.424298955,1860.5754776245085,-968168.4587065574,1860.5754776245085
13,0.23072398934691624,0.02475723947034654,0.1336337660349077,0.013558896576973501,1.2890898929192232,0.06673731512692548,0.5440232909001158,0.09908922730728716,-921149.5082462261,1834.6043772752323,-973753.161725225,1834.604377275232
14,0.22841316693726885,0.020808711340902016,0.13253268789039094,0.011390412104508448,1.2657353919748533,0.0628991304713297,0.5431605267783004,0.09606586089708265,-922415.1586837503,1991.8918677450874,-979065.4312341457,1991.8918677450872
