Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.513439112376787,0.0,0.32114524098166397,5.551115123125783e-17,1.3451305579595243,2.220446049250313e-16,1.0,0.0,4688709.743354856,9.313225746154785e-10,1267298.1073874896,0.0
3,0.40980657670849235,0.06389538788853304,0.24965438568272721,0.04495750056271175,1.4255226229522606,0.2808326406068962,0.6214905867887272,0.2640010831662261,4695459.000881663,23.390813304452404,1270003.140292056,23.390813304405338
4,0.330605269216276,0.02889023945399199,0.19569018314191988,0.01639140795546697,1.4204960121877261,0.19432836017972674,0.7072000046083858,0.1826518834634479,4702233.68994221,22.142658553263747,1272733.6047303607,22.142658553332353
5,0.30114880624679424,0.026152600583173004,0.17690799362192183,0.01531629973039545,1.4349136036071146,0.13709485356277895,0.5976735933749034,0.18388042608628904,4709033.260430312,31.551691495416932,1275488.9505962208,31.551691495413785
6,0.29971396828273295,0.02472824629267414,0.17543189363629996,0.014785368258499883,1.4142876879101076,0.08833836038340662,0.6272041615478849,0.16133914961464457,4715837.448576847,25.072504988818817,1278248.9141205149,25.07250498877114
7,0.2837997991809325,0.025585683767090972,0.16515234928325317,0.015148404072998658,1.426217872032,0.10255925943823388,0.6471223165067911,0.13301379099037297,4722627.325236016,24.101867130657435,1280994.5661574411,24.101867130580843
8,0.2734839799444714,0.026180673197538605,0.15871181657698347,0.015304343806451579,1.4186577642097904,0.10324530717413975,0.6482608883131707,0.1141077155684598,4729424.55352351,22.9869374884877,1283747.5698226932,22.986937488500157
9,0.2662892866395394,0.0285011765538988,0.15418825963076396,0.016726320090520396,1.3999790595451418,0.1037524626154958,0.6298855827650137,0.12580989857512043,4736219.585885085,25.139353195830115,1286498.3775620277,25.13935319578909
10,0.2495500556146103,0.023224167367005458,0.14452848630081888,0.01338515386554549,1.4139440488137867,0.10524448821754896,0.5718308678167057,0.11331452234559974,4743018.929556003,23.274943806938623,1289253.4966107039,23.274943806908126
11,0.246653138037981,0.024067695107160905,0.14295913116220219,0.013607320542737469,1.3741974061229567,0.10431631982467995,0.5650102479840605,0.11363303563540156,4749814.15241934,26.90238789341979,1292004.4948517983,26.902387893418773
12,0.24593778448909792,0.021437178584393035,0.14223586646629222,0.011931338273093721,1.3413351953764439,0.09246488697959117,0.5653946539491425,0.11084617795440929,4756615.346017195,22.13306468612036,1294761.4638274123,22.133064686152988
13,0.236745287040793,0.02079942516175646,0.1369099992645752,0.011605134683784908,1.3278972392033344,0.08052307641194878,0.5324089528879768,0.09786857613996269,4763416.036460086,25.044866681229106,1297517.929648061,25.04486668128074
14,0.23330395116288016,0.017945058421571156,0.13520157655816414,0.010088570316990403,1.3042977903837594,0.07490372079165494,0.5245179066457776,0.09529463930240191,4770211.8984661875,31.50471744267664,1300269.5670319207,31.50471744266991
