Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5134391123767869,0.0,0.3198426813239936,5.551115123125783e-17,1.3747515515649982,4.440892098500626e-16,1.0,0.0,-1557278.6158555488,4.656612873077393e-10,-1573448.330997052,2.3283064365386963e-10
3,0.341847434989432,0.001172110019805018,0.1908429379623835,0.00117632044908212,1.6633083182581003,0.006812816478224565,0.9862889918297516,0.013928789795128934,-1547050.098714405,15.830519491033932,-1571305.8686512366,15.830519491033934
4,0.31558434723939827,0.0015916761896784452,0.1757039489723972,0.0008491070688200016,1.5905454202876579,0.004232036588315512,0.961678986192488,0.034602511890640265,-1534771.6612762958,6.869423629133248,-1567113.486008457,6.86942362913325
5,0.2869602268003558,0.011126487994010795,0.15822399008246837,0.005281906621374366,1.7079081767961655,0.05082805525144539,0.7949885608382674,0.1256070881769574,-1521845.3342135516,43.91010996920978,-1562273.2137410408,43.91010996920978
6,0.3090570897989746,0.012991540939489787,0.16844887811772055,0.005523820875944785,1.5694335019747292,0.033678093913228006,0.8919678352900903,0.08439862693832502,-1508775.7032621894,58.34118121814096,-1557289.6375850076,58.34118121814096
7,0.27204125506891325,0.017017691162750464,0.16038267424712102,0.008450124021380479,1.5984918120707876,0.04976267338738699,0.7975209581469737,0.08443293876019177,-1495345.2334345249,128.87292537347332,-1551945.222552672,128.87292537347332
8,0.24710287362677297,0.017817003208898525,0.14829850909601547,0.010491045238168335,1.5867324723767924,0.07943297627295752,0.757344726655559,0.08296299995082643,-1481631.7833978399,124.64122388292958,-1546317.8273113158,124.64122388292958
9,0.23473221534881245,0.020681299418916325,0.14184405205616224,0.013839653413325255,1.5598676600678445,0.08668564532607224,0.7260803105845857,0.08638474386051248,-1467796.4631392858,124.4326536199671,-1540568.5618480903,124.4326536199671
10,0.2270744068866021,0.02147240933693782,0.14235813767088254,0.013662780140560061,1.502681021690171,0.08928616565502302,0.6970859834052094,0.0871661414428855,-1453883.8380286328,111.47210401995977,-1534741.9915327665,111.47210401995977
11,0.22199548918234097,0.01941269086448981,0.14160431205257193,0.014025077961452187,1.4774931135532665,0.09572131834421832,0.6517843336454742,0.09107760502760588,-1439970.3493665159,109.22263990982198,-1528914.557665978,109.222639909822
12,0.2191463265112709,0.01937161051505955,0.14448140127020737,0.013182236333679851,1.433992150664542,0.09195297223811263,0.6401226376810736,0.09693312917050506,-1426052.6725194664,124.96392889980388,-1523082.9356142578,124.96392889980389
13,0.21413418083291447,0.01847397203928591,0.14122931621354104,0.010306992276023223,1.4317278473574893,0.08169655106087743,0.6124659070149381,0.08608482868396042,-1412037.3729460526,110.81048866553387,-1517153.690836172,110.81048866553327
14,0.2109300365694462,0.018380934578522554,0.1380292590429079,0.01153377419352656,1.4019714251276738,0.09695831335644778,0.6080890529431601,0.08719357702922052,-1398047.0944338473,126.6089487637747,-1511249.4671192958,126.60894876377472
