Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.39897995812406717,0.18820453348281752,0.24952130366269196,0.11562903957330123,1.4538308936966013,0.13002971052140982,0.6012188988378738,0.49026005287842406,4661195.76895295,14.753042470255659,1239784.1329855854,14.753042470565758
3,0.4656169347349579,0.04066700556826685,0.29200540789123264,0.029404208802338086,1.1684045697633394,0.2139405344727484,0.7333173523239316,0.15952738734797173,4668258.657536172,32.267843854675974,1242802.7969465647,32.267843854697404
4,0.3361536515383831,0.03232886696713268,0.19672781976927453,0.01988975877934448,1.357355642525185,0.10565191994206016,0.6177168728667393,0.2330541170782782,4675397.817776192,21.991845232875804,1245897.7325643427,21.99184523296764
5,0.2984277655893432,0.02788556524217702,0.17326334732138254,0.014001431307837063,1.4102279480926254,0.10753522580471238,0.5570621994613365,0.18298308248325654,4682549.161789564,27.93209773338078,1249004.8519554732,27.932097733358418
6,0.28558408092670684,0.03014994361924322,0.1635746532224971,0.0136415444288853,1.3958259743111945,0.09387350133303642,0.5707389505394911,0.1708247063864805,4689698.906927535,22.396472372457144,1252110.3724712036,22.39647237246808
7,0.28042779907080484,0.025441980093716773,0.16095676533610576,0.01146080926883718,1.3788551215896914,0.09133030379787374,0.6410365260906435,0.1466764439332011,4696839.592872473,20.07977530668924,1255206.833793898,20.079775306655662
8,0.2703833499376122,0.029659509367102956,0.15781934852718865,0.01429272585733607,1.3811678215433678,0.07642783507976258,0.6619898614881069,0.11917324564124662,4703982.448418745,17.950330653894905,1258305.4647179279,17.95033065394174
9,0.25350224577591196,0.04280872128350643,0.15305103568615727,0.013976749170664956,1.3672148690460078,0.0869342657372729,0.6389522247630638,0.12457403373925414,4711130.198925626,19.135918910285216,1261408.990602568,19.135918910301154
10,0.2364392282016264,0.03826542589746206,0.14864434037755275,0.013737260428457953,1.3498652728704386,0.09150640478225112,0.6096410931099399,0.11567595179473503,4718277.724497218,17.37124940533022,1264512.2915519183,17.371249405345633
11,0.23343670996385732,0.03304167029552755,0.14892339811512134,0.011393185417932663,1.3242754580341076,0.08450925346754354,0.6083168429077258,0.09992522173594934,4725425.364190786,23.003353238775237,1267615.706623244,23.003353238739916
12,0.22707526414507792,0.030934632908434206,0.14651711417736085,0.011694358141728077,1.294178538624568,0.09501736556411243,0.6033381180143998,0.09922224417383761,4732577.725557354,25.570823431618773,1270723.8433675715,25.570823431664465
13,0.2153130791027273,0.026764315814513235,0.14202906175623425,0.013627423800163132,1.2806218571315267,0.08887516849319868,0.5747765247007904,0.09862128653845544,4739729.776568966,26.13148804124748,1273831.6697569413,26.13148804125977
14,0.21856007004095995,0.019076846391064183,0.14208008575807873,0.01093711384554142,1.2629500803613585,0.08088193483607578,0.5578787171031098,0.09569982318038923,4746881.260515802,25.27695901844716,1276938.9290815347,25.276959018503447
