Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5134391123767869,0.0,0.3311131241902613,5.551115123125783e-17,1.3497860901356942,0.0,1.0,0.0,-1579216.8638075944,2.3283064365386963e-10,-1595386.5789490973,2.3283064365386963e-10
3,0.3401854738761442,1.1102230246251565e-16,0.19119764568247138,2.7755575615628914e-17,1.635074300775699,1.6011864169946886e-16,1.0,0.0,-1567286.8301965108,6.984919309616089e-10,-1591542.6001333427,6.984919309616089e-10
4,0.29618828973705896,0.0045449767289100955,0.170004978700873,0.0017462551826427724,1.6145939216212357,0.006923046899029628,0.95720490165949,0.06943634915127629,-1554036.4121532873,13.31553067740983,-1586378.2368854485,13.315530677409832
5,0.2969157632797549,0.009038503452944574,0.1695704026027821,0.004841933584046252,1.66226650641082,0.05396512080895261,0.8729629437744997,0.11202437737147385,-1540470.4740598225,16.92052979673941,-1580898.3535873117,16.92052979673941
6,0.32251620253835006,0.008923677175587702,0.17458656903398098,0.004154201654600805,1.5711074551430877,0.04766649762841761,0.8845664568393852,0.06677830042710707,-1526674.5853918376,49.11921288870186,-1575188.5197146565,49.11921288870185
7,0.2973542087665958,0.015298224283695191,0.16166279942781767,0.008943312984790808,1.5718504320170792,0.09483389773421047,0.7587955745083111,0.09029993872027704,-1512612.1985846364,38.900205512762064,-1569212.1877027836,38.900205512762064
8,0.27189465752667863,0.01922942468701759,0.15145629791047266,0.011479055280675513,1.5569275243926524,0.09226900450440607,0.7047551805152598,0.10993893880447779,-1498497.5219679296,44.798850021639566,-1563183.5658814055,44.798850021639566
9,0.26006425859244287,0.021062176700650564,0.14607395380768767,0.011389669353532889,1.5274200583705582,0.07483311486510026,0.6582379959425915,0.10357920476465264,-1484331.7549658164,46.36103138870264,-1557103.8536746213,46.36103138870264
10,0.24808802662474944,0.019941609741217427,0.1405624736591931,0.011289665342711225,1.4916951192229682,0.08649709492829312,0.6028499853625964,0.10511894634193793,-1470128.6431809098,52.426988522330504,-1550986.7966850435,52.426988522330504
11,0.24116291072379745,0.016034357803966275,0.13757708652250109,0.007917660648684668,1.4940840198964118,0.06424501196601339,0.5676615008863528,0.09715508346560905,-1455887.081548246,58.123581234243375,-1544831.2898477083,58.12358123424337
12,0.23410754372492992,0.01521231137281889,0.1342889222320439,0.006939664023450295,1.4825985442966951,0.06358606069546965,0.5746770715539179,0.0984061336173979,-1441614.0195116068,56.82246042299952,-1538644.2826063982,56.82246042299953
13,0.22949898350478087,0.014720610667505395,0.13131515989615805,0.007559440199458981,1.4473183724486232,0.05587989715102754,0.5655666041410545,0.09031622803194211,-1427303.7025874546,68.3820862316451,-1532420.020477575,68.38208623162433
14,0.22262242424445705,0.013427284395345017,0.12829875903598398,0.006701171898942617,1.409842738854631,0.06315034095767148,0.569284981750171,0.09230615422921293,-1412949.9762811428,64.32044284370475,-1526152.3489665922,64.32044284370477
