Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5223554724293757,1.1102230246251565e-16,0.34214727821936997,1.1102230246251565e-16,1.3111984597350028,4.440892098500626e-16,1.0,0.0,-1546300.3523145616,0.0,-1554391.1960082,2.3283064365386963e-10
3,0.34459000628837705,1.1102230246251565e-16,0.1928789696802831,2.7755575615628914e-17,1.6308742948093025,3.6888820278049625e-16,1.0,0.0,-1549236.5355824307,6.984919309616089e-10,-1561373.9983474654,4.656612873077393e-10
4,0.32592801481505357,0.001468535105277948,0.18147685424350268,0.0004432310470863628,1.5819315985317615,0.004298372532954639,0.9938548957614235,0.018861619052613233,-1548550.3375484508,3.339634905831775,-1564734.419384882,3.3396349058317756
5,0.32903327471193317,0.0021813112572593063,0.18861143868705552,0.0011121533231027013,1.327278562698212,0.029964849365868636,0.9816823529479797,0.03647799072243334,-1545264.8542960063,16.33375152481958,-1565495.5552038336,16.33375152481958
6,0.30567248454568846,0.008004715161121785,0.16902695663068038,0.003339736873882292,1.4508426186801229,0.03204613467333597,0.9361119460604563,0.06521299927468965,-1541368.3285780088,40.24435937974016,-1565645.6485572322,40.24435937974016
7,0.3256481553735799,0.009381407162052775,0.1765920628903737,0.004611704069861372,1.3975976219960384,0.0479222205877542,0.9432624183896184,0.044477807550005244,-1537066.3884867497,114.75230311333341,-1565390.32753737,114.75230311333341
8,0.2983140092350088,0.008287726112136703,0.17012537745309586,0.005061135271132613,1.4108156463112655,0.04262688713071574,0.9252968504588451,0.05610006564354486,-1532352.8935427694,123.01579720955574,-1564723.451664786,123.01579720955574
9,0.2747221586816001,0.01814221285526489,0.15584910757770754,0.01074219462254773,1.4260933819271648,0.0676204745985593,0.7540423655595145,0.10761806061345999,-1526818.4817444962,128.99763407521516,-1563235.6589379094,128.99763407521516
10,0.262336333004798,0.01577302495439342,0.14890755295196695,0.008278405627427465,1.418734394478936,0.07022149482696424,0.6997628328894305,0.09978337711079578,-1521304.679391976,127.49441643289498,-1561768.4756567853,127.49441643289497
11,0.24845526388412392,0.014272307006420447,0.1437939243012945,0.006995826632022597,1.477777964239463,0.05581537858424414,0.6151512143824718,0.10949968889937511,-1515684.9185293606,113.58643454937301,-1560195.3338655666,113.58643454937217
12,0.2460193529163351,0.012438140076080842,0.1416423343424028,0.005237747104273722,1.4571810445598705,0.05232096839609771,0.5911824573882566,0.10956780663837275,-1509880.8545846096,112.71912393251245,-1558437.8889922125,112.71912393251245
13,0.24025560953704994,0.01162237044434924,0.13870141391476065,0.004753375799327324,1.4277589046410253,0.044446498069855955,0.6049650760784332,0.10294159746940335,-1503987.7380424305,132.15233159796117,-1556591.3915214296,132.15233159796117
14,0.2351629899521042,0.012117354736638532,0.13642747895040985,0.005372089477638459,1.3953520156611656,0.04898701409866674,0.6037415636559205,0.09560938043208556,-1497992.83983866,158.78915188545204,-1554643.1123890548,158.78915188545204
