Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5248561392683695,0.005917048677867719,0.3723698329072747,0.03786347844690381,1.055986716428924,0.3355385968737162,0.6861678775459545,0.4348599328869297,4653949.2502693515,27.37296906042988,1232537.6143019844,27.372969060443516
3,0.4844809869196988,0.04058657826028475,0.3224127443397461,0.035826525593934865,1.0638798671893481,0.2337087438134087,0.8383066333707465,0.15593994663411068,4661130.008657071,39.94336948694299,1235674.1480674625,39.9433694870115
4,0.34002476232268647,0.020494369089715567,0.19723594461351499,0.016242630824187226,1.3079792032305682,0.06014608647033476,0.848438989098882,0.24414721654953456,4668359.4799980195,11.849685336580261,1238859.3947861711,11.849685336681295
5,0.2962190438598969,0.023792779771216865,0.16965982194787532,0.012501806957704567,1.3993935971931308,0.09877243432870704,0.6495276665492595,0.21803402543537534,4675590.290268661,25.57554932959503,1242045.9804345707,25.575549329555514
6,0.2892391185490068,0.027825825463409986,0.16673698180611424,0.01531691297467662,1.3917638365856448,0.08218533667350024,0.5948211397031892,0.18081420880472185,4682831.741341519,22.5014923237321,1245243.2068851858,22.50149232371176
7,0.28167377074791916,0.025027401106176628,0.16413042818364615,0.015298643646847241,1.3749103413022332,0.09236469891031596,0.6576377879676061,0.15629789245988568,4690067.955889338,14.793578413351604,1248435.1968107636,14.793578413363104
8,0.2626777031418368,0.02671823482146495,0.15325337680225287,0.015273062064152793,1.4088457560779788,0.10177911178323366,0.6090663279434999,0.13441025414694455,4697300.0301864445,14.927155433421595,1251623.0464856278,14.927155433442318
9,0.2520758506965349,0.0270479884382999,0.14721671545431497,0.014103788670662651,1.3751617450797133,0.10382480959991017,0.5828745446313852,0.12322555094167567,4704529.329786452,19.003201871494046,1254808.1214633945,19.003201871482712
10,0.2427897978209202,0.030329365542630535,0.14054135378060628,0.015102493069206678,1.3773225033416876,0.09047728123851795,0.5627618484109829,0.12513327436826363,4711769.164451938,20.93853468602983,1258003.731506637,20.938534686024155
11,0.22687288481858583,0.02850756232893347,0.13335029656420638,0.013031625700372793,1.3564531388810965,0.08545289519696184,0.53221230166301,0.1179782217538896,4719007.310228048,20.970179443405286,1261197.6526605063,20.970179443449524
12,0.2194819073138763,0.026917816608560054,0.12823198112576276,0.012094710663270137,1.3530749350637916,0.09074295797433393,0.5247432283153676,0.11079080619546969,4726246.335647016,21.94331030622174,1264392.4534572333,21.943310306216812
13,0.21635152714538933,0.022785363389296466,0.12710162614587536,0.01011305138981174,1.3298261069982078,0.07840937538007758,0.5096293338317338,0.09912980670457078,4733488.147321903,27.435846572391696,1267590.0405098782,27.435846572385426
14,0.20930267110377515,0.02284555491680848,0.12317930516508943,0.010687276581154825,1.3117910459654325,0.07044448784825405,0.5034783961104107,0.09452825164797066,4740734.228500639,20.061677821968274,1270791.8970663731,20.0616778219917
