Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.42363951260822025,5.551115123125783e-17,0.2587157514298868,1.1102230246251565e-16,1.6737744281112839,8.881784197001252e-16,1.0,0.0,-1216623.42070706,2.3283064365386963e-10,-1232793.1358485632,4.656612873077393e-10
3,0.2177836000652262,0.0068790604551776605,0.12620341939106425,0.003886762457231821,2.0808091358196537,0.040273957791150526,0.8949670445674421,0.10831112186091588,-1254955.9565988951,300.63766779615736,-1279211.7265357273,300.63766779615736
4,0.1616317608254063,0.0056758255601152925,0.09504356451794202,0.004393038547698626,2.2028886773080925,0.1039729266434628,0.7823956467096994,0.15402639084995257,-1270565.379091608,1044.2092571221322,-1302907.2038237692,1044.2092571221322
5,0.17915442374896354,0.02271142806097712,0.10511235214590613,0.013609732566368285,2.032736988158915,0.10855852261725564,0.6123901240937305,0.14733182195869665,-1274936.8544317258,1317.6787298009915,-1315364.7339592152,1317.6787298009915
6,0.1729384694700947,0.01802127343006092,0.1018569953462911,0.010189802067465089,2.0025772434402156,0.0942191384164673,0.5926655570839291,0.10961265211020552,-1275959.8176422617,1340.6162065793867,-1324473.7519650802,1340.6162065793867
7,0.17953134897293407,0.023839210906756798,0.10428754888915424,0.01332639286262648,1.9035413274096233,0.09922274401982206,0.6412461828523376,0.11382905040579436,-1274190.604835108,1462.8674296099719,-1330790.5939532549,1462.8674296099716
8,0.15626222424725153,0.019288670104002793,0.0906816504647715,0.010888975895498044,1.941750246899131,0.0938587704608148,0.6305387333047853,0.09795732326393775,-1269713.133207594,1784.278643725715,-1334399.17712107,1784.278643725715
9,0.1423542091305784,0.019858164004312766,0.08265658089410176,0.010881027427990114,1.9297659892140562,0.13742325606333597,0.5713452734540961,0.10088048738459005,-1263606.5004100811,1481.2951137248015,-1336378.5991188856,1481.2951137248012
10,0.13905374134940737,0.02090317615356256,0.08067089771005362,0.011796990407533974,1.895338095223391,0.12371119030861812,0.559216951002996,0.10245026476555416,-1256697.7604486304,1556.2112825719926,-1337555.9139527641,1556.2112825719926
11,0.1338747998415119,0.022432309518880218,0.07813949866826453,0.012251007437804082,1.8659426727952662,0.1298510165964511,0.5303148276970545,0.09263129388780586,-1248586.0443977835,1517.9009613298952,-1337530.252697246,1517.9009613298952
12,0.13236398091630883,0.02282070676120915,0.07746654391545801,0.012307119900400164,1.8036427253455503,0.11841767203625135,0.5247670700881935,0.0862203660684809,-1240150.744026244,1381.123444162948,-1337181.0071210356,1381.123444162948
13,0.13211077527273318,0.020022922792108707,0.07728443819691395,0.010810429537656445,1.734007346798342,0.10443938694320182,0.5137880999594312,0.08105792562103271,-1231349.6423274977,1658.3587934585948,-1336465.9602176177,1658.3587934585862
14,0.12922262246944372,0.019821209073579354,0.07562857355973779,0.010909011726952621,1.6760802521330311,0.10152253349797002,0.5255086281100635,0.08585043716883188,-1222405.2215550917,1665.0232047167372,-1335607.5942405406,1665.0232047167372
