Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4144680969034745,0.006948827928628786,0.2539536177833614,0.003990802632193562,1.7196209073048647,0.023103334966986286,0.9746286054933921,0.04307426917292463,-826617.8352051722,66.88683958394193,-834708.67889881,66.88683958394193
3,0.3053348187675517,0.0,0.17863311768503093,0.0,1.7945977803175048,2.220446049250313e-16,1.0,0.0,-840023.8757117023,2.3283064365386963e-10,-852161.3384767366,1.1641532182693481e-10
4,0.25261006892300364,0.014665236102867001,0.14994988663067846,0.006542074050938156,1.741911981424586,0.0375030354958239,0.7762882561388679,0.1290503642469911,-849788.8974924099,219.30306380559765,-865972.9793288409,219.30306380559765
5,0.271912389597596,0.010959778436087983,0.15905168183921445,0.004884990800550089,1.4559515064499382,0.018553485059626246,0.7967769767772598,0.09497420674062686,-856361.5389781377,432.02497574033794,-876592.2398859651,432.02497574033794
6,0.26760408822194104,0.013719331591913266,0.15595761218044535,0.007398915558712053,1.4527690696362803,0.13891548789712527,0.7355403132676382,0.09324549268608492,-859910.904244553,910.5567002791518,-884188.2242237766,910.556700279152
7,0.255846811334687,0.020668640117502857,0.14835779968573223,0.011291036507397992,1.4349773457062147,0.11178325121741477,0.6667869604178868,0.11240160321528524,-862404.2482244584,1545.4019213683089,-890728.1872750786,1545.401921368309
8,0.24455740853624927,0.028030602963898234,0.14176366600263773,0.015091527778423638,1.4080171302990265,0.07485686888722673,0.6496204565146876,0.11143878969821855,-864277.6937864141,1708.5106529021284,-896648.2519084311,1708.5106529021284
9,0.2286459689961602,0.03292159078077807,0.13256407346546442,0.017343070781693355,1.4022457444717533,0.08236293572156875,0.6193401061178901,0.09686934632599893,-865579.0656959537,1788.8572699509489,-901996.242889367,1788.8572699509493
10,0.21787098393995963,0.026920301497288593,0.12597819515354045,0.014152937780752108,1.3862454527554593,0.08621108040517905,0.5870707859501735,0.10745420925556494,-866294.4588894104,2102.2652896122577,-906758.25515422,2102.2652896122577
11,0.20717840922123495,0.03135614072832448,0.11956502223305827,0.01675151877929673,1.3612550552641483,0.07696475366783492,0.5521798725874505,0.10536901771726824,-867599.7495635222,2516.625349165647,-912110.164899728,2516.625349165647
12,0.2022832223165011,0.030899433929874615,0.11679465643559783,0.016199609112081396,1.3387782145527551,0.08904425325690872,0.550538924269214,0.10392189953630321,-869003.6306689727,2064.703008250491,-917560.665076575,2064.703008250491
13,0.1935710557372287,0.028534097529230116,0.11183291327388929,0.01470236089854842,1.3037016441706908,0.07952419988682627,0.542384917222577,0.09902965932610061,-870309.2905558367,2411.087952309016,-922912.944034836,2411.0879523090157
14,0.18657507985546154,0.02856334721388352,0.10793410592778827,0.014787777997684942,1.3017614502594217,0.07073398668591048,0.5316127014230236,0.09708526521178637,-871414.3639896428,2283.772253192839,-928064.6365400378,2283.772253192839
