k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.513,0.331,1.0,-1595386.579,-1579216.864,Share of Total
2,0.513,0.32,1.0,-1573448.331,-1557278.616,Share of Top 30 (L1 Norm)
2,0.469,0.289,1.0,-1395765.375,-1379595.66,L2 Normalization
2,0.424,0.259,1.0,-1232793.136,-1216623.421,TF-IDF
3,0.342,0.191,0.986,-1571305.869,-1547050.099,Share of Top 30 (L1 Norm)
3,0.34,0.191,1.0,-1591542.6,-1567286.83,Share of Total
3,0.28,0.165,0.843,-1408881.215,-1384625.445,L2 Normalization
3,0.218,0.126,0.895,-1279211.727,-1254955.957,TF-IDF
4,0.316,0.176,0.962,-1567113.486,-1534771.661,Share of Top 30 (L1 Norm)
4,0.296,0.17,0.957,-1586378.237,-1554036.412,Share of Total
4,0.288,0.17,0.766,-1413983.344,-1381641.52,L2 Normalization
4,0.162,0.095,0.782,-1302907.204,-1270565.379,TF-IDF
5,0.297,0.17,0.873,-1580898.354,-1540470.474,Share of Total
5,0.287,0.158,0.795,-1562273.214,-1521845.334,Share of Top 30 (L1 Norm)
5,0.238,0.141,0.644,-1415768.471,-1375340.591,L2 Normalization
5,0.179,0.105,0.612,-1315364.734,-1274936.854,TF-IDF
6,0.323,0.175,0.885,-1575188.52,-1526674.585,Share of Total
6,0.309,0.168,0.892,-1557289.638,-1508775.703,Share of Top 30 (L1 Norm)
6,0.219,0.127,0.629,-1416197.951,-1367684.016,L2 Normalization
6,0.173,0.102,0.593,-1324473.752,-1275959.818,TF-IDF
7,0.297,0.162,0.759,-1569212.188,-1512612.199,Share of Total
7,0.272,0.16,0.798,-1551945.223,-1495345.233,Share of Top 30 (L1 Norm)
7,0.213,0.124,0.638,-1415113.821,-1358513.832,L2 Normalization
7,0.18,0.104,0.641,-1330790.594,-1274190.605,TF-IDF
8,0.272,0.151,0.705,-1563183.566,-1498497.522,Share of Total
8,0.247,0.148,0.757,-1546317.827,-1481631.783,Share of Top 30 (L1 Norm)
8,0.197,0.113,0.616,-1413209.918,-1348523.874,L2 Normalization
8,0.156,0.091,0.631,-1334399.177,-1269713.133,TF-IDF
9,0.26,0.146,0.658,-1557103.854,-1484331.755,Share of Total
9,0.235,0.142,0.726,-1540568.562,-1467796.463,Share of Top 30 (L1 Norm)
9,0.182,0.105,0.578,-1410751.907,-1337979.808,L2 Normalization
9,0.142,0.083,0.571,-1336378.599,-1263606.5,TF-IDF
10,0.248,0.141,0.603,-1550986.797,-1470128.643,Share of Total
10,0.227,0.142,0.697,-1534741.992,-1453883.838,Share of Top 30 (L1 Norm)
10,0.17,0.098,0.546,-1407870.037,-1327011.883,L2 Normalization
10,0.139,0.081,0.559,-1337555.914,-1256697.76,TF-IDF
11,0.241,0.138,0.568,-1544831.29,-1455887.082,Share of Total
11,0.222,0.142,0.652,-1528914.558,-1439970.349,Share of Top 30 (L1 Norm)
11,0.171,0.099,0.537,-1404887.882,-1315943.674,L2 Normalization
11,0.134,0.078,0.53,-1337530.253,-1248586.044,TF-IDF
12,0.234,0.134,0.575,-1538644.283,-1441614.02,Share of Total
12,0.219,0.144,0.64,-1523082.936,-1426052.673,Share of Top 30 (L1 Norm)
12,0.168,0.098,0.526,-1401596.033,-1304565.769,L2 Normalization
12,0.132,0.077,0.525,-1337181.007,-1240150.744,TF-IDF
13,0.229,0.131,0.566,-1532420.02,-1427303.703,Share of Total
13,0.214,0.141,0.612,-1517153.691,-1412037.373,Share of Top 30 (L1 Norm)
13,0.167,0.097,0.515,-1398032.188,-1292915.871,L2 Normalization
13,0.132,0.077,0.514,-1336465.96,-1231349.642,TF-IDF
14,0.223,0.128,0.569,-1526152.349,-1412949.976,Share of Total
14,0.211,0.138,0.608,-1511249.467,-1398047.094,Share of Top 30 (L1 Norm)
14,0.163,0.095,0.501,-1394544.249,-1281341.876,L2 Normalization
14,0.129,0.076,0.526,-1335607.594,-1222405.222,TF-IDF
