k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.522,0.342,1.0,-1554391.196,-1546300.352,Share of Total
2,0.513,0.32,1.0,-1444852.241,-1436761.397,Share of Top 30 (L1 Norm)
2,0.455,0.28,0.992,-880385.914,-872295.07,L2 Normalization
2,0.414,0.254,0.975,-834708.679,-826617.835,TF-IDF
3,0.345,0.193,1.0,-1561373.998,-1549236.536,Share of Total
3,0.341,0.19,1.0,-1459324.109,-1447186.646,Share of Top 30 (L1 Norm)
3,0.305,0.179,1.0,-852161.338,-840023.876,TF-IDF
3,0.303,0.178,0.989,-901329.234,-889191.771,L2 Normalization
4,0.329,0.195,0.969,-919010.278,-902826.196,L2 Normalization
4,0.328,0.181,0.951,-1469828.805,-1453644.723,Share of Top 30 (L1 Norm)
4,0.326,0.181,0.994,-1564734.419,-1548550.338,Share of Total
4,0.253,0.15,0.776,-865972.979,-849788.897,TF-IDF
5,0.329,0.189,0.982,-1565495.555,-1545264.854,Share of Total
5,0.326,0.192,0.824,-928661.411,-908430.71,L2 Normalization
5,0.316,0.177,0.996,-1474766.857,-1454536.156,Share of Top 30 (L1 Norm)
5,0.272,0.159,0.797,-876592.24,-856361.539,TF-IDF
6,0.328,0.176,0.942,-1479070.338,-1454793.018,Share of Top 30 (L1 Norm)
6,0.306,0.169,0.936,-1565645.649,-1541368.329,Share of Total
6,0.304,0.178,0.733,-936115.778,-911838.458,L2 Normalization
6,0.268,0.156,0.736,-884188.224,-859910.904,TF-IDF
7,0.326,0.177,0.943,-1565390.328,-1537066.388,Share of Total
7,0.305,0.172,0.868,-1481335.974,-1453012.035,Share of Top 30 (L1 Norm)
7,0.302,0.176,0.754,-942755.78,-914431.841,L2 Normalization
7,0.256,0.148,0.667,-890728.187,-862404.248,TF-IDF
8,0.298,0.17,0.925,-1564723.452,-1532352.894,Share of Total
8,0.28,0.167,0.813,-1483414.852,-1451044.294,Share of Top 30 (L1 Norm)
8,0.279,0.162,0.669,-947656.904,-915286.345,L2 Normalization
8,0.245,0.142,0.65,-896648.252,-864277.694,TF-IDF
9,0.275,0.156,0.754,-1563235.659,-1526818.482,Share of Total
9,0.261,0.151,0.61,-952494.38,-916077.203,L2 Normalization
9,0.247,0.161,0.757,-1485051.808,-1448634.631,Share of Top 30 (L1 Norm)
9,0.229,0.133,0.619,-901996.243,-865579.066,TF-IDF
10,0.262,0.149,0.7,-1561768.476,-1521304.679,Share of Total
10,0.247,0.144,0.576,-957725.8,-917262.004,L2 Normalization
10,0.222,0.158,0.727,-1486434.522,-1445970.725,Share of Top 30 (L1 Norm)
10,0.218,0.126,0.587,-906758.255,-866294.459,TF-IDF
11,0.248,0.144,0.615,-1560195.334,-1515684.919,Share of Total
11,0.239,0.139,0.549,-962777.101,-918266.685,L2 Normalization
11,0.219,0.156,0.713,-1487428.615,-1442918.2,Share of Top 30 (L1 Norm)
11,0.207,0.12,0.552,-912110.165,-867599.75,TF-IDF
12,0.246,0.142,0.591,-1558437.889,-1509880.855,Share of Total
12,0.237,0.137,0.56,-968168.459,-919611.424,L2 Normalization
12,0.223,0.154,0.706,-1488244.571,-1439687.536,Share of Top 30 (L1 Norm)
12,0.202,0.117,0.551,-917560.665,-869003.631,TF-IDF
13,0.24,0.139,0.605,-1556591.392,-1503987.738,Share of Total
13,0.231,0.134,0.544,-973753.162,-921149.508,L2 Normalization
13,0.224,0.151,0.67,-1488506.632,-1435902.978,Share of Top 30 (L1 Norm)
13,0.194,0.112,0.542,-922912.944,-870309.291,TF-IDF
14,0.235,0.136,0.604,-1554643.112,-1497992.84,Share of Total
14,0.228,0.133,0.543,-979065.431,-922415.159,L2 Normalization
14,0.219,0.148,0.66,-1488485.719,-1431835.446,Share of Top 30 (L1 Norm)
14,0.187,0.108,0.532,-928064.637,-871414.364,TF-IDF
