k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.525,0.372,0.686,1232537.614,4653949.25,Share of Total
2,0.513,0.321,1.0,1267298.107,4688709.743,L2 Normalization
2,0.475,0.3,0.556,1271198.666,4692610.302,TF-IDF
2,0.399,0.25,0.601,1239784.133,4661195.769,Share of Top 30 (L1 Norm)
3,0.484,0.322,0.838,1235674.148,4661130.009,Share of Total
3,0.466,0.292,0.733,1242802.797,4668258.658,Share of Top 30 (L1 Norm)
3,0.417,0.256,0.808,1273844.557,4699300.417,TF-IDF
3,0.41,0.25,0.621,1270003.14,4695459.001,L2 Normalization
4,0.34,0.197,0.848,1238859.395,4668359.48,Share of Total
4,0.336,0.197,0.618,1245897.733,4675397.818,Share of Top 30 (L1 Norm)
4,0.331,0.196,0.707,1272733.605,4702233.69,L2 Normalization
4,0.327,0.192,0.654,1276536.555,4706036.64,TF-IDF
5,0.301,0.177,0.598,1275488.951,4709033.26,L2 Normalization
5,0.298,0.173,0.557,1249004.852,4682549.162,Share of Top 30 (L1 Norm)
5,0.296,0.17,0.65,1242045.98,4675590.29,Share of Total
5,0.286,0.166,0.707,1279221.004,4712765.314,TF-IDF
6,0.3,0.175,0.627,1278248.914,4715837.449,L2 Normalization
6,0.289,0.167,0.595,1245243.207,4682831.741,Share of Total
6,0.286,0.164,0.571,1252110.372,4689698.907,Share of Top 30 (L1 Norm)
6,0.263,0.152,0.582,1281917.221,4719505.755,TF-IDF
7,0.284,0.165,0.647,1280994.566,4722627.325,L2 Normalization
7,0.282,0.164,0.658,1248435.197,4690067.956,Share of Total
7,0.28,0.161,0.641,1255206.834,4696839.593,Share of Top 30 (L1 Norm)
7,0.253,0.146,0.571,1284604.926,4726237.685,TF-IDF
8,0.273,0.159,0.648,1283747.57,4729424.554,L2 Normalization
8,0.27,0.158,0.662,1258305.465,4703982.448,Share of Top 30 (L1 Norm)
8,0.263,0.153,0.609,1251623.046,4697300.03,Share of Total
8,0.251,0.145,0.624,1287284.521,4732961.505,TF-IDF
9,0.266,0.154,0.63,1286498.378,4736219.586,L2 Normalization
9,0.254,0.153,0.639,1261408.991,4711130.199,Share of Top 30 (L1 Norm)
9,0.252,0.147,0.583,1254808.121,4704529.33,Share of Total
9,0.245,0.14,0.634,1289968.751,4739689.959,TF-IDF
10,0.25,0.145,0.572,1289253.497,4743018.93,L2 Normalization
10,0.243,0.141,0.563,1258003.732,4711769.164,Share of Total
10,0.237,0.136,0.616,1292650.848,4746416.281,TF-IDF
10,0.236,0.149,0.61,1264512.292,4718277.724,Share of Top 30 (L1 Norm)
11,0.247,0.143,0.565,1292004.495,4749814.152,L2 Normalization
11,0.233,0.149,0.608,1267615.707,4725425.364,Share of Top 30 (L1 Norm)
11,0.231,0.132,0.615,1295327.303,4753136.96,TF-IDF
11,0.227,0.133,0.532,1261197.653,4719007.31,Share of Total
12,0.246,0.142,0.565,1294761.464,4756615.346,L2 Normalization
12,0.227,0.147,0.603,1270723.843,4732577.726,Share of Top 30 (L1 Norm)
12,0.222,0.127,0.582,1298018.504,4759872.386,TF-IDF
12,0.219,0.128,0.525,1264392.453,4726246.336,Share of Total
13,0.237,0.137,0.532,1297517.93,4763416.036,L2 Normalization
13,0.216,0.127,0.51,1267590.041,4733488.147,Share of Total
13,0.215,0.142,0.575,1273831.67,4739729.777,Share of Top 30 (L1 Norm)
13,0.214,0.123,0.553,1300702.308,4766600.415,TF-IDF
14,0.233,0.135,0.525,1300269.567,4770211.898,L2 Normalization
14,0.219,0.142,0.558,1276938.929,4746881.261,Share of Top 30 (L1 Norm)
14,0.213,0.122,0.554,1303393.696,4773336.028,TF-IDF
14,0.209,0.123,0.503,1270791.897,4740734.229,Share of Total
