Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.513439112376787,0.0,0.32114524098166397,5.551115123125783e-17,1.3451305579595243,2.220446049250313e-16,1.0,0.0,12.305183557320483,0.0
3,0.3408563336927862,2.211045317975221e-05,0.20128640516972335,0.00016751106176115719,1.6455323723238624,0.001862216938279249,0.9785622959941194,0.021646602524160154,10.267724776626615,0.0002792381081207856
4,0.3264834418423,0.0009517819211005334,0.19295401869894233,0.0006563836395535282,1.5525216175998404,0.0075685517878857885,0.9686195549456111,0.0373799353155102,8.97452567785706,0.0053681388956948175
5,0.31571130498569144,0.004885777680076049,0.18464649445573972,0.002536160461767088,1.5734995375597018,0.024924836486364222,0.9018387725926993,0.05695360532692775,8.235430532959787,0.009916256988470241
6,0.3274407265895773,0.007609877969802576,0.19029435533083044,0.004210299164608088,1.5183942816939497,0.03189052470966423,0.910061206939002,0.047663904857145535,7.581194978826874,0.023147588258276803
7,0.3056922291932402,0.012384755048947592,0.1766886494879535,0.0077365468024805616,1.507811871669956,0.07672413804725879,0.7918897487408271,0.0806786488504267,7.195304126442223,0.029600471600464955
8,0.28086593968483636,0.01542354544914749,0.16104986860002388,0.009289499332525819,1.5120038059915926,0.08495573522262308,0.7147962869818341,0.09547911032377596,6.8284254434610805,0.02762425134600018
9,0.26829063035207773,0.018961345490782752,0.15375786086121757,0.01124959994062382,1.4930619768604994,0.10245252692067626,0.6552272517569666,0.10416824659534972,6.485438408011396,0.03651178281776055
10,0.25473882233503525,0.0150560113855353,0.14612700520304422,0.00876073083528313,1.4894867619413323,0.1007049316637534,0.6113230203011242,0.10632992827026949,6.166254863347308,0.030269472368636106
11,0.24657698167257439,0.0151195820685384,0.14184916054557398,0.008490270652440825,1.478135099911915,0.0823581294901427,0.5776445971064178,0.09593026017772126,5.8667697073414455,0.03198339289441464
12,0.24248218537629374,0.01302206534159795,0.1398026709709691,0.007596051219431464,1.47095899612332,0.05973917143347159,0.584592670089213,0.09676069761949664,5.584620436733347,0.04013439432945137
13,0.24172998558423928,0.01188203522160912,0.1397011529629733,0.006688084800735431,1.4216905182173483,0.06062870039698002,0.6005698406395324,0.09952876945479208,5.343481453508286,0.037504100050593375
14,0.23706607430473892,0.013492637501592216,0.13703283118285642,0.007331824223539103,1.4078417357557433,0.07170845491606935,0.5906316277456067,0.0896594205565666,5.127970355092494,0.03624146907303381
