Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5134391123767869,0.0,0.3198426813239936,5.551115123125783e-17,1.3747515515649982,4.440892098500626e-16,1.0,0.0,0.171616181235828,5.551115123125783e-17
3,0.34083087706666954,1.6653345369377348e-16,0.19030297655301814,5.551115123125783e-17,1.6860816643054162,2.220446049250313e-16,1.0,0.0,0.1447384761784071,2.7755575615628914e-17
4,0.3259537927094178,0.002063195096352794,0.17914338937606458,0.00112466156937062,1.5959376608279519,0.006863334740803812,0.9594643433991432,0.038150585782580626,0.12784974826550521,6.924431215193211e-05
5,0.31382623422028927,0.00515865288994585,0.17689501797052912,0.0021638013083635256,1.5963993143194557,0.016978128008585832,0.930007744081306,0.08927614445568209,0.11627245932333377,0.00020262766647668199
6,0.32792502656885403,0.005974554593197479,0.17613241844339225,0.0034711338704754204,1.5462046986257973,0.02565330002567619,0.8957034327452528,0.0592785310368741,0.10807572829715047,0.0003628478175675
7,0.2993011308274489,0.019376030770465992,0.168762959291185,0.008741881682013475,1.488171502971418,0.07141717720642342,0.8081304644082398,0.0860426211767076,0.10158380185639629,0.0005369998293640378
8,0.2764305097193763,0.016822660443851497,0.16180915014059635,0.00927453924307053,1.445667385733683,0.06752345619557039,0.7593725095722711,0.09811469205149567,0.09530824963983184,0.0006659415436622752
9,0.25087921331829516,0.027768835639610495,0.1567972292858625,0.008585957153335912,1.4176292757133098,0.06465779501547858,0.6864699681116786,0.0983429494843989,0.08995909081652485,0.0006357741907089824
10,0.2328142012289582,0.028364489947601698,0.1542395065718751,0.00833547751758334,1.40622924505381,0.05702067741924308,0.6595704578696604,0.09502664233418556,0.08514213547430784,0.000480603373947075
11,0.22417611866843118,0.018465187319733716,0.1535239747548944,0.007591044815946662,1.390158605668077,0.05574444112164738,0.6481717514448763,0.09775931259087674,0.08071876282188847,0.0004947654330987914
12,0.22246610881869955,0.017314529814112575,0.15033501107405903,0.008682989412206549,1.3881070088506986,0.06650272008520439,0.6564077062546979,0.08901221835646946,0.07676300530453706,0.0005025518033502926
13,0.21566785394490665,0.015238999850454526,0.1458394628097859,0.007853483732243101,1.393424641366175,0.07115815682317837,0.6314101299108897,0.08319626262397677,0.07351884179610471,0.000516077196332852
14,0.21831191977042086,0.016067521898560432,0.14367600590474006,0.008476136972906376,1.3735736058614054,0.0791177186246666,0.6063975707934905,0.08364013219855922,0.07059583155493683,0.0003954814152107218
