Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5134391123767869,0.0,0.3311131241902613,5.551115123125783e-17,1.3497860901356942,0.0,1.0,0.0,0.04801905457103256,2.0816681711721685e-17
3,0.34083087706666965,1.1102230246251565e-16,0.18904944249219596,5.551115123125783e-17,1.6504502770819378,4.440892098500626e-16,1.0,0.0,0.040276102647278975,6.938893903907228e-18
4,0.32404768304210313,0.0016892024153441652,0.18162025091349893,0.0012440860698069854,1.5830410833998299,0.0056611398789603775,0.9600891061204538,0.03352553364449409,0.03566002894231019,1.2325339706401717e-05
5,0.3259186460755239,0.0037633301945000845,0.1873074521739189,0.0032230947712009487,1.33863275149672,0.05731045979973963,0.8949864981048574,0.10593699690593154,0.03249650679780955,3.1540040250894624e-05
6,0.3069872497113584,0.011970631230554982,0.17444431118666542,0.007266495589856471,1.4010351303358453,0.056873531070825045,0.7801290124468898,0.114573183266316,0.030154400731900045,5.7528944406559997e-05
7,0.29010910542729756,0.02940340037032395,0.16381654033066617,0.01239428380375242,1.442334204860673,0.06773592181946111,0.7578123099975531,0.09818329930673876,0.028208991364880687,0.00010088088345054633
8,0.2749001293940254,0.02085345790659969,0.15703022818994478,0.011482652986836737,1.4498421564786244,0.06295406518037797,0.7452015299802487,0.10280480250801098,0.02638322220146277,0.00020440515992371764
9,0.2580222192255686,0.018959330466831043,0.14684329841547364,0.01014706676446552,1.4588099034200506,0.06478480440160402,0.6508546118598181,0.10863390146213756,0.025035238957611124,0.00012111530571434343
10,0.24904293477613124,0.020895115971213882,0.14181119424373193,0.011625810689385225,1.4555051298952537,0.07169596563477293,0.6048053707913443,0.10825255703768814,0.02379475711636086,0.00012344707245654884
11,0.23710344188415017,0.016805050681375115,0.13722671988428126,0.007689397693938446,1.4835028100728764,0.06661912426499901,0.5635619465982666,0.08919542824204041,0.022659686631256566,0.0001167995491882349
12,0.23334728842659927,0.017044526554949018,0.13547838095283396,0.007485904525983568,1.461775206694262,0.059380282930959545,0.5596842940005612,0.10070819530030027,0.02164123910643524,0.0001116087263940276
13,0.22968553155422047,0.013809293934251468,0.1327770266790334,0.006007682548013065,1.4381167118824474,0.04824172586760821,0.5590417642953973,0.0935964823319527,0.020725006047186335,0.00013028917419685124
14,0.22585298687990554,0.014513328238113878,0.1313822263669651,0.0066055141369892306,1.3959185280752968,0.06397618311963023,0.5633924348726691,0.09148040801737171,0.019868023724748354,0.00011939869638734607
