Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4982502482086349,0.06527725577388782,0.3128520884692247,0.043001906405709264,1.3630063830172896,0.15518594521441675,0.834625322997416,0.3175667492658856
3,0.3436814469755194,0.025862357216191408,0.20230893362771105,0.014626886645282736,1.6243587900008132,0.05627194791177039,0.6317848575801222,0.28127598169871165
4,0.30732071861051585,0.0004131171777257452,0.18068993461893817,0.0012333659191042917,1.6107811838546378,4.4810098503983636e-05,0.8817323150230456,0.23819064116278024
5,0.2836596397368946,0.0158929316288448,0.16720787098356812,0.007724137395021928,1.6990851100395912,0.08256735327451653,0.8155325473067396,0.21858261794789413
6,0.271536215432493,0.02582749843431026,0.15658758809429826,0.015464985514096337,1.703158190430183,0.1206749969593366,0.7589214339625124,0.19675080657061583
7,0.249714343129151,0.016401599279507826,0.1426527399624413,0.00931125500596241,1.6944629302590675,0.0793558928296869,0.7821990635186497,0.18002024162498184
8,0.23238335244236275,0.005969478212070199,0.1330531082109781,0.003317665245661639,1.6784008698527884,0.06159349678649164,0.8068917754017336,0.20959093831628525
9,0.22200076054365353,0.008541671346059947,0.12679857693127697,0.0047562294141140484,1.6733441090703922,0.08704830714407784,0.7179859859417242,0.18047333983443647
10,0.21432462665129134,0.00973367299438768,0.12290851932684596,0.006170584198563944,1.6684781614348794,0.05550667224740696,0.7911202646159371,0.1408810123362152
11,0.21883491512193218,0.006623744072569795,0.12597274093630817,0.0047483131573037045,1.5996724495860213,0.030161393664465783,0.8760751482934668,0.11104216247806074
12,0.22144257168370587,0.0021931142848544798,0.1280034534479605,0.0018902963695991216,1.543242275867497,0.018177778123668737,0.9657706977616769,0.05152141166129683
13,0.22789562099990918,0.007160650846407657,0.1318428918763129,0.004224824801955527,1.4578517350169375,0.020891320599683537,0.9243752656832863,0.06231452429636276
14,0.23546483211194308,0.007223670217408866,0.13623543244594796,0.004096397312334337,1.3728524069472123,0.02402042189028087,0.9324211295631523,0.06207256853824643
