Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.49825024820863445,0.0652772557738878,0.31341921456592226,0.045694943795867714,1.3931423134410112,0.15344860357047763,0.834625322997416,0.3175667492658856
3,0.3436814469755194,0.02586235721619146,0.1961764587101507,0.0199550299586331,1.658669308131551,0.059730305760990136,0.6317848575801222,0.28127598169871165
4,0.30732071861051574,0.0004131171777258147,0.17182106246474593,6.439045327268718e-05,1.6416341125318283,0.0012418940115793355,0.8817323150230456,0.23819064116278024
5,0.2836596397368945,0.015892931628844854,0.1551004696532164,0.00933699762206721,1.717568600355949,0.0742560883417822,0.8155325473067396,0.21858261794789413
6,0.27153621543249284,0.02582749843431039,0.14774918006325963,0.008749882591054126,1.7023982189225233,0.09413859233044906,0.7589214339625124,0.19675080657061583
7,0.24971434312915086,0.01640159927950785,0.13457050913413748,0.005842617543085041,1.6928598638127266,0.06864177262321597,0.7821990635186497,0.18002024162498184
8,0.2323833524423627,0.005969478212070215,0.12110392461898961,0.0022029410482776847,1.6869744761600618,0.05925904643511145,0.8068917754017336,0.20959093831628525
9,0.2220007605436535,0.008541671346059937,0.11535014911413034,0.003931500062393417,1.6874942680847778,0.08554606745767185,0.7179859859417242,0.18047333983443647
10,0.21432462665129126,0.009733672994387649,0.11284775291078027,0.006885466727222342,1.6852067019088497,0.060282069864788526,0.7911202646159371,0.1408810123362152
11,0.2188349151219321,0.006623744072569801,0.11776284221716907,0.0053059339434836615,1.617021699076738,0.030018843764007402,0.8760751482934668,0.11104216247806074
12,0.2214425716837058,0.0021931142848545257,0.11832713405717557,0.001255588468846964,1.5653152369147885,0.02158240306054456,0.9657706977616769,0.05152141166129683
13,0.22789562099990912,0.007160650846407668,0.12256590824762338,0.004071216997483954,1.4788769726441593,0.02387238651941289,0.9243752656832863,0.06231452429636276
14,0.235464832111943,0.007223670217408866,0.12777577719007183,0.004389570970357948,1.3913955494962529,0.02713905374715707,0.9324211295631523,0.06207256853824643
