Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.49825024820863445,0.06527725577388772,0.3240672154180414,0.04896104151874089,1.3660321782126499,0.14849041159380053,0.834625322997416,0.3175667492658856
3,0.3436814469755194,0.025862357216191487,0.19087142248391778,0.0141082866276432,1.632120963136765,0.060866442231039874,0.6317848575801222,0.28127598169871165
4,0.3073207186105155,0.00041311717772572775,0.16866135103529417,0.0012345196167028846,1.6394380401134188,0.0007575006696437567,0.8817323150230456,0.23819064116278024
5,0.2836596397368945,0.015892931628844826,0.15477902528094167,0.007854967053112366,1.721241330926899,0.07819759175137872,0.8155325473067396,0.21858261794789413
6,0.271536215432493,0.0258274984343104,0.14766535948820173,0.00824134588092759,1.7181817804082409,0.10576091820080222,0.7589214339625124,0.19675080657061583
7,0.249714343129151,0.01640159927950777,0.1360255080294023,0.006740214796360557,1.7052502871121828,0.07871383122257139,0.7821990635186497,0.18002024162498184
8,0.23238335244236283,0.005969478212070195,0.12555144134574803,0.0031057393919254584,1.6783685157291148,0.059771223997865545,0.8068917754017336,0.20959093831628525
9,0.2220007605436535,0.008541671346060037,0.11813912303997069,0.005191621484596835,1.6848058159045678,0.09472159463728387,0.7179859859417242,0.18047333983443647
10,0.21432462665129093,0.0097336729943876,0.11437133380744406,0.0065818058651715364,1.6911875999021868,0.06408789326089366,0.7911202646159371,0.1408810123362152
11,0.21883491512193165,0.006623744072569772,0.11822413694035498,0.004396812049402105,1.623808140635455,0.02938029927503964,0.8760751482934668,0.11104216247806074
12,0.2214425716837053,0.0021931142848545097,0.11924545784601374,0.0018666407288200854,1.5727490163238977,0.02409881742019036,0.9657706977616769,0.05152141166129683
13,0.22789562099990868,0.007160650846407783,0.12224653528490605,0.0052966510724446235,1.4870873727203406,0.025234989226206445,0.9243752656832863,0.06231452429636276
14,0.23546483211194258,0.007223670217408943,0.12687709644338171,0.004993312331739249,1.3974886904946646,0.03001286170385687,0.9324211295631523,0.06207256853824643
