Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4746985909237136,0.08019064502722749,0.29527989838835933,0.051519204671697516,1.4470856252601527,0.21745836179279016,0.7908035991312442,0.3689987130444977
3,0.2968270347030558,0.017367760361612958,0.17280963282854564,0.009707704129360143,1.806956181637422,0.025517216326554622,0.8584949453359172,0.22410354571413077
4,0.28310024997857125,5.551115123125783e-17,0.16346343132986996,5.551115123125783e-17,1.7345187672050313,2.220446049250313e-16,1.0,0.0
5,0.24873066753925754,0.01811721533925089,0.1455822590741259,0.00841803428410687,1.797800417244367,0.06658240421984667,0.7075171126381398,0.18417837779648677
6,0.26011558461859574,0.017796621763488635,0.15112940148702841,0.009600188888765536,1.6537462803320766,0.03195953046315803,0.7364847513794361,0.1844959518141083
7,0.23192343276893265,0.01954962854988229,0.1342078688017212,0.011402820459753216,1.727393625245475,0.059171529809306025,0.689730320212284,0.1985335214460459
8,0.22380705816539603,0.013455745257580507,0.12835787384793493,0.007762553736809605,1.702520498284378,0.056571038222973706,0.6939196207866913,0.19482305428828844
9,0.22280220082400415,0.01644595709063219,0.1272727095397903,0.00929278225699824,1.593323509651734,0.12836616977173343,0.6859433980235174,0.1908740866488833
10,0.21788822223632642,0.013199607099432438,0.12478717045305222,0.007757645569586186,1.5554592785064034,0.14594941381630785,0.6790670491045967,0.1999811357130137
11,0.20657269810747472,0.00925203281804316,0.1183784886091499,0.005746908025309316,1.5764090510253583,0.07874809062109159,0.7945897514455532,0.16415085880666852
12,0.2006361368671417,0.0017490209206208022,0.115177602497012,0.0016310085414366362,1.4965515498995237,0.0407704456929264,0.8613467898456086,0.14805876865745599
13,0.20036410915315261,0.006486794027958347,0.11520099808847573,0.004164520276512819,1.4469424119385597,0.03905475175841586,0.9208393801028076,0.09586298923944199
14,0.20931787994663856,0.004803101668529967,0.1206486114202829,0.0035700924318644747,1.3810247322710592,0.039945981065679675,0.9235763093997778,0.09713667808208284
