k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.537,0.365,1.0,Share of Total,cosine,7
2,0.537,0.365,1.0,Share of Total,cosine,8
2,0.537,0.343,1.0,L2 Normalization,cosine,7
2,0.537,0.343,1.0,L2 Normalization,cosine,8
2,0.537,0.343,1.0,Share of Top 30 (L1 Norm),cosine,7
2,0.537,0.343,1.0,Share of Top 30 (L1 Norm),cosine,8
2,0.527,0.352,1.0,Share of Total,cosine,12
2,0.527,0.352,1.0,Share of Total,cosine,13
2,0.527,0.352,1.0,Share of Total,cosine,14
2,0.527,0.333,1.0,L2 Normalization,cosine,12
2,0.527,0.333,1.0,L2 Normalization,cosine,13
2,0.527,0.333,1.0,L2 Normalization,cosine,14
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),cosine,12
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),cosine,13
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),cosine,14
2,0.525,0.354,1.0,Share of Total,cosine,10
2,0.525,0.354,1.0,Share of Total,cosine,9
2,0.525,0.333,1.0,L2 Normalization,cosine,10
2,0.525,0.333,1.0,L2 Normalization,cosine,9
2,0.525,0.331,1.0,Share of Top 30 (L1 Norm),cosine,10
2,0.525,0.331,1.0,Share of Top 30 (L1 Norm),cosine,9
2,0.523,0.345,1.0,Share of Total,cosine,15
2,0.523,0.345,1.0,Share of Total,cosine,16
2,0.523,0.329,1.0,L2 Normalization,cosine,15
2,0.523,0.329,1.0,L2 Normalization,cosine,16
2,0.523,0.326,1.0,Share of Top 30 (L1 Norm),cosine,15
2,0.523,0.326,1.0,Share of Top 30 (L1 Norm),cosine,16
2,0.512,0.345,1.0,Share of Total,cosine,11
2,0.512,0.345,1.0,Share of Total,cosine,6
2,0.512,0.328,1.0,L2 Normalization,cosine,11
2,0.512,0.328,1.0,L2 Normalization,cosine,6
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),cosine,11
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),cosine,6
2,0.509,0.342,0.999,Share of Total,cosine,5
2,0.509,0.328,0.999,L2 Normalization,cosine,5
2,0.509,0.325,0.999,Share of Top 30 (L1 Norm),cosine,5
2,0.5,0.327,1.0,Share of Total,cosine,17
2,0.5,0.312,1.0,L2 Normalization,cosine,17
2,0.5,0.31,1.0,Share of Top 30 (L1 Norm),cosine,17
2,0.495,0.307,1.0,TF-IDF,cosine,12
2,0.495,0.307,1.0,TF-IDF,cosine,14
2,0.495,0.307,1.0,TF-IDF,cosine,15
2,0.495,0.307,0.999,TF-IDF,cosine,17
2,0.495,0.307,0.996,TF-IDF,cosine,18
2,0.494,0.312,1.0,TF-IDF,cosine,5
2,0.493,0.31,1.0,TF-IDF,cosine,10
2,0.493,0.31,1.0,TF-IDF,cosine,11
2,0.493,0.31,1.0,TF-IDF,cosine,6
2,0.493,0.31,1.0,TF-IDF,cosine,7
2,0.493,0.31,1.0,TF-IDF,cosine,8
2,0.493,0.31,1.0,TF-IDF,cosine,9
2,0.489,0.313,1.0,Share of Total,cosine,18
2,0.489,0.303,1.0,L2 Normalization,cosine,18
2,0.489,0.303,1.0,Share of Top 30 (L1 Norm),cosine,18
2,0.489,0.303,1.0,TF-IDF,cosine,16
2,0.476,0.295,1.0,TF-IDF,cosine,13
2,0.456,0.28,1.0,L2 Normalization,cosine,19
2,0.456,0.28,1.0,L2 Normalization,cosine,20
2,0.456,0.28,1.0,Share of Total,cosine,19
2,0.456,0.28,1.0,Share of Total,cosine,20
2,0.456,0.277,1.0,Share of Top 30 (L1 Norm),cosine,19
2,0.456,0.277,1.0,Share of Top 30 (L1 Norm),cosine,20
2,0.445,0.272,1.0,TF-IDF,cosine,19
2,0.404,0.245,1.0,TF-IDF,cosine,20
3,0.355,0.211,1.0,L2 Normalization,cosine,10
3,0.355,0.202,1.0,Share of Top 30 (L1 Norm),cosine,10
3,0.355,0.201,1.0,Share of Total,cosine,10
3,0.354,0.211,1.0,L2 Normalization,cosine,8
3,0.354,0.21,1.0,L2 Normalization,cosine,11
3,0.354,0.202,1.0,Share of Top 30 (L1 Norm),cosine,11
3,0.354,0.202,1.0,Share of Top 30 (L1 Norm),cosine,8
3,0.354,0.201,1.0,Share of Total,cosine,8
3,0.354,0.2,1.0,Share of Total,cosine,11
3,0.347,0.206,1.0,L2 Normalization,cosine,12
3,0.347,0.198,1.0,Share of Top 30 (L1 Norm),cosine,12
3,0.347,0.196,1.0,Share of Total,cosine,12
3,0.338,0.203,1.0,L2 Normalization,cosine,6
3,0.338,0.195,1.0,Share of Total,cosine,6
3,0.338,0.194,1.0,Share of Top 30 (L1 Norm),cosine,6
3,0.336,0.199,1.0,L2 Normalization,cosine,15
3,0.336,0.188,1.0,Share of Top 30 (L1 Norm),cosine,15
3,0.336,0.181,1.0,Share of Total,cosine,15
3,0.334,0.201,1.0,L2 Normalization,cosine,7
3,0.334,0.198,1.0,L2 Normalization,cosine,13
3,0.334,0.198,1.0,L2 Normalization,cosine,14
3,0.334,0.194,1.0,Share of Total,cosine,7
3,0.334,0.192,1.0,Share of Top 30 (L1 Norm),cosine,7
3,0.334,0.186,1.0,Share of Top 30 (L1 Norm),cosine,13
3,0.334,0.186,1.0,Share of Top 30 (L1 Norm),cosine,14
3,0.334,0.182,1.0,Share of Total,cosine,13
3,0.334,0.182,1.0,Share of Total,cosine,14
3,0.332,0.197,0.997,L2 Normalization,cosine,16
3,0.332,0.185,0.997,Share of Top 30 (L1 Norm),cosine,16
3,0.332,0.18,0.997,Share of Total,cosine,16
3,0.331,0.196,1.0,L2 Normalization,cosine,20
3,0.331,0.183,1.0,Share of Top 30 (L1 Norm),cosine,20
3,0.331,0.178,1.0,Share of Total,cosine,20
3,0.319,0.19,1.0,L2 Normalization,cosine,17
3,0.319,0.179,1.0,Share of Top 30 (L1 Norm),cosine,17
3,0.319,0.17,1.0,Share of Total,cosine,17
3,0.318,0.189,1.0,L2 Normalization,cosine,18
3,0.318,0.189,1.0,L2 Normalization,cosine,19
3,0.318,0.187,1.0,TF-IDF,cosine,7
3,0.318,0.177,1.0,Share of Top 30 (L1 Norm),cosine,18
3,0.318,0.177,1.0,Share of Top 30 (L1 Norm),cosine,19
3,0.318,0.169,1.0,Share of Total,cosine,18
3,0.318,0.169,1.0,Share of Total,cosine,19
3,0.317,0.186,0.987,TF-IDF,cosine,18
3,0.313,0.184,1.0,TF-IDF,cosine,10
3,0.313,0.184,1.0,TF-IDF,cosine,9
3,0.31,0.182,1.0,TF-IDF,cosine,13
3,0.309,0.181,1.0,TF-IDF,cosine,11
3,0.309,0.179,1.0,TF-IDF,cosine,16
3,0.309,0.179,0.999,TF-IDF,cosine,17
3,0.307,0.18,1.0,TF-IDF,cosine,14
3,0.305,0.179,1.0,TF-IDF,cosine,8
3,0.305,0.177,0.998,TF-IDF,cosine,15
3,0.303,0.184,1.0,L2 Normalization,cosine,5
3,0.303,0.179,1.0,Share of Total,cosine,5
3,0.303,0.175,1.0,Share of Top 30 (L1 Norm),cosine,5
3,0.301,0.177,1.0,TF-IDF,cosine,12
3,0.3,0.175,1.0,TF-IDF,cosine,19
3,0.289,0.168,0.985,TF-IDF,cosine,20
3,0.286,0.178,1.0,L2 Normalization,cosine,9
3,0.286,0.172,1.0,Share of Top 30 (L1 Norm),cosine,9
3,0.286,0.172,1.0,Share of Total,cosine,9
3,0.258,0.155,1.0,TF-IDF,cosine,6
3,0.242,0.149,1.0,TF-IDF,cosine,5
4,0.327,0.194,1.0,L2 Normalization,cosine,16
4,0.327,0.194,0.997,L2 Normalization,cosine,17
4,0.327,0.182,1.0,Share of Top 30 (L1 Norm),cosine,16
4,0.327,0.182,0.997,Share of Top 30 (L1 Norm),cosine,17
4,0.327,0.178,1.0,Share of Total,cosine,16
4,0.327,0.178,0.997,Share of Total,cosine,17
4,0.326,0.197,1.0,L2 Normalization,cosine,10
4,0.326,0.197,0.975,L2 Normalization,cosine,13
4,0.326,0.193,1.0,L2 Normalization,cosine,20
4,0.326,0.186,1.0,Share of Total,cosine,10
4,0.326,0.185,1.0,Share of Top 30 (L1 Norm),cosine,10
4,0.326,0.185,0.975,Share of Top 30 (L1 Norm),cosine,13
4,0.326,0.185,0.975,Share of Total,cosine,13
4,0.326,0.182,1.0,Share of Top 30 (L1 Norm),cosine,20
4,0.326,0.178,1.0,Share of Total,cosine,20
4,0.325,0.192,1.0,L2 Normalization,cosine,18
4,0.325,0.192,1.0,L2 Normalization,cosine,19
4,0.325,0.179,1.0,Share of Top 30 (L1 Norm),cosine,18
4,0.325,0.179,1.0,Share of Top 30 (L1 Norm),cosine,19
4,0.325,0.178,1.0,Share of Total,cosine,18
4,0.325,0.178,1.0,Share of Total,cosine,19
4,0.324,0.196,0.993,L2 Normalization,cosine,11
4,0.324,0.193,1.0,L2 Normalization,cosine,14
4,0.324,0.185,0.993,Share of Total,cosine,11
4,0.324,0.184,0.993,Share of Top 30 (L1 Norm),cosine,11
4,0.324,0.181,1.0,Share of Top 30 (L1 Norm),cosine,14
4,0.324,0.177,1.0,Share of Total,cosine,14
4,0.32,0.19,0.985,L2 Normalization,cosine,15
4,0.32,0.177,0.985,Share of Top 30 (L1 Norm),cosine,15
4,0.32,0.176,0.985,Share of Total,cosine,15
4,0.318,0.192,0.997,L2 Normalization,cosine,9
4,0.318,0.182,0.997,Share of Total,cosine,9
4,0.318,0.18,0.997,Share of Top 30 (L1 Norm),cosine,9
4,0.316,0.192,1.0,L2 Normalization,cosine,8
4,0.316,0.181,1.0,Share of Total,cosine,8
4,0.316,0.18,1.0,Share of Top 30 (L1 Norm),cosine,8
4,0.315,0.191,1.0,L2 Normalization,cosine,12
4,0.315,0.181,1.0,Share of Total,cosine,12
4,0.315,0.18,1.0,Share of Top 30 (L1 Norm),cosine,12
4,0.308,0.188,1.0,L2 Normalization,cosine,6
4,0.308,0.177,1.0,Share of Top 30 (L1 Norm),cosine,6
4,0.308,0.177,1.0,Share of Total,cosine,6
4,0.294,0.181,1.0,L2 Normalization,cosine,7
4,0.294,0.171,1.0,Share of Total,cosine,7
4,0.294,0.168,1.0,Share of Top 30 (L1 Norm),cosine,7
4,0.287,0.178,0.998,L2 Normalization,cosine,5
4,0.287,0.168,0.998,Share of Total,cosine,5
4,0.287,0.166,0.998,Share of Top 30 (L1 Norm),cosine,5
4,0.283,0.168,1.0,TF-IDF,cosine,9
4,0.282,0.166,0.996,TF-IDF,cosine,11
4,0.277,0.164,0.994,TF-IDF,cosine,13
4,0.277,0.164,0.963,TF-IDF,cosine,10
4,0.276,0.164,1.0,TF-IDF,cosine,12
4,0.275,0.163,1.0,TF-IDF,cosine,15
4,0.275,0.163,0.999,TF-IDF,cosine,16
4,0.275,0.163,0.991,TF-IDF,cosine,17
4,0.274,0.162,1.0,TF-IDF,cosine,14
4,0.273,0.161,0.979,TF-IDF,cosine,19
4,0.273,0.161,0.973,TF-IDF,cosine,20
4,0.272,0.161,0.997,TF-IDF,cosine,18
4,0.27,0.161,0.999,TF-IDF,cosine,7
4,0.269,0.16,0.994,TF-IDF,cosine,8
4,0.267,0.16,1.0,TF-IDF,cosine,6
4,0.227,0.141,1.0,TF-IDF,cosine,5
5,0.291,0.172,1.0,L2 Normalization,cosine,9
5,0.291,0.158,1.0,Share of Total,cosine,9
5,0.291,0.156,1.0,Share of Top 30 (L1 Norm),cosine,9
5,0.287,0.169,1.0,L2 Normalization,cosine,11
5,0.287,0.156,1.0,Share of Total,cosine,11
5,0.287,0.155,1.0,Share of Top 30 (L1 Norm),cosine,11
5,0.282,0.166,0.998,L2 Normalization,cosine,17
5,0.282,0.153,0.998,Share of Top 30 (L1 Norm),cosine,17
5,0.282,0.153,0.998,Share of Total,cosine,17
5,0.28,0.166,0.938,L2 Normalization,cosine,20
5,0.28,0.148,0.938,Share of Total,cosine,20
5,0.28,0.147,0.938,Share of Top 30 (L1 Norm),cosine,20
5,0.279,0.165,1.0,L2 Normalization,cosine,10
5,0.279,0.165,0.995,L2 Normalization,cosine,12
5,0.279,0.152,0.995,Share of Top 30 (L1 Norm),cosine,12
5,0.279,0.152,0.995,Share of Total,cosine,12
5,0.279,0.151,1.0,Share of Top 30 (L1 Norm),cosine,10
5,0.279,0.15,1.0,Share of Total,cosine,10
5,0.274,0.163,0.961,L2 Normalization,cosine,19
5,0.274,0.161,1.0,L2 Normalization,cosine,15
5,0.274,0.151,0.961,Share of Total,cosine,19
5,0.274,0.15,0.961,Share of Top 30 (L1 Norm),cosine,19
5,0.274,0.148,1.0,Share of Top 30 (L1 Norm),cosine,15
5,0.274,0.148,1.0,Share of Total,cosine,15
5,0.273,0.163,1.0,L2 Normalization,cosine,7
5,0.273,0.161,0.971,L2 Normalization,cosine,16
5,0.273,0.153,1.0,Share of Total,cosine,7
5,0.273,0.15,1.0,Share of Top 30 (L1 Norm),cosine,7
5,0.273,0.148,0.971,Share of Top 30 (L1 Norm),cosine,16
5,0.273,0.146,0.971,Share of Total,cosine,16
5,0.272,0.161,0.995,L2 Normalization,cosine,13
5,0.272,0.147,0.995,Share of Top 30 (L1 Norm),cosine,13
5,0.272,0.147,0.995,Share of Total,cosine,13
5,0.271,0.16,0.999,L2 Normalization,cosine,14
5,0.271,0.146,0.999,Share of Total,cosine,14
5,0.271,0.145,0.999,Share of Top 30 (L1 Norm),cosine,14
5,0.27,0.16,0.946,L2 Normalization,cosine,18
5,0.27,0.145,0.946,Share of Total,cosine,18
5,0.27,0.144,0.946,Share of Top 30 (L1 Norm),cosine,18
5,0.269,0.161,1.0,L2 Normalization,cosine,8
5,0.269,0.149,1.0,Share of Total,cosine,8
5,0.269,0.145,1.0,Share of Top 30 (L1 Norm),cosine,8
5,0.253,0.151,0.998,L2 Normalization,cosine,6
5,0.253,0.139,0.998,Share of Top 30 (L1 Norm),cosine,6
5,0.253,0.139,0.998,Share of Total,cosine,6
5,0.248,0.15,0.995,TF-IDF,cosine,5
5,0.247,0.146,1.0,TF-IDF,cosine,9
5,0.245,0.144,0.988,TF-IDF,cosine,7
5,0.242,0.151,0.942,L2 Normalization,cosine,5
5,0.242,0.145,0.942,Share of Total,cosine,5
5,0.242,0.143,0.964,TF-IDF,cosine,13
5,0.242,0.131,0.942,Share of Top 30 (L1 Norm),cosine,5
5,0.241,0.143,0.989,TF-IDF,cosine,6
5,0.241,0.141,0.999,TF-IDF,cosine,14
5,0.24,0.141,0.993,TF-IDF,cosine,8
5,0.237,0.14,1.0,TF-IDF,cosine,17
5,0.236,0.14,1.0,TF-IDF,cosine,10
5,0.234,0.138,1.0,TF-IDF,cosine,11
5,0.233,0.137,0.947,TF-IDF,cosine,20
5,0.232,0.137,1.0,TF-IDF,cosine,16
5,0.232,0.137,0.999,TF-IDF,cosine,15
5,0.231,0.136,0.976,TF-IDF,cosine,18
5,0.23,0.135,0.99,TF-IDF,cosine,12
5,0.226,0.133,0.952,TF-IDF,cosine,19
6,0.299,0.176,0.99,L2 Normalization,cosine,11
6,0.299,0.159,0.99,Share of Total,cosine,11
6,0.299,0.158,0.99,Share of Top 30 (L1 Norm),cosine,11
6,0.298,0.175,1.0,L2 Normalization,cosine,9
6,0.298,0.158,1.0,Share of Top 30 (L1 Norm),cosine,9
6,0.298,0.158,1.0,Share of Total,cosine,9
6,0.297,0.175,0.966,L2 Normalization,cosine,18
6,0.297,0.16,0.966,Share of Top 30 (L1 Norm),cosine,18
6,0.297,0.159,0.966,Share of Total,cosine,18
6,0.29,0.17,0.97,L2 Normalization,cosine,17
6,0.29,0.154,0.97,Share of Top 30 (L1 Norm),cosine,17
6,0.29,0.154,0.97,Share of Total,cosine,17
6,0.287,0.168,0.963,L2 Normalization,cosine,19
6,0.287,0.153,0.963,Share of Top 30 (L1 Norm),cosine,19
6,0.287,0.152,0.963,Share of Total,cosine,19
6,0.281,0.165,0.975,L2 Normalization,cosine,15
6,0.281,0.15,0.975,Share of Top 30 (L1 Norm),cosine,15
6,0.281,0.149,0.975,Share of Total,cosine,15
6,0.278,0.163,0.985,L2 Normalization,cosine,16
6,0.278,0.149,0.985,Share of Top 30 (L1 Norm),cosine,16
6,0.278,0.148,0.985,Share of Total,cosine,16
6,0.277,0.166,0.994,L2 Normalization,cosine,8
6,0.277,0.162,0.953,L2 Normalization,cosine,20
6,0.277,0.151,0.994,Share of Top 30 (L1 Norm),cosine,8
6,0.277,0.151,0.994,Share of Total,cosine,8
6,0.277,0.147,0.953,Share of Total,cosine,20
6,0.277,0.145,0.953,Share of Top 30 (L1 Norm),cosine,20
6,0.258,0.151,0.99,TF-IDF,cosine,8
6,0.257,0.152,1.0,L2 Normalization,cosine,6
6,0.257,0.138,1.0,Share of Total,cosine,6
6,0.257,0.137,1.0,Share of Top 30 (L1 Norm),cosine,6
6,0.254,0.148,0.988,TF-IDF,cosine,9
6,0.253,0.151,0.921,L2 Normalization,cosine,10
6,0.253,0.136,0.921,Share of Top 30 (L1 Norm),cosine,10
6,0.253,0.135,0.921,Share of Total,cosine,10
6,0.252,0.149,0.998,L2 Normalization,cosine,7
6,0.252,0.136,0.998,Share of Total,cosine,7
6,0.252,0.134,0.998,Share of Top 30 (L1 Norm),cosine,7
6,0.251,0.146,0.989,TF-IDF,cosine,19
6,0.247,0.144,0.926,TF-IDF,cosine,6
6,0.244,0.146,0.988,TF-IDF,cosine,5
6,0.242,0.141,0.958,TF-IDF,cosine,18
6,0.24,0.14,0.997,TF-IDF,cosine,7
6,0.24,0.14,0.987,TF-IDF,cosine,15
6,0.237,0.136,0.979,TF-IDF,cosine,20
6,0.235,0.143,0.982,L2 Normalization,cosine,13
6,0.235,0.139,0.992,TF-IDF,cosine,10
6,0.235,0.126,0.982,Share of Total,cosine,13
6,0.235,0.125,0.982,Share of Top 30 (L1 Norm),cosine,13
6,0.234,0.142,0.982,L2 Normalization,cosine,12
6,0.234,0.137,0.986,TF-IDF,cosine,11
6,0.234,0.125,0.982,Share of Top 30 (L1 Norm),cosine,12
6,0.234,0.125,0.982,Share of Total,cosine,12
6,0.229,0.14,1.0,L2 Normalization,cosine,14
6,0.229,0.123,1.0,Share of Total,cosine,14
6,0.229,0.121,1.0,Share of Top 30 (L1 Norm),cosine,14
6,0.223,0.13,0.917,TF-IDF,cosine,12
6,0.207,0.123,0.93,TF-IDF,cosine,13
6,0.193,0.116,0.926,TF-IDF,cosine,14
6,0.192,0.116,0.965,TF-IDF,cosine,16
6,0.192,0.116,0.88,TF-IDF,cosine,17
6,0.178,0.13,0.843,Share of Top 30 (L1 Norm),cosine,5
6,0.178,0.117,0.843,L2 Normalization,cosine,5
6,0.178,0.11,0.843,Share of Total,cosine,5
7,0.269,0.159,0.985,L2 Normalization,cosine,9
7,0.269,0.14,0.985,Share of Total,cosine,9
7,0.269,0.139,0.985,Share of Top 30 (L1 Norm),cosine,9
7,0.261,0.153,0.863,L2 Normalization,cosine,19
7,0.261,0.146,0.863,Share of Top 30 (L1 Norm),cosine,19
7,0.261,0.139,0.863,Share of Total,cosine,19
7,0.259,0.155,0.895,L2 Normalization,cosine,18
7,0.259,0.143,0.895,Share of Top 30 (L1 Norm),cosine,18
7,0.259,0.14,0.895,Share of Total,cosine,18
7,0.258,0.155,0.967,L2 Normalization,cosine,14
7,0.258,0.142,0.967,Share of Top 30 (L1 Norm),cosine,14
7,0.258,0.14,0.967,Share of Total,cosine,14
7,0.257,0.151,0.817,L2 Normalization,cosine,20
7,0.257,0.141,0.817,Share of Top 30 (L1 Norm),cosine,20
7,0.257,0.137,0.817,Share of Total,cosine,20
7,0.253,0.152,0.909,L2 Normalization,cosine,17
7,0.253,0.151,0.925,L2 Normalization,cosine,11
7,0.253,0.139,0.925,Share of Top 30 (L1 Norm),cosine,11
7,0.253,0.138,0.909,Share of Top 30 (L1 Norm),cosine,17
7,0.253,0.137,0.909,Share of Total,cosine,17
7,0.253,0.136,0.925,Share of Total,cosine,11
7,0.252,0.152,0.914,L2 Normalization,cosine,16
7,0.252,0.15,0.959,L2 Normalization,cosine,10
7,0.252,0.15,0.856,L2 Normalization,cosine,15
7,0.252,0.14,0.959,Share of Top 30 (L1 Norm),cosine,10
7,0.252,0.138,0.914,Share of Top 30 (L1 Norm),cosine,16
7,0.252,0.138,0.856,Share of Top 30 (L1 Norm),cosine,15
7,0.252,0.137,0.856,Share of Total,cosine,15
7,0.252,0.136,0.959,Share of Total,cosine,10
7,0.252,0.136,0.914,Share of Total,cosine,16
7,0.25,0.149,0.977,L2 Normalization,cosine,13
7,0.25,0.137,0.977,Share of Top 30 (L1 Norm),cosine,13
7,0.25,0.137,0.977,Share of Total,cosine,13
7,0.245,0.146,0.932,L2 Normalization,cosine,7
7,0.245,0.129,0.932,Share of Total,cosine,7
7,0.245,0.126,0.932,Share of Top 30 (L1 Norm),cosine,7
7,0.244,0.146,0.931,L2 Normalization,cosine,12
7,0.244,0.132,0.931,Share of Top 30 (L1 Norm),cosine,12
7,0.244,0.131,0.931,Share of Total,cosine,12
7,0.238,0.144,0.906,L2 Normalization,cosine,6
7,0.238,0.137,0.906,Share of Top 30 (L1 Norm),cosine,6
7,0.238,0.135,0.906,Share of Total,cosine,6
7,0.235,0.142,0.937,L2 Normalization,cosine,8
7,0.235,0.137,0.998,TF-IDF,cosine,8
7,0.235,0.133,0.937,Share of Top 30 (L1 Norm),cosine,8
7,0.235,0.133,0.937,Share of Total,cosine,8
7,0.225,0.132,0.976,TF-IDF,cosine,5
7,0.224,0.131,1.0,TF-IDF,cosine,6
7,0.222,0.129,0.923,TF-IDF,cosine,18
7,0.213,0.126,0.933,TF-IDF,cosine,7
7,0.213,0.124,0.947,TF-IDF,cosine,19
7,0.212,0.126,0.948,TF-IDF,cosine,16
7,0.212,0.126,0.912,TF-IDF,cosine,17
7,0.21,0.146,0.995,Share of Top 30 (L1 Norm),cosine,5
7,0.21,0.136,0.995,L2 Normalization,cosine,5
7,0.21,0.127,0.995,Share of Total,cosine,5
7,0.21,0.123,0.957,TF-IDF,cosine,10
7,0.208,0.124,0.891,TF-IDF,cosine,15
7,0.208,0.124,0.885,TF-IDF,cosine,14
7,0.208,0.123,0.962,TF-IDF,cosine,12
7,0.208,0.123,0.931,TF-IDF,cosine,13
7,0.208,0.121,0.873,TF-IDF,cosine,20
7,0.204,0.12,0.888,TF-IDF,cosine,11
7,0.202,0.12,0.874,TF-IDF,cosine,9
8,0.255,0.151,0.861,L2 Normalization,cosine,19
8,0.255,0.141,0.861,Share of Top 30 (L1 Norm),cosine,19
8,0.255,0.137,0.861,Share of Total,cosine,19
8,0.254,0.151,0.81,L2 Normalization,cosine,18
8,0.254,0.14,0.81,Share of Top 30 (L1 Norm),cosine,18
8,0.254,0.136,0.81,Share of Total,cosine,18
8,0.251,0.148,0.8,L2 Normalization,cosine,20
8,0.251,0.139,0.8,Share of Top 30 (L1 Norm),cosine,20
8,0.251,0.133,0.8,Share of Total,cosine,20
8,0.248,0.146,0.891,L2 Normalization,cosine,17
8,0.248,0.138,0.891,Share of Top 30 (L1 Norm),cosine,17
8,0.248,0.133,0.891,Share of Total,cosine,17
8,0.242,0.145,0.988,L2 Normalization,cosine,11
8,0.242,0.133,0.988,Share of Top 30 (L1 Norm),cosine,11
8,0.242,0.131,0.988,Share of Total,cosine,11
8,0.241,0.144,0.996,L2 Normalization,cosine,9
8,0.241,0.132,0.996,Share of Top 30 (L1 Norm),cosine,9
8,0.241,0.131,0.996,Share of Total,cosine,9
8,0.24,0.143,0.853,L2 Normalization,cosine,16
8,0.24,0.133,0.853,Share of Top 30 (L1 Norm),cosine,16
8,0.24,0.129,0.853,Share of Total,cosine,16
8,0.239,0.143,0.997,L2 Normalization,cosine,10
8,0.239,0.137,0.997,Share of Top 30 (L1 Norm),cosine,10
8,0.239,0.129,0.997,Share of Total,cosine,10
8,0.236,0.144,0.968,L2 Normalization,cosine,6
8,0.236,0.135,0.968,Share of Top 30 (L1 Norm),cosine,6
8,0.236,0.131,0.968,Share of Total,cosine,6
8,0.229,0.136,0.859,L2 Normalization,cosine,15
8,0.229,0.127,0.859,Share of Top 30 (L1 Norm),cosine,15
8,0.229,0.121,0.859,Share of Total,cosine,15
8,0.226,0.135,0.799,L2 Normalization,cosine,13
8,0.226,0.126,0.799,Share of Top 30 (L1 Norm),cosine,13
8,0.226,0.122,0.799,Share of Total,cosine,13
8,0.225,0.137,0.997,L2 Normalization,cosine,8
