k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.537,0.365,1.0,Share of Total,euclidean,9
2,0.525,0.354,1.0,Share of Total,euclidean,10
2,0.525,0.354,1.0,Share of Total,euclidean,11
2,0.527,0.352,1.0,Share of Total,euclidean,12
2,0.527,0.352,1.0,Share of Total,euclidean,13
2,0.527,0.352,1.0,Share of Total,euclidean,14
2,0.512,0.345,1.0,Share of Total,euclidean,6
2,0.512,0.345,1.0,Share of Total,euclidean,7
2,0.512,0.345,1.0,Share of Total,euclidean,8
2,0.537,0.343,1.0,L2 Normalization,euclidean,7
2,0.537,0.343,1.0,L2 Normalization,euclidean,8
2,0.537,0.343,1.0,Share of Top 30 (L1 Norm),euclidean,7
2,0.505,0.336,0.98,Share of Total,euclidean,5
2,0.527,0.333,1.0,L2 Normalization,euclidean,12
2,0.527,0.333,1.0,L2 Normalization,euclidean,13
2,0.527,0.333,1.0,L2 Normalization,euclidean,14
2,0.525,0.333,1.0,L2 Normalization,euclidean,10
2,0.525,0.333,1.0,L2 Normalization,euclidean,9
2,0.525,0.331,1.0,Share of Top 30 (L1 Norm),euclidean,10
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,11
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,12
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,13
2,0.527,0.33,1.0,Share of Top 30 (L1 Norm),euclidean,14
2,0.523,0.329,1.0,L2 Normalization,euclidean,15
2,0.523,0.329,1.0,L2 Normalization,euclidean,16
2,0.512,0.328,1.0,L2 Normalization,euclidean,11
2,0.512,0.328,1.0,L2 Normalization,euclidean,6
2,0.509,0.328,0.999,L2 Normalization,euclidean,5
2,0.523,0.326,1.0,Share of Top 30 (L1 Norm),euclidean,15
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),euclidean,5
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),euclidean,6
2,0.512,0.323,1.0,Share of Top 30 (L1 Norm),euclidean,8
2,0.502,0.321,1.0,Share of Total,euclidean,15
2,0.506,0.312,1.0,Share of Top 30 (L1 Norm),euclidean,16
2,0.5,0.312,1.0,L2 Normalization,euclidean,17
2,0.5,0.312,1.0,Share of Top 30 (L1 Norm),euclidean,9
2,0.494,0.312,1.0,TF-IDF,euclidean,5
2,0.491,0.312,1.0,Share of Total,euclidean,16
2,0.493,0.31,1.0,TF-IDF,euclidean,10
2,0.493,0.31,1.0,TF-IDF,euclidean,11
2,0.493,0.31,1.0,TF-IDF,euclidean,6
2,0.493,0.31,1.0,TF-IDF,euclidean,7
2,0.493,0.31,1.0,TF-IDF,euclidean,8
2,0.493,0.31,1.0,TF-IDF,euclidean,9
2,0.495,0.307,1.0,TF-IDF,euclidean,12
2,0.495,0.307,1.0,TF-IDF,euclidean,14
2,0.495,0.307,1.0,TF-IDF,euclidean,15
2,0.495,0.307,0.999,TF-IDF,euclidean,17
2,0.495,0.307,0.996,TF-IDF,euclidean,18
2,0.489,0.303,1.0,L2 Normalization,euclidean,18
2,0.489,0.303,1.0,TF-IDF,euclidean,16
2,0.476,0.295,1.0,TF-IDF,euclidean,13
2,0.469,0.286,1.0,Share of Top 30 (L1 Norm),euclidean,17
2,0.469,0.286,1.0,Share of Top 30 (L1 Norm),euclidean,18
2,0.469,0.286,1.0,Share of Top 30 (L1 Norm),euclidean,19
2,0.469,0.286,1.0,Share of Top 30 (L1 Norm),euclidean,20
2,0.456,0.28,1.0,L2 Normalization,euclidean,19
2,0.456,0.28,1.0,L2 Normalization,euclidean,20
2,0.456,0.28,1.0,Share of Total,euclidean,17
2,0.456,0.28,1.0,Share of Total,euclidean,18
2,0.456,0.28,1.0,Share of Total,euclidean,19
2,0.446,0.272,1.0,Share of Total,euclidean,20
2,0.445,0.272,1.0,TF-IDF,euclidean,19
2,0.404,0.245,1.0,TF-IDF,euclidean,20
3,0.355,0.211,1.0,L2 Normalization,euclidean,10
3,0.354,0.211,1.0,L2 Normalization,euclidean,8
3,0.354,0.21,1.0,L2 Normalization,euclidean,11
3,0.347,0.206,1.0,L2 Normalization,euclidean,12
3,0.338,0.203,1.0,L2 Normalization,euclidean,6
3,0.354,0.201,1.0,Share of Total,euclidean,10
3,0.351,0.201,1.0,Share of Total,euclidean,11
3,0.351,0.201,0.997,Share of Top 30 (L1 Norm),euclidean,9
3,0.334,0.201,1.0,L2 Normalization,euclidean,7
3,0.35,0.199,1.0,Share of Top 30 (L1 Norm),euclidean,14
3,0.35,0.199,0.998,Share of Top 30 (L1 Norm),euclidean,17
3,0.336,0.199,1.0,L2 Normalization,euclidean,15
3,0.35,0.198,1.0,Share of Total,euclidean,14
3,0.334,0.198,1.0,L2 Normalization,euclidean,13
3,0.334,0.198,1.0,L2 Normalization,euclidean,14
3,0.349,0.197,0.984,Share of Total,euclidean,15
3,0.348,0.197,0.998,Share of Total,euclidean,16
3,0.346,0.197,1.0,Share of Top 30 (L1 Norm),euclidean,15
3,0.332,0.197,0.997,L2 Normalization,euclidean,16
3,0.351,0.196,1.0,Share of Total,euclidean,17
3,0.331,0.196,1.0,L2 Normalization,euclidean,20
3,0.341,0.195,1.0,Share of Total,euclidean,8
3,0.342,0.194,0.995,Share of Top 30 (L1 Norm),euclidean,13
3,0.34,0.194,1.0,Share of Top 30 (L1 Norm),euclidean,10
3,0.34,0.191,1.0,Share of Total,euclidean,13
3,0.319,0.19,1.0,L2 Normalization,euclidean,17
3,0.331,0.189,1.0,Share of Total,euclidean,7
3,0.318,0.189,1.0,L2 Normalization,euclidean,18
3,0.318,0.189,1.0,L2 Normalization,euclidean,19
3,0.336,0.187,1.0,Share of Top 30 (L1 Norm),euclidean,18
3,0.336,0.187,1.0,Share of Top 30 (L1 Norm),euclidean,19
3,0.318,0.187,1.0,TF-IDF,euclidean,7
3,0.332,0.186,1.0,Share of Top 30 (L1 Norm),euclidean,16
3,0.324,0.186,1.0,Share of Top 30 (L1 Norm),euclidean,8
3,0.317,0.186,0.987,TF-IDF,euclidean,18
3,0.335,0.184,1.0,Share of Total,euclidean,20
3,0.335,0.184,0.988,Share of Total,euclidean,12
3,0.313,0.184,1.0,TF-IDF,euclidean,10
3,0.313,0.184,1.0,TF-IDF,euclidean,9
3,0.303,0.184,1.0,L2 Normalization,euclidean,5
3,0.336,0.183,0.99,Share of Total,euclidean,18
3,0.31,0.182,1.0,TF-IDF,euclidean,13
3,0.309,0.181,1.0,TF-IDF,euclidean,11
3,0.312,0.18,0.997,Share of Top 30 (L1 Norm),euclidean,5
3,0.307,0.18,1.0,TF-IDF,euclidean,14
3,0.319,0.179,1.0,Share of Top 30 (L1 Norm),euclidean,20
3,0.309,0.179,1.0,TF-IDF,euclidean,16
3,0.309,0.179,0.999,TF-IDF,euclidean,17
3,0.305,0.179,1.0,TF-IDF,euclidean,8
3,0.286,0.178,1.0,L2 Normalization,euclidean,9
3,0.305,0.177,0.998,TF-IDF,euclidean,15
3,0.301,0.177,1.0,TF-IDF,euclidean,12
