Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4821984708610206,0.008057456058076583,0.2983260948201435,0.0055727900360609635,1.4700634482720918,0.03081184605244278,0.9267743571169865,0.07547926502760562,-604525.938346184,84.35806496980655,-611922.3917849672,84.35806496980655
3,0.31082302500996656,0.002140642829644845,0.18043899945401554,0.0012800115060310317,1.6701283571772978,0.007813250419182589,0.9239808687648974,0.05282900133118577,-609451.2800103063,78.48364807793878,-620547.1573930583,78.4836480779388
4,0.20665174504397574,0.015495738245837457,0.12076715797202643,0.008977606288924612,2.2581905963986535,0.11857829772208758,0.6624123651583578,0.2046800350943883,-609785.8749417737,417.447918872508,-624581.1762684948,417.447918872508
5,0.17689464780222813,0.018100855638540286,0.1027116392635579,0.009586254555579604,2.1445531316244537,0.09068132674802651,0.6652344679821064,0.11850925136503242,-608372.5962276766,491.31438427102114,-626867.3214983665,491.31438427102114
6,0.1589161825496567,0.021857543811038625,0.09249349714955843,0.012004263949799652,2.1603776623487727,0.09618118907105017,0.6157247344274405,0.1032123817153779,-605355.0856686444,374.0763620164992,-627549.2348833032,374.0763620164993
7,0.1411058539982582,0.021805144494599613,0.08238914409329473,0.012230235324535224,2.1214596205518004,0.11105953369099565,0.5667671869894616,0.10442017905750924,-601476.9844773964,329.93440686603356,-627370.557636024,329.93440686603356
8,0.12262423541288445,0.02211683923873355,0.0719553700972143,0.012303674846384125,2.1224086695372324,0.13416137162271344,0.54682522391827,0.10308927614984878,-597474.0542393475,329.33790017479873,-627067.0513419441,329.33790017479873
9,0.12040695387195219,0.022306706555024834,0.07108376775089846,0.012332684879434883,2.052546511665481,0.12138714137205622,0.5583949801019008,0.10555380784563453,-593135.544410869,332.680586160141,-626427.9654574348,332.680586160141
10,0.11532397307564557,0.024147426274548113,0.06826015168139656,0.01314052055508538,1.9691552895745243,0.1180333029844007,0.5552167555629968,0.10155555472774251,-588633.5838184671,374.737410071545,-625625.4288090016,374.737410071545
11,0.11186905756108327,0.026211139777330774,0.06675455174453099,0.014261714978602074,1.894286171776189,0.09982355275602331,0.545644247629691,0.10617673767532369,-584020.1403577831,381.76170218149804,-624711.4092922866,381.76170218149804
12,0.11538807990772183,0.024838099891441163,0.069101328948974,0.013703506064004983,1.8014852836852628,0.10340059568604043,0.5151130291078779,0.10228854718053065,-579227.4190464334,416.73874616750567,-623618.1119249058,416.73874616750567
13,0.11525476699418855,0.021211686068970028,0.06896908367592082,0.01160263261051087,1.7246173684689725,0.10141616049648076,0.5025263303986303,0.10380422456501569,-574405.2078278731,473.53409700845043,-622495.3246503144,473.5340970084505
14,0.10606385265290948,0.02486428842744115,0.06401517823538218,0.013549067543576578,1.692977157783126,0.11259958716179544,0.48908198953419346,0.09903415549463664,-569537.1787166705,446.08946786944125,-621326.7194830808,446.0894678694413
