,2,3,4,5,6,7,8,9,10,11,12,13,14
0,2,2,4,4,2,2,2,2,3,9,10,12,12
1,1,1,1,2,6,5,7,3,4,5,4,5,5
2,2,3,2,2,5,7,6,5,7,4,7,7,9
3,1,3,2,2,5,5,6,5,6,3,6,8,7
4,2,3,4,3,4,4,4,6,8,10,11,11,13
5,2,2,4,4,2,2,2,2,3,9,10,12,12
6,2,2,4,4,2,2,2,2,3,9,10,12,12
7,2,2,4,5,4,4,5,9,8,11,12,13,14
8,2,2,3,5,3,3,3,7,10,8,9,10,11
9,2,2,4,4,2,2,2,2,3,9,10,12,12
10,1,1,1,1,1,1,1,1,2,2,1,2,2
11,2,2,4,4,2,2,2,2,3,9,10,12,12
12,2,2,4,3,4,4,4,6,8,10,11,11,13
13,1,1,1,1,1,1,1,1,1,1,2,3,3
14,1,3,2,2,6,6,8,4,5,6,5,6,6
15,2,2,4,3,4,4,4,6,8,10,11,11,13
16,1,1,1,2,6,5,7,3,4,5,4,5,5
17,1,1,1,1,1,1,1,1,2,2,1,2,2
18,2,3,4,3,4,4,4,6,8,10,11,11,13
19,2,2,3,5,3,3,3,8,9,7,8,9,10
20,2,2,4,4,2,2,2,2,3,9,10,12,12
21,2,2,4,4,2,2,2,2,3,9,10,12,12
22,1,1,1,1,1,1,1,1,1,1,2,3,3
23,2,3,4,3,4,4,4,6,8,10,11,11,13
24,2,2,3,5,3,3,3,7,10,8,9,10,11
25,1,3,2,2,6,5,7,3,4,5,4,5,5
26,2,3,2,3,6,6,8,4,5,6,5,6,6
27,1,1,1,2,6,5,7,3,4,5,4,5,5
28,2,2,4,4,2,2,2,2,3,9,10,12,12
29,2,3,2,2,5,5,6,5,6,3,6,8,7
30,2,2,4,3,4,4,4,6,8,10,11,11,13
31,2,3,2,3,6,6,8,4,5,6,5,6,6
32,1,1,1,1,1,1,1,1,1,1,3,4,4
33,2,2,4,4,2,2,2,2,3,9,10,13,12
34,2,2,3,5,3,3,3,8,9,7,8,9,10
35,1,1,1,1,1,1,1,1,2,2,1,1,1
36,2,3,2,2,5,5,6,5,6,3,6,8,7
37,2,3,4,3,4,4,4,6,8,10,11,11,13
38,2,3,2,2,5,7,6,5,7,4,7,7,9
39,1,1,1,1,1,1,1,1,2,2,1,1,1
40,2,3,2,3,6,4,4,6,8,10,5,11,13
41,2,2,4,4,2,2,2,2,3,9,10,12,12
42,1,3,2,2,5,5,6,5,6,3,6,8,7
43,2,2,4,4,2,2,2,2,3,9,10,12,12
44,2,3,2,2,5,5,6,5,6,3,6,8,7
45,2,3,2,3,5,7,6,5,7,4,7,7,9
46,2,2,3,5,3,3,3,7,10,8,9,10,11
47,2,3,2,3,5,7,6,5,7,4,7,7,9
48,2,3,2,3,5,7,6,8,7,4,7,7,9
49,2,3,2,2,6,5,7,3,4,5,4,5,5
50,2,2,4,4,2,2,2,2,3,9,10,12,12
51,1,1,1,1,1,1,1,1,1,1,2,3,3
52,2,2,4,4,2,2,2,2,3,9,10,12,12
53,2,2,3,5,3,3,3,7,10,8,9,10,11
54,1,1,1,1,1,1,1,1,2,2,1,2,2
55,2,3,2,3,5,7,6,5,7,4,7,7,9
56,2,3,2,2,5,7,6,5,7,4,7,7,8
57,2,2,4,3,4,4,4,6,8,10,11,11,13
58,2,3,2,2,5,5,6,5,6,3,6,8,7
59,2,3,4,3,4,4,4,6,8,10,11,11,13
60,2,3,4,4,2,2,2,2,3,9,10,12,12
61,2,2,4,4,2,2,2,2,3,9,10,12,12
62,1,1,1,1,1,1,1,1,2,2,1,2,2
63,2,3,4,3,4,4,4,6,8,10,11,11,13
64,2,3,2,3,6,6,8,4,5,6,5,6,8
65,2,2,4,4,2,2,2,2,3,9,10,12,12
66,2,3,2,3,6,6,8,4,5,6,5,6,8
67,2,3,4,4,2,2,2,2,3,9,10,12,12
68,2,2,3,5,3,3,3,7,10,8,9,10,11
69,2,2,3,5,3,3,3,8,9,7,8,9,10
70,1,1,1,1,1,1,1,1,2,2,1,2,2
71,2,2,4,4,2,2,2,2,3,9,10,12,12
72,2,3,2,2,5,7,6,5,7,4,7,6,8
73,2,2,4,5,4,4,4,6,8,10,11,11,13
74,2,2,3,5,3,3,3,7,10,8,9,10,11
75,2,3,2,3,5,7,6,5,7,4,7,7,9
76,2,3,4,3,4,4,4,6,8,10,11,11,13
77,2,2,4,4,2,2,2,2,3,9,10,12,12
78,2,2,4,4,2,2,2,2,3,9,10,12,12
79,1,1,1,1,1,1,1,1,1,1,2,3,3
80,1,1,1,1,1,1,1,1,1,1,2,3,3
