Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.522126662967461,0.003110479193576361,0.32605138818637813,0.005677683162453382,1.2652639281701388,0.13729554835494,0.9380375534200853,0.21844128795805756,613953.9448173696,5.422206262881999,-104196.42899945252,5.422206262881996
3,0.43415178699917545,0.07434267937558978,0.26405245699772645,0.052263157914657306,1.2819483436626833,0.29908688509198816,0.6863379022100027,0.3103557583543578,616737.6671313408,26.159778978706484,-103263.61588204307,26.15977897870648
4,0.3331908138182164,0.02518047865665626,0.19387565550853073,0.01579771674080773,1.4103437817489826,0.1935480101862486,0.7773927635658728,0.15611633410752598,619541.1936206801,13.667113337835088,-102310.99858926545,13.667113337835088
5,0.28800827434168463,0.019580573500835346,0.16644306075139792,0.010970994033644021,1.5036883756021524,0.14745899306594193,0.6867790725773513,0.1456973798859379,622359.005682162,31.289696213735812,-101344.09572434543,31.289696213735812
6,0.24395270118986645,0.02001177440373613,0.14111094133543087,0.010857406181043886,1.537700523517342,0.10894092813316483,0.5961858050726057,0.15473740201447894,625200.8108084765,25.22590016587999,-100353.19979459258,25.22590016587999
7,0.22715308477406151,0.02214739863951434,0.13114839077601864,0.012292909826252795,1.5596874756900503,0.11176144909366104,0.5959347144081392,0.1473968301613185,628020.029740864,26.720632870092057,-99384.89005876725,26.720632870092057
8,0.21637137918672916,0.022910830729332896,0.12483994860587944,0.012900267950255699,1.5528185116473652,0.1179631768774432,0.5943175285785646,0.14770867787381092,630838.1027647905,29.426426033551113,-98417.72623140212,29.426426033551113
9,0.20779226247532245,0.025964485965380018,0.12027624059625616,0.014080789883736101,1.5354945680076486,0.08419537701292856,0.5272147038868322,0.1296704073161169,633659.6215718326,27.596505001438786,-97447.11662092191,27.596505001438786
10,0.20459571030629614,0.02298247560639224,0.11834758703340965,0.012333488679111037,1.5147929273693475,0.09599518005720029,0.5227789040879166,0.11680096305299113,636481.7774334061,29.62994689034571,-96475.86995591012,29.62994689034571
11,0.20078855947224533,0.02417121455346057,0.11664198155942214,0.01302449098700004,1.4708758580125099,0.09159361858195171,0.51145300267448,0.11494343184038745,639298.9933262506,30.353253115084534,-95509.56325962761,30.35325311508454
12,0.19988210226594966,0.023729800981373218,0.11590787139384688,0.012755468739097131,1.4545774763569375,0.08576097862316687,0.5005263205693494,0.09717182866455319,642119.8226546649,31.219091133319175,-94539.64312777494,31.219091133319175
13,0.19777540493716178,0.018718328506001917,0.11461847041562782,0.010093393167968397,1.4297906052587768,0.07818900286257606,0.4925424221287937,0.09233727489866879,644940.1269219988,31.477925905445215,-93570.24805700278,31.477925905445215
14,0.19685263844709514,0.018162296637945698,0.11396429658754016,0.009957600692960276,1.3874966759354495,0.07053179600802491,0.4755297283129286,0.09122067025787252,647758.9224447755,36.41351115473456,-92602.3617307881,36.41351115473455
