Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4687860927842975,0.002204945819350276,0.2815057811705898,0.0009604348214155924,1.5547135972175101,0.009947703063002017,0.9750114761539627,0.025385434216083132,-693962.578014508,13.092754623127979,-701359.0314532912,13.092754623127979
3,0.3304352743512714,0.002994341184151702,0.18473353654965982,0.0015192718071976254,1.6514939386245624,0.007770587544381202,0.9835006835662436,0.04323112506546464,-690395.3843534727,1.2332876063029115,-701491.2617362249,1.2332876063029115
4,0.25551059818533156,0.005615487419919757,0.14023686053156234,0.0033907323467995644,1.8572470240779588,0.017744798537565085,0.9430189970745201,0.06495568440465689,-685579.0716592426,26.587172291312957,-700374.3729859637,26.58717229131296
5,0.19768219946481758,0.007436713722455354,0.12790294514434342,0.005217145765195016,1.897431021977188,0.04997483493512913,0.8351015430123713,0.08171692783433247,-680269.563514212,81.14676435041919,-698764.2887849021,81.14676435041919
6,0.18586303316168312,0.024030041674030906,0.1195213372452764,0.011372966958002287,1.8841508647995358,0.11365861470254703,0.6843879346013172,0.09748724709044644,-674488.5328429214,63.09051360711616,-696682.6820575803,63.09051360711616
7,0.17993621955525346,0.02306347799810139,0.11525572857282523,0.012451674906517123,1.8368935008957297,0.14584931963776004,0.6388573354095428,0.08899609246764831,-668613.0944334578,85.09762017695738,-694506.6675920858,85.09762017695736
8,0.17201789160025543,0.024758198959082964,0.10986955882122995,0.012941502626373962,1.7940483862747443,0.1477322859007144,0.6412890039387777,0.08889475935100327,-662666.2357278209,86.2967688506674,-692259.2328304176,86.2967688506674
9,0.1634029496194625,0.022626145995274374,0.10445162544534221,0.011045218779454307,1.7212472667942285,0.1162696770953063,0.6306380883797678,0.08725939475320955,-656598.6642950447,87.97813347852835,-689891.0853416105,87.97813347852835
10,0.1645235104982798,0.019462856429220132,0.10455388327212584,0.010399935075814463,1.6518731781513472,0.10541767606520651,0.6119099291985957,0.09194541296848865,-650533.3455560497,89.83728128546001,-687525.1905465841,89.83728128546
11,0.16212425042692977,0.020790228159502464,0.10507033259965981,0.011025241933937047,1.593115674234983,0.10317036542992475,0.6170369069526751,0.08931332326688206,-644425.521556665,98.02124119386048,-685116.7904911684,98.02124119386048
12,0.16794055194183538,0.02493853772840748,0.10944070173712099,0.013662925360494954,1.5390712059910743,0.0862915176148016,0.5753622529779009,0.1000148016302119,-638274.3317527531,115.63745081585711,-682665.0246312255,115.63745081585711
13,0.16560036333744488,0.023216136203671033,0.11045443592715422,0.01276642397259212,1.4921682749226362,0.07934758672593142,0.549442918830496,0.1024499306400253,-632110.2557479078,94.90432399745315,-680200.372570349,94.90432399745315
14,0.1713898261970845,0.02555970400233955,0.11472306938907105,0.013839723835774979,1.4392360401175284,0.08320051454848941,0.5516160768732964,0.09812926581135863,-625930.7709392831,109.4071294460087,-677720.3117056933,109.4071294460087
