Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5234707090543508,0.004356298025491208,0.33766415168277336,0.04535775662136456,1.1324694550972243,0.3662419651607695,0.6855057539421,0.439366545496878,590870.8556690909,25.327479936051052,-127279.51814773119,25.327479936051045
3,0.46579719918611545,0.051996277727939424,0.27910695669034813,0.037273730191322234,1.1646770297966471,0.2275738116514375,0.7615091883717152,0.2482194972249963,593938.6283503341,37.26119267962873,-126062.65466304966,37.261192679628735
4,0.34398930666677413,0.02181616500423374,0.1942595474798645,0.01231647794667599,1.3151127076481601,0.0459826482090015,0.7065763715175581,0.19441967671380125,597038.402043055,16.47821681501252,-124813.79016689044,16.47821681501252
5,0.2856069545511789,0.02553837956787478,0.15992693309613373,0.010415180649203952,1.4744163914827295,0.11432037267172722,0.5969409915157299,0.15737251161931495,600161.5673201793,28.181802374807063,-123541.53408632815,28.181802374807063
6,0.2405065108536408,0.029508433648392694,0.1365631934613041,0.010173701686911946,1.5379607814186516,0.10553402322707355,0.5258952314788466,0.14663584547908912,603271.8499215384,25.654096870637048,-122282.16068153072,25.654096870637048
7,0.22060180458970471,0.032056522990164205,0.12713812624088228,0.012498869152732878,1.5469520775185321,0.10761925976365193,0.49434008160260556,0.13325231852826727,606390.8702345301,30.413904456440385,-121014.04956510087,30.413904456440385
8,0.19832938272419803,0.029348612097394772,0.11716445445250803,0.011962482527340989,1.5593046472060614,0.09716734461749257,0.47316768302847345,0.12805688766750212,609508.3981910236,27.426385701322506,-119747.43080516903,27.4263857013225
9,0.19014243802579822,0.026859533354381352,0.11422090441774213,0.011763936872243688,1.533099255325549,0.09481970468254865,0.4672684975183409,0.11246483343368262,612623.364834508,27.117695933241293,-118483.37335824661,27.117695933241293
10,0.1846673086227183,0.032132963946894424,0.1157873072685347,0.015049031563957252,1.4850299429799927,0.09582045356849576,0.46705084154313686,0.11487326100918592,615737.1451002238,24.954413742267683,-117220.50228909234,24.954413742267683
11,0.17685645906074335,0.025185452556089664,0.11580664014185188,0.011163681051392073,1.459366294072658,0.08175573305783251,0.47270602619571156,0.11126422713901023,618853.6498930387,27.703830050168932,-115954.90669283943,27.703830050168932
12,0.17578179909439087,0.029244157160775275,0.11764668779512796,0.013640815210081076,1.418542735024609,0.08565941477093046,0.47709177801721925,0.10921144609495334,621966.334374159,26.841143455542376,-114693.13140828082,26.84114345554238
13,0.17399528182227403,0.023894845115487874,0.11956003449427392,0.012813087196959108,1.3774459670606927,0.0872137168862849,0.490518683801145,0.11713765254414274,625081.8123431553,28.812693144807092,-113428.56263584639,28.812693144807096
14,0.17479885029829856,0.025750516926473527,0.11957080097253053,0.014419931619908751,1.3545999516435396,0.06419797522696778,0.5309875656086344,0.1090102275012949,628190.839755517,29.660738293885824,-112170.44442004646,29.66073829388582
