Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.496977293220003,2.220446049250313e-16,0.2994260096608223,1.1102230246251565e-16,1.4199329178478777,4.440892098500626e-16,1.0,0.0,-720768.9940392411,2.2210627827256584e-10,-728165.4474780244,1.3576242827915822e-10
3,0.33587389536997064,0.00041216421773955915,0.18669575523771725,0.0002640218531487225,1.6322950120133624,0.0021582977386962804,0.9993890801770782,0.004276438760452525,-715415.0664148867,0.16676379552001544,-726510.9437976391,0.16676379552001555
4,0.26508309219601944,0.0010664299248371297,0.14611777919416505,0.0004555073127504466,1.8253590510855262,0.002800509251411266,0.996328632661887,0.011277421080148169,-709415.5265954831,5.473517496486525,-724210.8279222043,5.473517496486525
5,0.25639869690083333,0.01643589621056695,0.14391231775639907,0.007831638119527883,1.77678410640828,0.1622405991170604,0.841605354570525,0.09436316447766674,-703092.0220295286,21.204433931570158,-721586.7473002184,21.204433931570158
6,0.2545538432466011,0.019645000410056904,0.1423357656700204,0.009891645024664301,1.7270692009636448,0.12979788542675405,0.6766296349922274,0.15617128082460055,-696721.9118636491,30.670265864714086,-718916.0610783084,30.670265864714086
7,0.23455857765256496,0.018868254706160777,0.13314639132879758,0.009116878526130348,1.7219331445816959,0.12534389358669545,0.5999326162329993,0.12560105317784842,-690319.6174520352,25.92399443347385,-716213.190610663,25.92399443347385
8,0.22035896274015773,0.019747197920520643,0.12660283315955645,0.010505898820321746,1.6658812116504234,0.10810682333839913,0.5742053114900558,0.12781871200079514,-683892.2915591173,29.586993849444557,-713485.288661714,29.586993849444557
9,0.20948662929698345,0.016057101666732063,0.12318840775995342,0.009954675171664228,1.635740082955554,0.08208425611572055,0.5436255173926768,0.12150016560002097,-677429.6944883524,30.356718835178672,-710722.115534918,30.356718835178672
10,0.20563315649549313,0.018615547456224475,0.12271896630668662,0.009642019400607549,1.5997247742144056,0.08166186392460745,0.5484990932718409,0.12051216465494587,-670959.6271539195,31.71339270593657,-707951.472144454,31.71339270593657
11,0.20423228592567452,0.013616991158847524,0.12293428101422307,0.0068613167866574025,1.5739832503300262,0.0653684981258673,0.5248656957184465,0.11132740887663597,-664473.2838611857,26.276613761605148,-705164.5527956892,26.27661376160515
12,0.19859472442963128,0.017007575330062585,0.1221880397625217,0.007412862332251228,1.55570356372726,0.05919969418308592,0.5232365963694539,0.10289222387310938,-657959.6444300491,30.588019519190453,-702350.3373085214,30.588019519190457
13,0.1971224955728915,0.014866352786479645,0.12283954888175734,0.006754548297643681,1.516571130379681,0.061449303734422055,0.5506669559535731,0.09917330904035376,-651434.6783999052,28.291072539903748,-699524.7952223464,28.291072539903748
14,0.1968932501774165,0.015947140446276466,0.12232416115969644,0.00807530652147906,1.4913853283949265,0.0618646242736221,0.5533040453637683,0.09078651518691899,-644882.9180283168,27.515010748731836,-696672.4587947272,27.515010748731836
