Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5233666736394212,0.0042871408933402,0.3389032405520612,0.038013387217199233,1.1233056019920227,0.36568766179147594,0.6764403474561249,0.44418687980490956,577708.683978895,9.753724835697767,-140441.6898379271,9.753724835697763
3,0.45293915079804437,0.07116123952157204,0.2743921199583969,0.048264768784987463,1.2571857795587664,0.3283164519984691,0.7609074658846288,0.29961639247044775,580935.7472796765,23.163419305761174,-139065.5357337075,23.163419305761174
4,0.3319257534449783,0.02853367568162698,0.1900410102622688,0.014030542926976102,1.3557136825673248,0.1661845730561061,0.6526257616485147,0.21720503431303945,584193.3666663887,14.805332969705104,-137658.8255435568,14.805332969705104
5,0.27134251968956513,0.019638611144729937,0.15879031482954964,0.007214184600118807,1.4526388148018237,0.0941955340613598,0.5795888458063211,0.16750992991634833,587463.5425758386,16.321996005956063,-136239.5588306687,16.321996005956063
6,0.24080936138106357,0.01631867030788788,0.1406237684012962,0.0082242490093584,1.529562625948786,0.10640506098711197,0.593819086627177,0.1556136100383192,590721.7700329344,18.193425761606846,-134832.24057013477,18.193425761606843
7,0.22429011242216035,0.02073641947551523,0.1315651121562936,0.01236622596358093,1.5617591801498836,0.11889869938826218,0.5624895452608433,0.14990799246642927,593981.395527774,20.297490570146753,-133423.5242718569,20.29749057014675
8,0.20879657752929823,0.021187973192849697,0.1252584246293119,0.011818459480379493,1.5710561691613385,0.11372077527879361,0.5614805161908165,0.13750303461741106,597247.5233342651,20.512426861087423,-132008.30566192756,20.512426861087423
9,0.20412802949940587,0.022287534615321822,0.12462429925721218,0.01231144135593882,1.5563737116782392,0.09589620855367334,0.5244294879637263,0.1289253248196276,600504.9115459693,18.118704490429867,-130601.82664678518,18.118704490429867
10,0.19822880332593443,0.021567570405857106,0.12213261522446826,0.010584490544380477,1.5370311708043243,0.08574760361290892,0.5298680079704011,0.12017132991158931,603772.3692682189,18.17675957835954,-129185.27812109739,18.176759578359544
11,0.20105357929161027,0.01876370734422627,0.1236545020098601,0.008666663750249331,1.4927791496460106,0.07590375237917019,0.5170379332074635,0.10919110146091954,607041.6168687529,17.089661966200897,-127766.93971712522,17.089661966200897
12,0.19456896715345062,0.022362866260123338,0.12052661440821488,0.010923486116447303,1.4728918474389314,0.07643699311787203,0.5000129891054895,0.10152372508103151,610317.8287840594,15.100237147049471,-126341.63699838045,15.10023714704947
13,0.19176015269418673,0.024259041680434575,0.11767727160668244,0.011552620958499769,1.4467331980081573,0.06954538060686512,0.49879775862497044,0.0931536618205384,613594.2591276586,17.378835056036085,-124916.11585134301,17.378835056036085
14,0.19459552229548066,0.02109049073821607,0.1196216102395566,0.008623674117025429,1.4159639254260714,0.07060694464600091,0.5011018170010708,0.09579683544990264,616871.7063243444,14.932214554017419,-123489.57785121925,14.932214554017419
