Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.43507668576666403,0.03102184046317271,0.2687492509318832,0.019286651736570255,1.710293617011464,0.1435256849005942,0.9802298408159899,0.13839111428807083,-520195.6814742562,207.78231465269235,-527592.1349130395,207.78231465269226
3,0.2230904425183676,0.0011291096913802724,0.1292733530248867,0.0006415441556206521,2.045950203351147,0.007277371622157144,0.991943045214795,0.019022153487068903,-546825.2324331389,144.7517221654602,-557921.1098158911,144.7517221654602
4,0.14736245034663503,0.0231945051371219,0.08819283542566829,0.012507822676838807,2.629131067587299,0.2875423944653476,0.5444922332701946,0.18036548509887498,-554913.401563612,1349.6418815144489,-569708.7028903331,1349.641881514449
5,0.13715446066311135,0.015893646601335704,0.08215191214194943,0.008615171700422548,2.2965368533648167,0.1146239076340525,0.5710858074168593,0.12836507585309725,-560383.0132475159,1127.8263060139516,-578877.7385182058,1127.8263060139516
6,0.13562374986323075,0.022527446483211498,0.08166475740672434,0.012566300507860503,2.23630955388426,0.12256156555314131,0.575166773125885,0.11872839275240486,-561450.8302975124,1055.8536723755985,-583644.9795121714,1055.8536723755985
7,0.12087035318979797,0.027632748832441396,0.0724384768527206,0.015602486107740334,2.2462071575676124,0.16897615230332727,0.5342064663806992,0.11691771759907428,-560902.8534169713,933.8654276802328,-586796.426575599,933.8654276802328
8,0.11143685981582889,0.025541319645222046,0.06637260979694379,0.014504772844669276,2.19951917029671,0.14478700761205074,0.5391151425941183,0.11655767250688953,-559892.5945478352,994.5751242353085,-589485.5916504319,994.5751242353085
9,0.11154670423851362,0.024048401676443648,0.06641384946244899,0.013289801229853904,2.120129700301584,0.13399168164303255,0.5531884953680235,0.11652954410543141,-557890.2170876699,934.4124418625184,-591182.6381342356,934.4124418625184
10,0.10996778516809014,0.02561799762738121,0.0656419978495716,0.014415385355292626,2.0345579050266904,0.1450471530416612,0.5512566630405442,0.12242162541664244,-555516.848247379,1038.229312619753,-592508.6932379134,1038.229312619753
11,0.11128960738661617,0.024656351404828455,0.06619764802570942,0.013452457209724301,1.9595389553146245,0.12921742283636414,0.5514802815433696,0.12168499919592483,-552056.6123888354,906.6799293947158,-592747.8813233388,906.6799293947158
12,0.09670550900941911,0.022148857362986475,0.05828470897158835,0.012442435275523052,1.9497125202219172,0.13215253677060362,0.5264793313516631,0.1081164425254348,-548921.8035918879,912.9218787714053,-593312.4964703602,912.9218787714053
13,0.10410020583590879,0.023612031722365305,0.06258475457259835,0.01272823853136882,1.8243487353831742,0.10871138197695399,0.5275767773214519,0.1130594279732999,-545188.367510913,779.3460629765126,-593278.4843333543,779.3460629765126
14,0.09870526344234294,0.019859766985016257,0.059442735076573994,0.010774512002378578,1.7922816080765487,0.1030133883599755,0.49655489913820794,0.10331008739845768,-541664.9593335447,909.0104310128281,-593454.5000999547,909.0104310128281
