Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5316538662030179,0.0,0.33409185926956786,5.551115123125783e-17,1.317184105658091,4.440892098500626e-16,1.0,0.0,618513.5020103074,1.1641532182693481e-10,-99636.8718065144,4.3655745685100555e-11
3,0.46508595535332475,0.06361918318581683,0.2889262134197023,0.04298654403441223,1.1865092805567008,0.2506368262324453,0.8934922321248586,0.07938281848546572,621215.0352234461,24.13949047033207,-98786.24778993765,24.13949047033207
4,0.3329856848276097,0.044793793186716994,0.19598043354400577,0.03145156142653455,1.4286686234703618,0.1439183779549966,0.7532702261423437,0.2601434355438577,623956.2595270068,24.619648532814885,-97895.93268293868,24.619648532814885
5,0.2898153703843121,0.020871004574875816,0.16693927606501965,0.012441765435818338,1.4626679250156698,0.16488093265885256,0.7260636696184848,0.14492726705295317,626683.7948411145,28.32183870342008,-97019.30656539291,28.32183870342008
6,0.2562378087424675,0.026217025762367188,0.14681192915607869,0.014585467143693081,1.5055720626496876,0.15222786998978918,0.571331803843661,0.14806549958656576,629436.0999042768,34.43782057100578,-96117.91069879248,34.43782057100578
7,0.2312420444539079,0.025295696547514474,0.13217659434953657,0.013495597312197113,1.5197998253518574,0.1100969401774421,0.5239034494096936,0.13807555856492337,632177.780294989,31.855427713501403,-95227.13950464202,31.855427713501406
8,0.21118645131781943,0.023381691210673378,0.12082647943583305,0.012691466008138634,1.5287040949732338,0.10646154130048716,0.5271707722209369,0.13259565444437268,634915.4014193262,31.388374065728748,-94340.4275768664,31.38837406572875
9,0.1953743811107728,0.024240219846021364,0.11196035348247318,0.013128500907271412,1.5154217962284229,0.09541569289125011,0.5073721745395927,0.13004645836985512,637650.9731698628,27.036339492146517,-93455.76502289182,27.036339492146517
10,0.19137127240701296,0.02377885262878657,0.1092728214598201,0.013106737635175017,1.4912891210480803,0.0913329734655063,0.5232791476056246,0.12659704811853809,640381.5531239922,32.24948354470134,-92576.0942653241,32.24948354470135
11,0.18955916739964912,0.02415127057434076,0.10838934129115943,0.013024948487503619,1.4521365725960722,0.10099049088096337,0.5285866138075133,0.12150469160000234,643116.131319681,32.9231911890422,-91692.4252661972,32.9231911890422
12,0.18851200120128883,0.023622091852700058,0.10792834103035379,0.01276419097537888,1.411513224031955,0.09465747939687978,0.5254918411296847,0.11315230523853986,645850.7115802431,33.405792968391026,-90808.75420219672,33.405792968391026
13,0.17801354192041227,0.022045468622927923,0.10218268984206173,0.011659958312657618,1.3944443274074811,0.07914819323452259,0.5033768825786546,0.10415628789701191,648599.2818458691,28.4791720489552,-89911.09313313258,28.4791720489552
14,0.17885906387104974,0.02049182333379348,0.10229369242533703,0.011076022440696718,1.360800051087042,0.07905759675638123,0.4989658224280219,0.10210810168770812,651334.0341671158,32.43309567604229,-89027.25000844782,32.433095676042285
