k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.497,0.299,1.0,-728165.447,-720768.994,Share of Total
2,0.482,0.298,0.927,-611922.392,-604525.938,L2 Normalization
2,0.469,0.282,0.975,-701359.031,-693962.578,Share of Top 30 (L1 Norm)
2,0.435,0.269,0.98,-527592.135,-520195.681,TF-IDF
3,0.336,0.187,0.999,-726510.944,-715415.066,Share of Total
3,0.33,0.185,0.984,-701491.262,-690395.384,Share of Top 30 (L1 Norm)
3,0.311,0.18,0.924,-620547.157,-609451.28,L2 Normalization
3,0.223,0.129,0.992,-557921.11,-546825.232,TF-IDF
4,0.265,0.146,0.996,-724210.828,-709415.527,Share of Total
4,0.256,0.14,0.943,-700374.373,-685579.072,Share of Top 30 (L1 Norm)
4,0.207,0.121,0.662,-624581.176,-609785.875,L2 Normalization
4,0.147,0.088,0.544,-569708.703,-554913.402,TF-IDF
5,0.256,0.144,0.842,-721586.747,-703092.022,Share of Total
5,0.198,0.128,0.835,-698764.289,-680269.564,Share of Top 30 (L1 Norm)
5,0.177,0.103,0.665,-626867.321,-608372.596,L2 Normalization
5,0.137,0.082,0.571,-578877.739,-560383.013,TF-IDF
6,0.255,0.142,0.677,-718916.061,-696721.912,Share of Total
6,0.186,0.12,0.684,-696682.682,-674488.533,Share of Top 30 (L1 Norm)
6,0.159,0.092,0.616,-627549.235,-605355.086,L2 Normalization
6,0.136,0.082,0.575,-583644.98,-561450.83,TF-IDF
7,0.235,0.133,0.6,-716213.191,-690319.617,Share of Total
7,0.18,0.115,0.639,-694506.668,-668613.094,Share of Top 30 (L1 Norm)
7,0.141,0.082,0.567,-627370.558,-601476.984,L2 Normalization
7,0.121,0.072,0.534,-586796.427,-560902.853,TF-IDF
8,0.22,0.127,0.574,-713485.289,-683892.292,Share of Total
8,0.172,0.11,0.641,-692259.233,-662666.236,Share of Top 30 (L1 Norm)
8,0.123,0.072,0.547,-627067.051,-597474.054,L2 Normalization
8,0.111,0.066,0.539,-589485.592,-559892.595,TF-IDF
9,0.209,0.123,0.544,-710722.116,-677429.694,Share of Total
9,0.163,0.104,0.631,-689891.085,-656598.664,Share of Top 30 (L1 Norm)
9,0.12,0.071,0.558,-626427.965,-593135.544,L2 Normalization
9,0.112,0.066,0.553,-591182.638,-557890.217,TF-IDF
10,0.206,0.123,0.548,-707951.472,-670959.627,Share of Total
10,0.165,0.105,0.612,-687525.191,-650533.346,Share of Top 30 (L1 Norm)
10,0.115,0.068,0.555,-625625.429,-588633.584,L2 Normalization
10,0.11,0.066,0.551,-592508.693,-555516.848,TF-IDF
11,0.204,0.123,0.525,-705164.553,-664473.284,Share of Total
11,0.162,0.105,0.617,-685116.79,-644425.522,Share of Top 30 (L1 Norm)
11,0.112,0.067,0.546,-624711.409,-584020.14,L2 Normalization
11,0.111,0.066,0.551,-592747.881,-552056.612,TF-IDF
12,0.199,0.122,0.523,-702350.337,-657959.644,Share of Total
12,0.168,0.109,0.575,-682665.025,-638274.332,Share of Top 30 (L1 Norm)
12,0.115,0.069,0.515,-623618.112,-579227.419,L2 Normalization
12,0.097,0.058,0.526,-593312.496,-548921.804,TF-IDF
13,0.197,0.123,0.551,-699524.795,-651434.678,Share of Total
13,0.166,0.11,0.549,-680200.373,-632110.256,Share of Top 30 (L1 Norm)
13,0.115,0.069,0.503,-622495.325,-574405.208,L2 Normalization
13,0.104,0.063,0.528,-593278.484,-545188.368,TF-IDF
14,0.197,0.122,0.553,-696672.459,-644882.918,Share of Total
14,0.171,0.115,0.552,-677720.312,-625930.771,Share of Top 30 (L1 Norm)
14,0.106,0.064,0.489,-621326.719,-569537.179,L2 Normalization
14,0.099,0.059,0.497,-593454.5,-541664.959,TF-IDF
