k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.514,0.312,1.0,-710108.965,-706404.752,Share of Total
2,0.461,0.283,1.0,-365640.223,-361936.01,L2 Normalization
2,0.461,0.276,1.0,-588497.767,-584793.555,Share of Top 30 (L1 Norm)
2,0.432,0.268,0.974,-342906.195,-339201.982,TF-IDF
3,0.345,0.191,1.0,-713583.711,-708026.194,Share of Total
3,0.324,0.189,0.894,-375706.507,-370148.991,L2 Normalization
3,0.324,0.182,0.723,-597240.036,-591682.519,Share of Top 30 (L1 Norm)
3,0.281,0.164,0.865,-351052.123,-345494.607,TF-IDF
4,0.279,0.155,0.996,-714675.59,-707264.77,Share of Total
4,0.274,0.149,0.842,-602224.036,-594813.216,Share of Top 30 (L1 Norm)
4,0.267,0.156,0.777,-381422.32,-374011.5,L2 Normalization
4,0.231,0.135,0.869,-356814.929,-349404.109,TF-IDF
5,0.278,0.158,0.859,-714590.142,-705326.019,Share of Total
5,0.253,0.145,0.653,-604689.036,-595424.913,Share of Top 30 (L1 Norm)
5,0.251,0.146,0.643,-384899.466,-375635.342,L2 Normalization
5,0.224,0.131,0.631,-360330.727,-351066.603,TF-IDF
6,0.257,0.148,0.672,-714286.448,-703169.02,Share of Total
6,0.234,0.137,0.593,-387446.566,-376329.138,L2 Normalization
6,0.226,0.136,0.568,-606721.83,-595604.403,Share of Top 30 (L1 Norm)
6,0.214,0.124,0.588,-363228.119,-352110.692,TF-IDF
7,0.24,0.141,0.621,-713919.883,-700949.151,Share of Total
7,0.222,0.129,0.564,-389691.207,-376720.476,L2 Normalization
7,0.204,0.126,0.529,-608349.853,-595379.122,Share of Top 30 (L1 Norm)
7,0.194,0.113,0.529,-365521.907,-352551.176,TF-IDF
8,0.231,0.137,0.628,-713469.344,-698645.31,Share of Total
8,0.205,0.119,0.535,-391928.276,-377104.241,L2 Normalization
8,0.194,0.121,0.532,-610077.228,-595253.193,Share of Top 30 (L1 Norm)
8,0.183,0.106,0.532,-367861.041,-353037.007,TF-IDF
9,0.222,0.132,0.603,-712918.249,-696240.91,Share of Total
9,0.189,0.11,0.498,-394007.386,-377330.048,L2 Normalization
9,0.177,0.115,0.518,-611338.046,-594660.707,Share of Top 30 (L1 Norm)
9,0.174,0.101,0.521,-369896.356,-353219.017,TF-IDF
10,0.22,0.13,0.567,-712315.442,-693784.8,Share of Total
10,0.189,0.11,0.482,-395830.179,-377299.537,L2 Normalization
10,0.171,0.115,0.533,-612805.747,-594275.105,Share of Top 30 (L1 Norm)
10,0.17,0.098,0.483,-372476.391,-353945.749,TF-IDF
