k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.532,0.334,1.0,-99636.872,618513.502,TF-IDF
2,0.523,0.339,0.676,-140441.69,577708.684,Share of Total
2,0.523,0.338,0.686,-127279.518,590870.856,Share of Top 30 (L1 Norm)
2,0.522,0.326,0.938,-104196.429,613953.945,L2 Normalization
3,0.466,0.279,0.762,-126062.655,593938.628,Share of Top 30 (L1 Norm)
3,0.465,0.289,0.893,-98786.248,621215.035,TF-IDF
3,0.453,0.274,0.761,-139065.536,580935.747,Share of Total
3,0.434,0.264,0.686,-103263.616,616737.667,L2 Normalization
4,0.344,0.194,0.707,-124813.79,597038.402,Share of Top 30 (L1 Norm)
4,0.333,0.196,0.753,-97895.933,623956.26,TF-IDF
4,0.333,0.194,0.777,-102310.999,619541.194,L2 Normalization
4,0.332,0.19,0.653,-137658.826,584193.367,Share of Total
5,0.29,0.167,0.726,-97019.307,626683.795,TF-IDF
5,0.288,0.166,0.687,-101344.096,622359.006,L2 Normalization
5,0.286,0.16,0.597,-123541.534,600161.567,Share of Top 30 (L1 Norm)
5,0.271,0.159,0.58,-136239.559,587463.543,Share of Total
6,0.256,0.147,0.571,-96117.911,629436.1,TF-IDF
6,0.244,0.141,0.596,-100353.2,625200.811,L2 Normalization
6,0.241,0.141,0.594,-134832.241,590721.77,Share of Total
6,0.241,0.137,0.526,-122282.161,603271.85,Share of Top 30 (L1 Norm)
7,0.231,0.132,0.524,-95227.14,632177.78,TF-IDF
7,0.227,0.131,0.596,-99384.89,628020.03,L2 Normalization
7,0.224,0.132,0.562,-133423.524,593981.396,Share of Total
7,0.221,0.127,0.494,-121014.05,606390.87,Share of Top 30 (L1 Norm)
8,0.216,0.125,0.594,-98417.726,630838.103,L2 Normalization
8,0.211,0.121,0.527,-94340.428,634915.401,TF-IDF
8,0.209,0.125,0.561,-132008.306,597247.523,Share of Total
8,0.198,0.117,0.473,-119747.431,609508.398,Share of Top 30 (L1 Norm)
9,0.208,0.12,0.527,-97447.117,633659.622,L2 Normalization
9,0.204,0.125,0.524,-130601.827,600504.912,Share of Total
9,0.195,0.112,0.507,-93455.765,637650.973,TF-IDF
9,0.19,0.114,0.467,-118483.373,612623.365,Share of Top 30 (L1 Norm)
10,0.205,0.118,0.523,-96475.87,636481.777,L2 Normalization
10,0.198,0.122,0.53,-129185.278,603772.369,Share of Total
10,0.191,0.109,0.523,-92576.094,640381.553,TF-IDF
10,0.185,0.116,0.467,-117220.502,615737.145,Share of Top 30 (L1 Norm)
11,0.201,0.124,0.517,-127766.94,607041.617,Share of Total
11,0.201,0.117,0.511,-95509.563,639298.993,L2 Normalization
11,0.19,0.108,0.529,-91692.425,643116.131,TF-IDF
11,0.177,0.116,0.473,-115954.907,618853.65,Share of Top 30 (L1 Norm)
12,0.2,0.116,0.501,-94539.643,642119.823,L2 Normalization
12,0.195,0.121,0.5,-126341.637,610317.829,Share of Total
12,0.189,0.108,0.525,-90808.754,645850.712,TF-IDF
12,0.176,0.118,0.477,-114693.131,621966.334,Share of Top 30 (L1 Norm)
13,0.198,0.115,0.493,-93570.248,644940.127,L2 Normalization
13,0.192,0.118,0.499,-124916.116,613594.259,Share of Total
13,0.178,0.102,0.503,-89911.093,648599.282,TF-IDF
13,0.174,0.12,0.491,-113428.563,625081.812,Share of Top 30 (L1 Norm)
14,0.197,0.114,0.476,-92602.362,647758.922,L2 Normalization
14,0.195,0.12,0.501,-123489.578,616871.706,Share of Total
14,0.179,0.102,0.499,-89027.25,651334.034,TF-IDF
14,0.175,0.12,0.531,-112170.444,628190.84,Share of Top 30 (L1 Norm)
