Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5143290918179784,1.1102230246251565e-16,0.31915858625652216,0.0,1.3261869504175632,0.0,1.0,0.0,10.260125373572821,0.0
3,0.3542364116770505,0.004139074994522704,0.20605043251583285,0.0024193061139672193,1.5845228125371167,0.0025858818641437743,0.9499409047766841,0.062183634505580926,8.434540551173594,0.00044697440066465547
4,0.27430212665909864,0.00379758225528175,0.15965383428468038,0.000944367454699934,1.7389438987762231,0.013533066265615026,0.8570917269094901,0.1277971696545833,7.593740411349626,0.001772512354023536
5,0.27396599738241256,0.007316849774555203,0.15809355962836583,0.004102225958407224,1.7854891344906405,0.04564908557138538,0.8483364905021541,0.09417001028213799,7.1211664757721085,0.013652093253243324
6,0.25986490943720125,0.015968576360377327,0.15023421969209172,0.008705458706110955,1.6625376741462476,0.10317677709966089,0.7515310626552975,0.10498591121190474,6.743779279211543,0.026703185806242632
7,0.24543444840553708,0.01630804791353711,0.14126176661610107,0.009117189342729422,1.611354827744062,0.10459216232835614,0.681031234059606,0.12167708475554435,6.403587124543334,0.02684614285125108
8,0.23004433352332426,0.01755962587130679,0.1316517918114127,0.009804150898828896,1.6111591369600546,0.08357102811228385,0.6364234092840237,0.11456999458910479,6.090173603808742,0.028604419991797633
9,0.21715511363198023,0.02116862631751114,0.1240102686203268,0.01168660474526635,1.617812365668636,0.08503097243464487,0.5890379395846332,0.11160074549007959,5.785955699043098,0.03112274090134474
10,0.21595758112823407,0.01695780282765138,0.12332017885353426,0.009487651617463483,1.5901688997917618,0.07490355362171776,0.5755076287893087,0.09310935976733456,5.491930193125448,0.03553101230017041
11,0.21848048043336202,0.013357277927358233,0.12506902646906837,0.007409394854635009,1.5522583791362436,0.06906917989360194,0.572790906002656,0.0976714872837931,5.22249485077441,0.03309556226433265
12,0.21529171127816396,0.013473202909286348,0.12363612265842028,0.0075533116216149054,1.538354645824323,0.06713656737855662,0.5611793899736762,0.09156047360512852,4.986184908206704,0.03528745468653911
13,0.2188990474189739,0.013520033789802318,0.1264465608197714,0.0073833419723331175,1.4896196739180434,0.05814501055453828,0.5636181785235874,0.08331889741033123,4.763914258895205,0.03161474382949627
14,0.21698161642181357,0.012036867241074743,0.12536476527419077,0.0066076905945609676,1.4621654035738365,0.060733080588898994,0.5764266331758973,0.08545192485116562,4.579079538565062,0.030929871282651823
