Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5143290918179784,1.1102230246251565e-16,0.3108061487984675,0.0,1.3624531236375268,0.0,1.0,0.0,0.2861939685334056,0.0
3,0.33990845490121996,0.0005247717662114964,0.18835205160998883,8.020381106844566e-05,1.628535486807082,0.0005564796221926462,0.9974230966889363,0.01803832317744659,0.23765395995081007,1.0525581903411124e-05
4,0.2748998321219485,0.004668244227695507,0.14919649612995856,0.0016222533148097021,1.8112177265667089,0.018066512305385328,0.8341143801867612,0.15043641658817894,0.215372142914876,5.2673421689324296e-05
5,0.2745855247089173,0.007924135462373834,0.15277949575389063,0.00339071450101665,1.5140421800958008,0.029323030304550798,0.7585782263689568,0.14621366229049212,0.20058363967659304,0.000335652132031167
6,0.2504497698644517,0.022209264481402407,0.14738534760538816,0.005675107733067928,1.5679466165369667,0.05901735128871061,0.6404030781883369,0.1373459473365717,0.18853803878354042,0.0006180088665486586
7,0.22995739813453533,0.02130559657604656,0.13899405019821107,0.008001961621598316,1.5950281611144908,0.061563445140472836,0.6059868538610714,0.10896770587876646,0.1784399526061794,0.0012115268288695274
8,0.20954170668933073,0.021214823869980082,0.13038338557979895,0.00793964024368358,1.592989937958369,0.06189885171875414,0.5986098927691684,0.10160159907537816,0.16954830681179178,0.0008406879976219686
9,0.19248210251817394,0.023913131611214958,0.12342567221563926,0.009609533259757405,1.5929247943559455,0.06801611323674432,0.5779161963901479,0.10946772389046544,0.16134677251955762,0.0008023389790208587
10,0.18645591793041716,0.02257048808361705,0.12121555712262769,0.008602282591871688,1.5778602043929353,0.07178337853894583,0.5637725769810419,0.10279900346528707,0.1537305005243536,0.0006559658936117456
11,0.18724927330110294,0.019725434777745982,0.12298379478776196,0.007225626329799966,1.5434847290529772,0.06448569696550834,0.5884942457573286,0.10316935082843329,0.14612287834725587,0.0009294652506493276
12,0.18555848731022057,0.02171831767445671,0.12490571598184178,0.007884799245882344,1.5122157393991784,0.054390642977547275,0.615752410860811,0.09978001104836212,0.13934863925288518,0.0010890554089458971
13,0.1833963279328363,0.016201275705605374,0.12850984453593833,0.007822796335483334,1.4676642863167015,0.06395449463675387,0.6389453165043011,0.0999917141979593,0.1330166923155811,0.000866322973362312
14,0.19396432436804115,0.018423136084920404,0.13173996500787294,0.008150105813755176,1.4219191348980709,0.06136584800183882,0.6468172405160373,0.08966466968354196,0.12709297693270685,0.0008121565231343131
