Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5143290918179787,0.0,0.31199661877361534,0.0,1.347713111766536,8.881784197001252e-16,1.0,0.0,0.022491999344822773,6.938893903907228e-18
3,0.34502627461943364,0.0010307416049481902,0.19097176291711462,0.00016623117762946222,1.6149288237225035,0.0005901775133926152,0.9974230966889363,0.01803832317744659,0.01861652008827081,7.026992915826592e-07
4,0.27038991541777363,0.0003533213893525129,0.15338940302340334,8.799034130263003e-05,1.7996808272140328,0.0003232396604813707,0.9957312673057396,0.01190402203342804,0.016707107690969853,3.120427488849897e-07
5,0.2690665035296826,0.006301713800073727,0.15743650680743715,0.0022031442179050145,1.4981541854794838,0.019980874864904054,0.8224884621263275,0.1343983096994153,0.01562967470843038,3.578170925311053e-05
6,0.25121760330187426,0.020488805585148873,0.14638152528734602,0.010114061667871262,1.5854462100048543,0.08341708051669103,0.6957347177459133,0.12320373341502504,0.014763625384904777,5.693486217178295e-05
7,0.23229743981192705,0.018389260498153242,0.13616420838116672,0.00759635607182541,1.6270323858153837,0.08787821719319751,0.6176224525443804,0.12231377437777077,0.013993819715626736,5.9044513071073405e-05
8,0.22376100830562343,0.019899444569055312,0.13236371495990665,0.009414800990130399,1.5972346395524522,0.07651785697517242,0.6089587717912157,0.11020497376061886,0.013262587731061662,6.039143415922738e-05
9,0.21555180111537017,0.020640587908736407,0.12703629057332383,0.011002821621903315,1.5942546758357592,0.07642483359198202,0.5900901627590954,0.09904758468808915,0.012596222020028643,6.593049316548985e-05
10,0.20879296779424347,0.01472922541071046,0.12390415103062184,0.0077779802578498035,1.5780179110364145,0.07137324058285117,0.5836083148165764,0.10816211273032189,0.011969201421698945,7.900175497627537e-05
11,0.21226175220532217,0.014291936182692722,0.12562611623175893,0.006694512077707784,1.540957356818042,0.06158634257797341,0.5793102180402936,0.10024250858327749,0.011361115240370574,8.257264164142941e-05
12,0.20583982778898707,0.015809065561495746,0.12405925676910318,0.007489197244430616,1.5258551985189528,0.06410496304953503,0.5598394543044728,0.0900945444256686,0.010838888593653579,7.44258380097992e-05
13,0.20299431219037925,0.014146584033666719,0.12454324269867303,0.005370214485494708,1.4993859839249253,0.054396354659751615,0.5639364025889825,0.08186846651606358,0.01036916284546845,6.738858988817009e-05
14,0.20094206803524006,0.013359058693267022,0.12453951810565761,0.005969055630799932,1.4733267320388534,0.05100109044225727,0.5505700627375925,0.08998519782019192,0.009946719757435494,7.035089976634639e-05
