Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5142117719543682,0.0,0.32009630682943074,5.551115123125783e-17,1.38831164905762,4.440892098500626e-16,1.0,0.0,14.889081000114393,5.329070518200751e-15
3,0.3267784445358411,0.0,0.1898832722088633,0.0,1.7470526598475324,4.440892098500626e-16,1.0,0.0,12.600686343320902,3.552713678800501e-15
4,0.2764552621879022,0.01745221538115874,0.15895363623318431,0.009261824062844799,1.7569964386024313,0.0625118082204878,0.8382385875978938,0.16044541757871914,11.488573909846282,0.005615389564961797
5,0.24162512427598212,0.010258823234629871,0.1390578528415723,0.005248706697591208,1.858123762057726,0.05003196971707453,0.7980198464085375,0.10420846223013086,10.712327616638214,0.014531208781949705
6,0.24108132102855553,0.013819458628010662,0.13852874517611347,0.007122822781991294,1.7375761601789612,0.11151790432000316,0.6989500565667445,0.10309636877167748,10.147670664941637,0.028834820394357637
7,0.2192162415450296,0.015763793470980406,0.12551989514322817,0.008605595620715029,1.7309171112396597,0.1152723363292945,0.6597766966421227,0.10779931392205654,9.678072418293914,0.027949404204207322
8,0.208068108208103,0.019260391494737242,0.11871140454022715,0.010439414183171467,1.6921434111552955,0.10111098656528547,0.6454068657640558,0.1209227036476138,9.212308239178853,0.03375355240768637
9,0.20010929144539427,0.017751645516831723,0.11448225243585558,0.009665646852171984,1.675580033808719,0.08898289568232728,0.6150244425347546,0.11938367869660453,8.789615406733503,0.03624818644377753
10,0.1920746476583805,0.01677320562628292,0.10971817393822604,0.009301229589816004,1.6441484814079135,0.10144976547139951,0.5950552737490362,0.10541695404564974,8.375798181379631,0.047081412119291635
11,0.19056128259494298,0.011883147342864461,0.1088383089364596,0.00635203704173645,1.5891752915662445,0.07435073009804088,0.584899778698496,0.11212311669396789,8.003524573502691,0.05834120833755885
12,0.1905840958280688,0.013864688062851111,0.1086575410408091,0.007664933034792944,1.5222005216564356,0.077868481068174,0.5823117265504059,0.09794312603674807,7.672568485817911,0.053295345815063976
13,0.18308281504603194,0.014638263623786845,0.10441357748653463,0.007892175177890752,1.493076261029315,0.07817031404700388,0.5666269437803098,0.09856720822611875,7.370700754932195,0.05681805732630145
14,0.18071884404658942,0.014962442730165415,0.10343781098198702,0.007736266503534221,1.4594047362219245,0.07610930505785714,0.555018776996577,0.08770470875700073,7.087237309034997,0.0525581072505627
