Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.47167429819155016,0.10024459444760835,0.29535318003607985,0.06595215797377021,1.3876450324218244,0.236150514895726,0.634580204778157,0.4330000459343476
3,0.3396210443673056,5.551115123125783e-17,0.19764330228427343,2.7755575615628914e-17,1.5892179939121553,3.108624468950438e-16,1.0,0.0
4,0.2447492535082214,0.0004996352844835296,0.14406374139634553,0.002467113332806732,1.8454596356905426,0.04858906518824573,0.7397981915775227,0.26273733052028225
5,0.20639031053659354,0.010503001314678451,0.12253275248403965,0.005529554620442472,1.9416666998161392,0.036776901234932796,0.8033901592205613,0.23667436325021565
6,0.2000017686911339,2.7755575615628914e-17,0.11771776387037233,0.0,2.0733016142959504,2.1297770317619678e-16,1.0,0.0
7,0.18223250630001916,0.01979671211814003,0.1066503237047006,0.010983680733771794,2.023977280574286,0.1787056182634773,0.7585800919410202,0.16176001621314334
8,0.179044081543728,0.02119065745012224,0.10391972276232594,0.012438418365140693,1.9040895218631744,0.1595735141722391,0.6840424217203622,0.1804564057392942
9,0.17608249558592529,0.02022136447844137,0.10093860106027902,0.01179286014527691,1.8392760338580123,0.10341887253491455,0.689376178788158,0.21251219846944203
10,0.1914574531483974,0.020847610410268804,0.11013234067581461,0.012231185434739165,1.6982509995443353,0.08905810916844897,0.6795182454850497,0.21462382098404503
11,0.1966571855165026,0.020003539985875087,0.11335609654622499,0.011104460058755102,1.6537765375064166,0.07270549603733217,0.7072048642727589,0.22220281884080847
12,0.20691502900296577,0.01877686129216633,0.11940766543025685,0.010477127094077943,1.5801133934861225,0.07086459831606066,0.7564717094955953,0.1953607764137982
13,0.22076065847075152,0.0,0.12652926490320743,0.0,1.5351042615352675,5.69577955395169e-16,1.0,0.0
14,0.219783751786192,5.551115123125783e-17,0.12545139365223082,2.7755575615628914e-17,1.440845791025966,2.2535066179978846e-16,1.0,0.0
