Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.47167429819155005,0.10024459444760835,0.2868480595921198,0.06479394177696851,1.4184084288386742,0.23138441493266748,0.634580204778157,0.4330000459343476
3,0.3396210443673056,0.0,0.18764561291165394,8.326672684688674e-17,1.6260112347754307,2.220446049250313e-16,1.0,0.0
4,0.2447492535082211,0.0004996352844835023,0.13817756506238227,0.006758293270770089,1.8967276719886719,0.045750659397753614,0.7397981915775227,0.26273733052028225
5,0.20639031053659326,0.010503001314678512,0.1201252685346366,0.007016168511984876,2.003562475367499,0.04379383489783847,0.8033901592205613,0.23667436325021565
6,0.20000176869113362,2.7755575615628914e-17,0.11267263948318558,4.163336342344337e-17,2.1552477235334098,8.881784197001252e-16,1.0,0.0
7,0.18223250630001897,0.019796712118139992,0.09889581977602185,0.01425657093935843,2.060406135865822,0.15497890489947766,0.7585800919410202,0.16176001621314334
8,0.17904408154372786,0.02119065745012219,0.09610536882784146,0.014233660609602863,1.9325917623865894,0.15349358273086822,0.6840424217203622,0.1804564057392942
9,0.17608249558592515,0.020221364478441316,0.09331356858417438,0.010939597388041053,1.8736010422711689,0.08769158637672944,0.689376178788158,0.21251219846944203
10,0.1914574531483973,0.020847610410268714,0.1015184384787084,0.011331859976278655,1.7282855377260105,0.06465791879039277,0.6795182454850497,0.21462382098404503
11,0.19665718551650266,0.02000353998587505,0.10652804093539739,0.010053702697324137,1.6771137226646347,0.05109814615650461,0.7072048642727589,0.22220281884080847
12,0.2069150290029658,0.01877686129216631,0.11179951389535214,0.009297947210220557,1.5975299464219548,0.05546010151672659,0.7564717094955953,0.1953607764137982
13,0.22076065847075158,2.7755575615628914e-17,0.1180757999038547,2.7755575615628914e-17,1.5449069593564786,5.263909126864562e-16,1.0,0.0
14,0.219783751786192,2.7755575615628914e-17,0.11574467448819763,1.3877787807814457e-17,1.4577395527218586,5.429887322277997e-16,1.0,0.0
