Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4716742981915503,0.10024459444760844,0.29051652440743125,0.06311604551468042,1.398211834607328,0.2115437607514476,0.634580204778157,0.4330000459343476
3,0.3396210443673057,5.551115123125783e-17,0.18770899907858862,2.7755575615628914e-17,1.6235060124548468,8.881784197001252e-16,1.0,0.0
4,0.24474925350822144,0.0004996352844835985,0.1390954587738955,0.0019046378372223163,1.8649308802133917,0.03356059768879976,0.7397981915775227,0.26273733052028225
5,0.20639031053659354,0.010503001314678477,0.11831557800731242,0.0044954067460364466,1.9859161709893285,0.03553119466593781,0.8033901592205613,0.23667436325021565
6,0.20000176869113415,5.551115123125783e-17,0.11040413397744878,1.3877787807814457e-17,2.1066003290741766,8.079495027972895e-16,1.0,0.0
7,0.18223250630001936,0.01979671211813998,0.09950580810189769,0.012856422668033623,2.0452103571219893,0.17677892717038823,0.7585800919410202,0.16176001621314334
8,0.17904408154372808,0.021190657450122212,0.09852342572623866,0.014109955953718695,1.924723107146765,0.1655584961385143,0.6840424217203622,0.1804564057392942
9,0.17608249558592526,0.020221364478441313,0.09672424822098309,0.011499618136230173,1.869733484247073,0.10189314852852802,0.689376178788158,0.21251219846944203
10,0.1914574531483974,0.020847610410268756,0.10656079918951962,0.013237290167652137,1.7274760152770443,0.08743766703505344,0.6795182454850497,0.21462382098404503
11,0.1966571855165024,0.020003539985874997,0.10523078966854443,0.011649074797312359,1.6802473996445384,0.07369001201501313,0.7072048642727589,0.22220281884080847
12,0.2069150290029655,0.018776861292166283,0.10813083902835008,0.010642879053538985,1.6065451210919606,0.07406266029315138,0.7564717094955953,0.1953607764137982
13,0.22076065847075127,2.7755575615628914e-17,0.112114223101877,1.3877787807814457e-17,1.5632027286966654,2.286089127109703e-16,1.0,0.0
14,0.21978375178619175,2.7755575615628914e-17,0.11175829458814372,1.3877787807814457e-17,1.4744944535909479,1.4390135079995447e-16,1.0,0.0
