Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.45207207147888584,0.11557268918896747,0.28216472434268586,0.07263978836773041,1.5135724004863613,0.2655255585058975,0.6451362486716921,0.4450343847542617
3,0.2993701076871206,5.551115123125783e-17,0.17291988430948135,8.326672684688674e-17,1.7766104150216557,2.220446049250313e-16,1.0,0.0
4,0.29283993661970253,5.551115123125783e-17,0.16721136723429225,5.551115123125783e-17,1.7470693216697533,2.220446049250313e-16,1.0,0.0
5,0.24638894086489138,0.010565528317582453,0.14043605403045534,0.004351906158986249,1.895062150868328,0.03791301727482198,0.7631310560379625,0.23917710025557198
6,0.1830111425914464,0.016535341495535514,0.10554734564087769,0.009212107454928368,2.025623435266748,0.02680099937525842,0.737345060316745,0.2652143661826404
7,0.187096442647281,0.017760451610906773,0.10761895554174503,0.009952311523957112,1.8987974856421894,0.1063284540101499,0.7872151813298427,0.24051545049688886
8,0.19712967528740694,0.018205009996532507,0.11243971304438077,0.01028513335353812,1.7704430988838344,0.0861909210760701,0.793995749140383,0.20999652170012464
9,0.1895132482112144,0.010890781161277537,0.10856448997519244,0.005714970662714139,1.7202639120115497,0.0685050222762069,0.8217507412448811,0.17929926907334456
10,0.1875700488729734,0.009571959859551827,0.10694313175807131,0.004964834956643995,1.631964355197868,0.10094563624805622,0.7385858078345823,0.1832139704128739
11,0.184498559688046,0.010109278143887606,0.10503267718563296,0.0058131527600590776,1.579515981024976,0.07822844409616182,0.712700796356706,0.21727350424888997
12,0.1834988479333373,0.009243733172741745,0.10402803131361617,0.005289361177620657,1.5584640381391406,0.061496998873412846,0.7342527003887211,0.1789146639625723
13,0.18456061314416808,0.010647793819284842,0.10438786598591998,0.005876540702219004,1.4921652709368969,0.07988341959609072,0.8091052464354862,0.1599382409634897
14,0.17799158613265026,0.004683715373837156,0.10039822092544907,0.0025679629754901444,1.4735550770389745,0.007416809601009634,0.9638149795705664,0.0812670450690118
