Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5435222862954103,0.0,0.33784137535246644,1.6653345369377348e-16,1.2049202415544342,2.220446049250313e-16,1.0,0.0
3,0.3255051102234294,5.551115123125783e-17,0.1850112515289929,8.326672684688674e-17,1.6250273032175035,4.440892098500626e-16,1.0,0.0
4,0.2583362582447571,0.0,0.1386168562400491,0.0,1.818255391993698,2.220446049250313e-16,1.0,0.0
5,0.22067886368675255,5.551115123125783e-17,0.13915556218167494,5.551115123125783e-17,1.8102219240561783,2.220446049250313e-16,1.0,0.0
6,0.2146675234273298,0.0014321052078552893,0.12226604951518118,0.0009400449061177633,1.8161149472506053,0.010196260859367689,0.98874422293477,0.01875174912603753
7,0.2156907398414243,0.01757888524192481,0.12203685167173896,0.006290505783665238,1.798412158912081,0.0354161083703715,0.8188445340111461,0.15401819088170254
8,0.19558247310242627,0.005295503553582164,0.10585616727853213,0.0026240113171805144,1.8304320006692085,0.019509654114270077,0.8870256344898931,0.06537034661642414
9,0.1818819888538623,0.006850734439650488,0.1016263232155765,0.003725797547265078,1.8116400514136277,0.018741332501316304,0.8990771456389482,0.049826063704217625
10,0.18278841704603632,0.012443816666924701,0.10650609666458138,0.005030026941357287,1.7369498905962644,0.032067795569632775,0.8315518708517475,0.08217074547637046
11,0.18351664814396898,0.007424428916728416,0.114839275324201,0.0034997872282938737,1.7003969442265119,0.020913247064026613,0.9223489159633611,0.08471031481242498
12,0.181493383514722,0.007646015640040694,0.11015939162461283,0.0041460965262148115,1.6943964928131083,0.025320271819650193,0.872246894862942,0.06187648564265997
13,0.17349428744609668,0.011570885800165596,0.1043800129859436,0.006627545918401977,1.691197356435694,0.05011785328168599,0.832968747873227,0.07395615355060868
14,0.14266019423114001,0.021681556698929093,0.0917689410241315,0.009564306700240275,1.7841064359384426,0.07267699472799449,0.7344197587877572,0.08317711243927567
