Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5435222862954103,0.0,0.33719182806676046,5.551115123125783e-17,1.189972222296801,2.220446049250313e-16,1.0,0.0
3,0.33918775285226055,5.551115123125783e-17,0.18892511860420058,2.7755575615628914e-17,1.6341137807366533,2.220446049250313e-16,1.0,0.0
4,0.2552558501033575,1.1102230246251565e-16,0.15286122566789423,5.551115123125783e-17,1.7164732708964312,3.8714799753065006e-16,1.0,0.0
5,0.19303097732795776,0.00322030541278203,0.11699182602545707,0.0017557198355670758,2.0012261042767814,0.03140049064382883,0.9503808771865758,0.045704375293267624
6,0.176053567598141,0.004220943178971932,0.10397270812972009,0.0017676591998257826,1.9478309652546784,0.008599962317197563,0.9461802594001174,0.03480857782489641
7,0.15272115009580392,0.004382189517445266,0.10378493558648323,0.0030270277022237577,1.9106489261797994,0.014477689178727946,0.853014916999121,0.11998282323827573
8,0.16071109872404168,0.006824360697738194,0.10630965034491176,0.002974307839137118,1.8205692776522642,0.015973490715857425,0.8954223228430955,0.08977109305816382
9,0.15618518616660068,0.009705688553003603,0.10460099626615613,0.002303094806391826,1.777083630610389,0.021384213780019288,0.9115048966573601,0.06365768249289976
10,0.1848386416687805,0.0011337676614730453,0.11278209373016786,0.0005086478332514454,1.7249035204960046,0.005876628753567508,0.9611269839694481,0.0350917279203034
11,0.18931299392764336,0.005869428647228439,0.11548445169453164,0.003965953359303063,1.7481744043297622,0.022299708041969086,0.9183275867908072,0.04565403681499367
12,0.1559378248845795,0.004452566016389898,0.1081733091277928,0.001736829501899392,1.6809405858432598,0.021754972574712192,0.9123852810789983,0.04929694152753797
13,0.16697200362951845,0.010293678346776795,0.11459582365418913,0.003831212109367813,1.6401367330867849,0.026836773090103832,0.8752268028188048,0.0638878798510023
14,0.1521206910258499,0.009532630732571566,0.11166624730251319,0.0029858912980444885,1.6395737782264883,0.01893951925444947,0.835337884566608,0.08098791131024535
