Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5189280491353363,1.1102230246251565e-16,0.3278076973429061,5.551115123125783e-17,1.2260455233301806,0.0,1.0,0.0
3,0.3031602213846887,0.0,0.17744624139202508,5.551115123125783e-17,1.7703233881028815,6.661338147750939e-16,1.0,0.0
4,0.23220218382021898,8.326672684688674e-17,0.13712821007547005,2.7755575615628914e-17,1.8787585719838922,2.220446049250313e-16,1.0,0.0
5,0.18815198420964485,0.004283665750751617,0.11331766721748984,0.0019235488049495393,2.125901197558761,0.02076962134271981,0.9690385552924121,0.030763767911102226
6,0.19200024849557476,0.002532210060597178,0.11479376198637742,0.0018400152727877745,2.001997817421359,0.022981085415579333,0.9802339114520552,0.027616743658511456
7,0.1719710488736964,0.0035357291633254097,0.10446295347542732,0.001807815870788676,1.9691013972963562,0.007916195305835655,0.9821293783407041,0.02117004797813817
8,0.17489797025927367,0.001270042633813503,0.1054156920078643,0.0006164117063411406,1.9129657444047385,0.005283965425441793,0.9932157200398819,0.01720851572689318
9,0.16751518523373704,0.0024312232084506926,0.10021073140105966,0.001163246194663045,1.918915755621724,0.009299780507069973,0.951712344947858,0.031851514928932616
10,0.17167102248604446,0.0023184334870135622,0.10128975652146092,0.0013839843118251185,1.8043787018246036,0.012985958917360596,0.9449962123187505,0.04334361471082471
11,0.1566838895907364,0.005856693451367943,0.09282850074969516,0.0031660361511289263,1.821778127748649,0.02978472661163988,0.8810754904243547,0.06129500484876984
12,0.15394158467169364,0.007642320885864619,0.09227825809317829,0.004174296951092431,1.7898240199820932,0.03150165021749614,0.8154035581285027,0.057514375422495136
13,0.14633370851804395,0.006432468928416295,0.08775607995887291,0.00351692156851283,1.800563038430178,0.04203167420306794,0.7749663567040879,0.07554024407650317
14,0.1345940143605848,0.009478289274811912,0.08154198971364306,0.0049794825415497256,1.7854948526024068,0.05410606802582162,0.7174711040111725,0.07670652960524356
