k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,10
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,4
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,5
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,7
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,8
2,0.542,0.343,1.0,L2 Normalization,nearest_neighbors,9
2,0.544,0.338,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,8
2,0.544,0.338,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
2,0.536,0.338,1.0,L2 Normalization,nearest_neighbors,6
2,0.544,0.337,1.0,Share of Total,nearest_neighbors,4
2,0.544,0.337,1.0,Share of Total,nearest_neighbors,5
2,0.544,0.337,1.0,Share of Total,nearest_neighbors,7
2,0.543,0.337,0.995,Share of Total,nearest_neighbors,6
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,5
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
2,0.542,0.333,1.0,Share of Total,nearest_neighbors,10
2,0.542,0.333,1.0,Share of Total,nearest_neighbors,8
2,0.542,0.333,1.0,Share of Total,nearest_neighbors,9
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,10
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,5
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,6
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,7
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,8
2,0.519,0.328,1.0,TF-IDF,nearest_neighbors,9
2,0.513,0.322,1.0,TF-IDF,nearest_neighbors,4
2,0.521,0.314,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,10
2,0.521,0.314,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,6
2,0.521,0.314,0.997,Share of Top 30 (L1 Norm),nearest_neighbors,4
3,0.342,0.2,1.0,L2 Normalization,nearest_neighbors,4
3,0.342,0.199,1.0,L2 Normalization,nearest_neighbors,9
3,0.341,0.199,1.0,L2 Normalization,nearest_neighbors,10
3,0.334,0.195,1.0,L2 Normalization,nearest_neighbors,6
3,0.331,0.193,1.0,L2 Normalization,nearest_neighbors,8
3,0.327,0.191,1.0,L2 Normalization,nearest_neighbors,5
3,0.339,0.189,1.0,Share of Total,nearest_neighbors,5
3,0.324,0.189,0.956,L2 Normalization,nearest_neighbors,7
3,0.335,0.188,0.982,Share of Total,nearest_neighbors,9
3,0.323,0.187,1.0,Share of Total,nearest_neighbors,10
3,0.334,0.186,1.0,Share of Total,nearest_neighbors,8
3,0.333,0.186,1.0,Share of Total,nearest_neighbors,6
3,0.333,0.186,0.998,Share of Total,nearest_neighbors,7
3,0.317,0.186,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,7
3,0.317,0.186,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,8
3,0.326,0.185,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,10
3,0.326,0.185,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,9
3,0.317,0.185,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,6
3,0.316,0.184,1.0,TF-IDF,nearest_neighbors,4
3,0.309,0.181,1.0,TF-IDF,nearest_neighbors,9
3,0.327,0.179,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,5
3,0.312,0.178,1.0,Share of Total,nearest_neighbors,4
3,0.303,0.177,1.0,TF-IDF,nearest_neighbors,10
3,0.299,0.177,1.0,Share of Top 30 (L1 Norm),nearest_neighbors,4
3,0.294,0.172,1.0,TF-IDF,nearest_neighbors,8
3,0.281,0.167,1.0,TF-IDF,nearest_neighbors,7
3,0.269,0.161,1.0,TF-IDF,nearest_neighbors,6
3,0.268,0.16,1.0,TF-IDF,nearest_neighbors,5
4,0.276,0.162,1.0,L2 Normalization,nearest_neighbors,10
4,0.272,0.161,1.0,L2 Normalization,nearest_neighbors,6
4,0.272,0.161,1.0,L2 Normalization,nearest_neighbors,8
4,0.272,0.161,1.0,L2 Normalization,nearest_neighbors,9
4,0.265,0.158,1.0,L2 Normalization,nearest_neighbors,4
4,0.26,0.154,1.0,Share of Total,nearest_neighbors,7
4,0.26,0.154,1.0,Share of Total,nearest_neighbors,8
