Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.4780860186504301,5.551115123125783e-17,0.29882161067289387,5.551115123125783e-17,1.4085738170377946,0.0,1.0,0.0,-724506.0720886275,1.1641532182693481e-10,-733281.7282405022,1.1641532182693481e-10
3,0.26811339422797353,6.606789377474123e-05,0.15942653424500436,5.5464933403859944e-05,1.8509952815533024,0.00026399718518943505,0.9991738094185727,0.005783334069991594,-731039.8146084716,34.41079432654694,-744204.4960608608,34.41079432654694
4,0.2936974267813213,0.006796721681450831,0.17678222561527762,0.003752400464968418,1.6593246386293674,0.035798764098614884,0.9921570281802184,0.054900802738471165,-731720.3639964104,24.684105057969486,-749274.0707493144,24.684105057969482
5,0.2564135406716363,0.02642023182323063,0.1538605602546332,0.016216249343872148,1.7083504214420053,0.0889960695716918,0.6657007126008295,0.1474869700867008,-729644.0243505377,366.2644856549869,-751586.7564039559,366.2644856549869
6,0.22918303848823063,0.03185098748351384,0.13576625624284966,0.020135817164352067,1.755667781910011,0.09190149347832227,0.6247337030142707,0.13432290050225942,-726466.379311121,451.42135819428233,-752798.136665054,451.42135819428233
7,0.2237559333527032,0.04216704017850755,0.1324710994689393,0.025132753008558283,1.7093153621511559,0.10836627335035474,0.6041878165170754,0.11778614922243281,-722487.3718204637,492.45808016533306,-753208.1544749108,492.4580801653331
8,0.20755564566431273,0.025615566425186573,0.12156125872053662,0.015112397854851621,1.7072068822257223,0.09047150839700545,0.606462266020528,0.11152282362150337,-717927.8904994996,400.1168240517802,-753037.6984544615,400.1168240517802
9,0.19057257695334698,0.024062816305399654,0.11163179411144819,0.013810523367548747,1.6977727330707173,0.09055774481954405,0.5854515637844461,0.10946868231583871,-712774.2428578075,406.01361159027533,-752273.0761132846,406.01361159027533
10,0.1876872331313755,0.02258332654769246,0.1098454130553935,0.013101454483081877,1.6824691184177043,0.11154691724488196,0.5736532526671441,0.09640558955863338,-707496.7585790398,401.68274632118874,-751384.6171350309,401.68274632118874
11,0.1745030430897361,0.026627643894382807,0.10292854707083869,0.015307969044045503,1.656829694668027,0.1201978342101274,0.5416238867013411,0.08841336393484461,-701964.7518611391,371.60943525183063,-750241.6357176448,371.60943525183063
12,0.17763791819735147,0.024287165228187305,0.10458504327340468,0.013827496744849854,1.5888972575758769,0.10313795530668754,0.5575558966160327,0.08547350452706495,-696255.1958850158,461.2994729410253,-748921.1050420357,461.2994729410253
13,0.16716881351397309,0.02464280019113074,0.09898330569947943,0.014243778200384215,1.5812463387167557,0.09369785674826236,0.5420224419521312,0.07847719882234257,-690304.7111341554,529.7444874061164,-747359.6455916902,529.7444874061164
14,0.17584001327814733,0.03007959488963516,0.10409420096305336,0.017341853561005448,1.4841246633586826,0.09061761815444475,0.5338031136612373,0.08184111884689184,-684165.9914554645,487.06385273944534,-745609.951213514,487.06385273944534
