Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.47564895792992623,5.551115123125783e-17,0.2953699250477268,0.0,1.4193340838566106,4.440892098500626e-16,1.0,0.0,-418202.77404636855,0.0,-422596.58824519237,1.1641532182693481e-10
3,0.37992992222576033,0.0034349278091048534,0.22934425927587612,0.0030236555925791117,1.4639887367630382,0.025505080993787482,0.897132768782195,0.0763624072659363,-428439.8521088854,65.40134749590707,-435031.7706316986,65.40134749590707
4,0.3758013539730023,0.00011855808595125879,0.2281747544489084,7.708196912815372e-06,1.3496842072547932,0.0020785712093988047,0.9876182348227189,0.018433343370309406,-437643.5295841265,28.744594214642373,-446433.55243092886,28.74459421464237
5,0.37625137908826084,0.00851612229041919,0.22728535126994573,0.005283550376093264,1.199141476444009,0.09068013535121115,0.9145796943205521,0.07133273132948853,-441856.82561531453,400.5593689914404,-452844.95278610627,400.5593689914404
6,0.3483649531859539,0.012470732494607383,0.20815571101246141,0.007821659820374631,1.2950266268171382,0.07755820656488088,0.7772126625084214,0.10827902985925081,-444159.9818571254,367.1706407339422,-457346.21335190645,367.1706407339423
7,0.3388128163598062,0.02384047205191664,0.20156279641885377,0.01398347297057126,1.3046124770056795,0.09767430481153866,0.7437751395227344,0.10949842942757511,-446210.0675551605,608.383768361208,-461594.40337393095,608.383768361208
8,0.3077122850786638,0.02412711079947824,0.18327577572672513,0.014005987552029569,1.3318511498934162,0.10337643524791962,0.6659645236738782,0.10121196388851761,-447430.3103759352,941.4978373876947,-465012.7505186948,941.4978373876949
9,0.2937711673679736,0.022935195878460306,0.17397727388224243,0.013203646359459182,1.3119147237996536,0.10573344862332835,0.6149194879899113,0.09888825954139797,-448680.55960831477,975.017445281028,-468461.10407506383,975.0174452810279
10,0.2784347723839424,0.025757889996757488,0.1639624083827081,0.014270572236109202,1.3165421283193484,0.08904743545282155,0.5828769222471173,0.10269825789721236,-449608.510537252,1039.122554570617,-471587.15932799026,1039.1225545706172
11,0.26877832826490755,0.02511063693357147,0.1585596917381772,0.014297392095998777,1.2841492376686867,0.07655386820985935,0.5793838220970962,0.09630827923031302,-450853.81771131995,1178.8790225493865,-475030.57082604745,1178.8790225493865
12,0.2627806778560991,0.025715283294920035,0.15450713078116807,0.01438923924410915,1.2561994469600775,0.07321367357212356,0.5508843351940725,0.09715727871216878,-452133.7303121151,1164.629627345416,-478508.58775083197,1164.629627345416
13,0.2528522640772841,0.026023711118575585,0.1489604838856523,0.014234109479816853,1.2215543626998162,0.06978642374150233,0.5500126739723232,0.10108581256316716,-453101.670220415,1305.4967911122626,-481674.63198312116,1305.4967911122626
14,0.25348878041446293,0.021816350167809723,0.14942951092663256,0.012349449340758956,1.1997809267665343,0.05753835563395774,0.5555957924789066,0.09507468597171925,-454394.11824898125,1127.4846790503534,-485165.1843356767,1127.4846790503532
