Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.47374585286180354,0.09176498112777294,0.29864991660195483,0.05156671137335556,1.2946100646322984,0.15929343872457408,0.8175004806122346,0.3508299863812663,1010458.7859813592,9.572822205463325,434.6380065858411,9.572822205463327
3,0.37847120840925386,0.03997486126413239,0.232550055329531,0.024908703477657942,1.3533082094922038,0.1948004864440738,0.6650591837504243,0.264257387873862,1013881.3979976597,15.287336943913552,1661.5401480515661,15.287336943913552
4,0.36050517345882904,0.025859134963041302,0.21820955725832508,0.015822463946403867,1.2940622642791235,0.1699547606498691,0.7801067656321968,0.1366477569785457,1017283.2131655985,27.650243584910076,2867.645441155628,27.65024358491008
5,0.34895611038530466,0.036535724263770684,0.21008959491607193,0.0225545059114933,1.2595946879823128,0.13298813680773783,0.6775691181561959,0.19804400044366038,1020744.8244550771,20.30427962515683,4133.54685579965,20.30427962515683
6,0.33540592149764525,0.026206382063872203,0.2004298549157256,0.015610082268275526,1.3032951451444341,0.09725578626777477,0.7021819705987251,0.1535833617625214,1024188.1067869997,24.94284831838239,5381.119312887497,24.942848318382392
7,0.32650135165822675,0.022147054089139546,0.1940119561994062,0.013271983386847859,1.3117211599667544,0.09807479373092391,0.6997894117020683,0.11125128039681645,1027623.3705270663,23.43167792552844,6620.67317811958,23.43167792552844
8,0.3055223847753164,0.029695330509788925,0.1805087524629465,0.0170732618185522,1.343365916730165,0.10151040890381345,0.6792808702116867,0.12040342086755773,1031059.3485081734,32.73212933877758,7860.941284392003,32.73212933877758
9,0.2869730892728555,0.02550939325060852,0.16912953324432922,0.014655926334855266,1.3698520301881958,0.13064935071864167,0.611890569065956,0.11561146200799773,1034508.5849986564,29.302412077445087,9114.467900040347,29.302412077445087
10,0.2750930358615014,0.024769829346404867,0.16169042224468855,0.014016859697616242,1.3547148187902882,0.104187703255628,0.5720567391830833,0.10959537443845534,1037950.8944868105,35.3710031017927,10361.067513360062,35.3710031017927
11,0.2617665999521248,0.022722809874859005,0.15364782275343997,0.012491368224457046,1.3399811236382382,0.10055603214924863,0.5548664810098078,0.10476374121566019,1041391.8795934835,34.70819547702891,11606.342745198206,34.70819547702891
12,0.25783371133257654,0.0230549078904917,0.15114495549101345,0.012740618707661877,1.3246708809413503,0.09332906836821517,0.5321127417055709,0.09692335200640045,1044828.9412817829,39.62947870216212,12847.694558663285,39.62947870216212
13,0.2540621166058859,0.02220562599317575,0.14856161861150097,0.012386485559756891,1.2907630070931726,0.08736106296308747,0.5366152027952682,0.09420312669479036,1048274.3159147096,35.75538613289645,14097.359316754946,35.75538613289645
14,0.24781444121694565,0.018895918896504146,0.14524948476003283,0.010815678603577758,1.2777523888711,0.07860863894244459,0.5306481696054108,0.09162059308631962,1051718.3347429603,37.54774605024472,15345.668270171047,37.5477460502535
