Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5213523826471897,1.1102230246251565e-16,0.33643935189668606,5.551115123125783e-17,1.2952270095136154,2.220446049250313e-16,1.0,0.0,-828523.3017156002,1.1641532182693481e-10,-837298.9578674749,1.1641532182693481e-10
3,0.36753614457503225,1.6653345369377348e-16,0.2100101741198199,2.7755575615628914e-17,1.5965678577169846,2.432376777795247e-16,1.0,0.0,-824056.2008043173,3.4924596548080444e-10,-837220.8822567059,1.1641532182693481e-10
4,0.34192183466583864,0.0031276640421850845,0.19337700252516263,0.0017813604215664138,1.516314558531355,0.010246600780754669,0.9301207340453832,0.05952711003341522,-818198.4564151568,19.495467520806844,-835752.1631680604,19.49546752080684
5,0.32054807148527126,0.012917107229693447,0.1864567649860567,0.009557647217275207,1.5585468052251246,0.05394304644356013,0.7510941096372744,0.15235063971086688,-811870.5770233655,42.687494921513895,-833813.3090767837,42.687494921513895
6,0.3415065926927554,0.01502015566448581,0.19503271581570022,0.00693482622006742,1.5047984915758073,0.040420659716533934,0.8692603866449176,0.07992644503735666,-805376.851654919,57.10958934685016,-831708.6090088518,57.10958934685016
7,0.3045496294792587,0.019033390188106146,0.17914592330977236,0.010068236435821642,1.5448171220390063,0.08370655179210629,0.7305533062085272,0.10515078788179424,-798443.906145728,101.82254666860004,-829164.6888001753,101.82254666860004
8,0.26804591024470026,0.015582607119200944,0.16513143963187166,0.011398678266731677,1.5432062925812269,0.08426616384183894,0.7614296732637218,0.08386237127748089,-791414.1940880567,118.38330191678912,-826524.0020430189,118.38330191678914
9,0.24846657683878953,0.019447890095252433,0.151816556653812,0.014195498748033303,1.5486234619130483,0.08952948426878897,0.6806461832168182,0.08546143725520289,-784085.097008105,105.82156294312871,-823583.9302635819,105.82156294312873
10,0.24308235586075252,0.019314517811301984,0.1482035074473025,0.016183236806028362,1.5044270228419834,0.1105935833343157,0.6341750534228452,0.08717554162677153,-776730.7905716635,98.91487522669487,-820618.6491276547,98.91487522669487
11,0.23486579515757763,0.020476860877108427,0.14563295783459984,0.01563557367945533,1.4754961432845248,0.09505353182744956,0.593583879394365,0.08741784864342764,-769351.4230753673,95.67133104130824,-817628.306931873,95.67133104130824
12,0.23508409133775424,0.022567814835065616,0.14545392883898503,0.017118997068326498,1.4200539773155405,0.09206774061107587,0.5728917397698317,0.08856159361333366,-761963.4717523039,100.56750181836522,-814629.3809093243,100.56750181836522
13,0.2317777422273914,0.024982815428582085,0.14339266108066645,0.01638964456134618,1.3949990679435,0.10586014989760627,0.5454421987646395,0.08624341963271041,-754560.2363516788,96.10652853299018,-811615.1708092141,96.10652853299018
14,0.23680469531059956,0.019757584299503264,0.14816576421172364,0.01229014030692575,1.3200037198742138,0.08546695253937263,0.5563465677389299,0.08262604193508252,-747187.0582724579,117.8236664182523,-808631.0180305073,117.8236664182523
