Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5134391123767869,0.0,0.3198426813239936,5.551115123125783e-17,1.3747515515649982,4.440892098500626e-16,1.0,0.0,-1436761.3973767096,0.0,-1444852.2410703485,6.984919309616089e-10
3,0.34083087706666954,1.6653345369377348e-16,0.19030297655301814,5.551115123125783e-17,1.6860816643054162,2.220446049250313e-16,1.0,0.0,-1447186.6464295944,2.3283064365386963e-10,-1459324.109194629,2.3283064365386963e-10
4,0.3282472372168671,0.002748174384286755,0.1810298569980838,0.001719589758074008,1.5653352170123696,0.009043388550476877,0.9508498011194325,0.05941175122287712,-1453644.7226961297,111.7319531300077,-1469828.8045325608,111.7319531300077
5,0.31599605329180214,0.0013623969094558213,0.1768563086072896,0.0006535185967269183,1.631976529476088,0.004404769881695814,0.9955005327200467,0.01511533914719279,-1454536.1562633854,5.847896057412153,-1474766.857171213,5.847896057412153
6,0.3283433702910692,0.0037025303277787936,0.17626532317223706,0.001954404328115144,1.5632401915457528,0.02110362501542023,0.9418574643072762,0.03841272595314617,-1454793.01825423,162.54773287578664,-1479070.338233454,162.54773287578664
7,0.3054426462924212,0.019504762939523242,0.1720811888960406,0.006531980401936342,1.4912359879428252,0.07624849513066088,0.8682158462761222,0.07550462069102712,-1453012.0348634303,338.21056750599195,-1481335.9739140505,338.21056750599195
8,0.2803885799368999,0.02202676200338069,0.16652961801549457,0.006920807089754689,1.4367750813719422,0.07075759210248676,0.8125747533783833,0.08465372812013068,-1451044.2939239822,391.50430968770837,-1483414.852045999,391.50430968770837
9,0.24663423048324185,0.02879053842358557,0.16090836787890733,0.00680878602974077,1.4035933556275058,0.05295438733182351,0.7566052843846366,0.08706704941920149,-1448634.6309752231,396.0846217158325,-1485051.8081686362,396.0846217158325
10,0.22195607075999899,0.023456603983964375,0.1579376273685611,0.00639263883242163,1.3939653333379685,0.05350967694497451,0.7269707654225361,0.0917158190532061,-1445970.7254960602,435.1422748908189,-1486434.5217608695,435.1422748908189
11,0.21899438694711315,0.015393477682769304,0.15608075423929954,0.005473001570948992,1.3789975343367749,0.04951838427929373,0.7129772397195753,0.08653168715146892,-1442918.1997628848,421.62332546655875,-1487428.6150990904,421.62332546655335
12,0.22292229222757498,0.015315172100513847,0.15363704034268685,0.006357382226642676,1.3858043911944946,0.05946211836008533,0.7057943318736047,0.08807124054933703,-1439687.5362001345,378.1222047144335,-1488244.5706077365,378.12220471443345
13,0.22371154164686488,0.014189732067075531,0.15074555280529517,0.0065277407650344435,1.3945013956695882,0.059385710833178895,0.6699945964436356,0.08930391106752764,-1435902.9784447292,439.0733250005686,-1488506.6319237275,439.0733250005686
14,0.21911430013717212,0.013720922262314736,0.14806126029022054,0.00814664039185777,1.3637743318561535,0.07455562992184335,0.6600867139495743,0.09140803991170385,-1431835.4462054977,386.5374703990845,-1488485.7187558925,386.53747039908455
