Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.48096300537104847,0.09990659209936228,0.30632412814279364,0.06881500724801874,1.2770985210781818,0.1496740398424164,0.8319269565217391,0.3774711037090782,987329.8854052465,9.169834854526082,-22694.262569527385,9.169834854526082
3,0.4101765778560186,0.045136853260536555,0.2600211090352696,0.04169492125757749,1.330549840508084,0.2325460980781647,0.6950938309088236,0.23158371822874382,991029.6994293187,43.1984859462002,-21190.15842028987,43.1984859462002
4,0.3703166921474829,0.014762575303679883,0.2194463479053628,0.009270107737653537,1.262062188286905,0.0985920362018867,0.7981411324942084,0.16061473389709677,994718.2799422673,29.95432375663703,-19697.287782175626,29.954323756637034
5,0.3425441391934848,0.027916758324905214,0.20247083240896682,0.016943604580191663,1.261861374089913,0.09550536502781219,0.6436357864142843,0.16827609693295803,998457.3247392953,24.647185717392727,-18153.95285998218,24.64718571739273
6,0.33152977979652737,0.024490548646121497,0.1966849053563145,0.014655855653356713,1.247513119699572,0.08737734593262816,0.6738585315714691,0.18893293678931647,1002188.3973749387,23.51418187308533,-16618.590099173212,23.514181873085327
7,0.32561366101388217,0.025051342706694093,0.19286952967989957,0.014301429450119049,1.2518346727023313,0.0693287876529119,0.7200107035648773,0.1346514668276327,1005917.1946010222,18.82378060375623,-15085.502747924726,18.82378060375623
8,0.31981842079056244,0.023391237110079045,0.1875787840926564,0.01536020534127651,1.2782832868689273,0.08038086835767093,0.7437158634288143,0.10994794690571061,1009643.9915471105,23.960810309040642,-13554.415676670826,23.960810309040642
9,0.2928069081473989,0.030452846930342375,0.17494650591539987,0.014069184165697007,1.295962170185507,0.09731857889286462,0.6823637741947475,0.11240568176357227,1013378.593666304,26.543301373080308,-12015.52343231181,26.5433013730803
10,0.2704809565625941,0.029154647287560016,0.16408418633403055,0.01297857232826764,1.3122664080353845,0.1068140076600743,0.6461693215564817,0.10102224323508403,1017115.0592177659,26.774973855235093,-10474.767755684683,26.774973855235093
11,0.25838550264611315,0.02508952580555983,0.1566928080205509,0.013037711592825687,1.2812745867235145,0.09387798153748146,0.5850814952193146,0.10110340098201376,1020854.2462710064,28.51340290303438,-8931.290577278709,28.51340290303437
12,0.24603545396004825,0.028928934034745224,0.151620960577556,0.015448176548471712,1.2879634719086572,0.09358217294257358,0.5531546557703702,0.10055779376437989,1024592.7524868718,28.903454480181658,-7388.4942362481615,28.903454480181654
13,0.23953580070386718,0.025716223129332468,0.149090843457059,0.012936395420857439,1.2836393817629246,0.09392345137397082,0.5304187409237007,0.09536115334906514,1028334.2202349039,30.17593257123014,-5842.736363050757,30.175932571230135
14,0.23658968983444217,0.026162481265837034,0.14793372287252615,0.01442638659181878,1.251093337425383,0.08993664711792869,0.5459943761905649,0.098348078727954,1032068.1505846663,34.15350236074001,-4304.515888122654,34.15350236074001
