Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5213523826471896,1.1102230246251565e-16,0.3616086722863643,1.6653345369377348e-16,1.2626518475225956,2.220446049250313e-16,1.0,0.0,-857603.060064983,1.1641532182693481e-10,-866378.7162168578,2.3283064365386963e-10
3,0.3673662125993456,5.551115123125783e-17,0.20871110533212373,2.7755575615628914e-17,1.5498451494987118,4.440892098500626e-16,1.0,0.0,-851151.8321234749,9.468098953789823e-06,-864316.5135758637,9.468098954090415e-06
4,0.3523923268705196,0.008705836128589915,0.19768438003261554,0.0056815678500498025,1.4660436971482897,0.024026611061328515,0.9252102198803377,0.0712125442402778,-843925.8042752659,5.835748070336702,-861479.5110281694,5.835748070336702
5,0.3303727595530437,0.002498649975304077,0.19452611751508475,0.0008705885330699615,1.501789572305371,0.011639839708571492,0.9834569838444176,0.018997843644140446,-836672.5193588458,5.566643037728317,-858615.251412264,5.566643037728317
6,0.36008489066220156,0.003504985286835407,0.20190413530502418,0.0021620022885835534,1.4785477323638778,0.02760171172319003,0.9651547649609079,0.030454856948204576,-829209.5972801733,12.91002953156966,-855541.3546341063,12.910029531569657
7,0.3308925111897367,0.011780677084512475,0.18965391822198582,0.00716053797429652,1.4481022454219123,0.056670578655089655,0.91198037085858,0.06399631261604277,-821575.5855550467,24.467439986700445,-852296.3682094942,24.467439986700445
8,0.3196298023116807,0.01384783711913888,0.18450341780118254,0.010459926941261695,1.37921310215163,0.08411910686948422,0.8502469563470404,0.08718050551364016,-813915.9726608188,22.911086786911433,-849025.7806157809,22.911086786911433
9,0.29469003972185165,0.01744277048717458,0.17060370309549963,0.009053719576290914,1.4120461192918983,0.08593855420575697,0.7537680919956044,0.08909641117622516,-806197.3371595158,31.411162015862846,-845696.1704149921,31.411162015862843
10,0.27700597721561865,0.017017576122046622,0.16033681951687673,0.009149906572131425,1.4529983995181188,0.0721207283043908,0.685029110377989,0.08771787367008892,-798430.2181876636,27.776255491583374,-842318.0767436546,27.776255491583374
11,0.2627809333258335,0.014296855970867082,0.15231250296920312,0.008265183894473907,1.444053149058065,0.048550994044109695,0.6449933400078844,0.09733953464094079,-790652.6351368242,30.35551933085754,-838929.5189933302,30.355519330857543
12,0.25537949872086557,0.015571100339388052,0.14604199928994,0.009355902298109488,1.409106515413229,0.06120080811139314,0.5924908804715545,0.09545665710426025,-782850.281473912,29.54773902314416,-835516.1906309325,29.54773902314416
13,0.2527729664530249,0.015321885585855238,0.14469482986690926,0.008328229918641229,1.373825948762244,0.056274193576823006,0.6016609075008081,0.0926678521250996,-775056.2059921336,31.926129797562485,-832111.1404496686,31.926129797562485
14,0.2509595709883927,0.017284349677490575,0.14309377705698295,0.009456635977819604,1.338728135480839,0.06391492815751312,0.5807612548364309,0.0905042273483357,-767234.7133619902,31.637812065526937,-828678.6731200395,31.63781206552694
