Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.523551961875921,0.0,0.36727488542169545,5.551115123125783e-17,1.2478543672492317,2.220446049250313e-16,1.0,0.0,-837332.775220283,1.758407867542503e-08,-841726.5894191065,1.7590228002983595e-08
3,0.36716531739136404,1.1102230246251565e-16,0.21199402906858353,5.551115123125783e-17,1.5437971322921558,4.440892098500626e-16,1.0,0.0,-839200.9771314142,0.10506021916255909,-845792.8956542272,0.10506021916255905
4,0.37397674400101155,2.2174850703469567e-05,0.20876032669368755,1.0437540181712351e-05,1.4153867193746503,0.0016643335859323287,0.999289530466376,0.0049732867353681305,-839524.5825042976,0.4541743833693099,-848314.6053511,0.45417438336930976
5,0.3699332935321839,0.000467920017541732,0.2171850731278199,0.00028032281006261665,1.4088052978336199,0.0027388648272180295,0.9985868469860192,0.009892071097866325,-838648.9269811735,0.41773415048564017,-849637.0541519651,0.41773415048564017
6,0.3509072544928844,0.00741956849987984,0.19845174432084967,0.001248359677820149,1.3986578261348273,0.01554853957563492,0.9198771926903455,0.05178115265714913,-836610.4299285507,20.752243702253374,-849796.6614233319,20.752243702253377
7,0.33646471490913865,0.004023900003526549,0.19593992429728757,0.002533983331811222,1.261742755018402,0.03044325136126668,0.9269553410422834,0.05240945719074283,-834487.0669273667,19.510830498219274,-849871.4027461371,19.510830498219274
8,0.34637814751371687,0.005283296894379992,0.20571316676666296,0.003031907040490074,1.230975876366814,0.02603222798117779,0.9720088266660583,0.03155598699340088,-832264.6371570814,13.196180336576623,-849847.0772998412,13.19618033657662
9,0.31421430865650785,0.00937374769463989,0.18559952692701068,0.004976164270786038,1.3227377928634962,0.0524867682354924,0.8612212469848145,0.07421670042978262,-829342.6211603287,26.755205212071907,-849123.1656270778,26.755205212071907
10,0.29949956633337005,0.012313895527100462,0.17643222153366797,0.0076009674045035835,1.3685646239489764,0.04079317678389047,0.8242715960611865,0.08184297562525501,-826353.5310764335,47.50479869772804,-848332.1798671721,47.504798697728035
11,0.28169713372295807,0.01115151480592501,0.16398059402618392,0.006077132956413304,1.3742752958602913,0.05817339978256827,0.7469898323801611,0.09074476746849608,-823229.5120159293,49.42919629223585,-847406.2651306568,49.4291962922392
12,0.2710317610989531,0.012392532446193701,0.15808187465649928,0.006532984168627223,1.3466325274077826,0.06153170549239882,0.6894387872917809,0.09428080284479756,-820050.3124946104,59.84771113923577,-846425.1699333272,59.847711139235756
13,0.26722676885137897,0.012967366186669858,0.1556653672282639,0.005310619042231391,1.3344380470075308,0.056906440965717245,0.6905800465244909,0.0962988706681678,-816869.3121657462,71.31100119482684,-845442.2739284524,71.31100119482684
14,0.2688169214490584,0.014300492234444155,0.15531605923252303,0.00627009614153135,1.3098735961664985,0.05467839564813565,0.7035230566957881,0.09927666882180115,-813618.2563258954,97.07369161621527,-844389.322412591,97.07369161621527
