Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.5302086092908362,2.220446049250313e-16,0.38323322746278654,5.551115123125783e-17,1.1453824412931874,0.0,1.0,0.0,973449.8689537491,1.1641532182693481e-10,-36574.279021024595,7.275957614183426e-12
3,0.48798712702473745,0.015733712424680153,0.35332402695345067,0.015717949767535176,0.9725793964700926,0.16150814129068244,0.9006636952118006,0.10965937549988715,977245.9291144116,36.662049644444636,-34973.92873519655,36.662049644444636
4,0.3807128388904833,0.020538862323500752,0.23200465597703637,0.031992438127265044,1.1797330084591087,0.0861592420484578,0.6792559587049815,0.217624887809472,981147.1815241127,19.93964162459841,-33268.38620032981,19.939641624598405
5,0.33974455346295385,0.020873999764767098,0.20509005419941206,0.01846660863799816,1.2089543698563079,0.10401153132666197,0.6825071950555396,0.16114437452610586,985031.3252709588,14.862057430969136,-31579.95232831854,14.862057430969136
6,0.33273015946910467,0.0217653262368766,0.20480556293179142,0.01692359785363965,1.164973645728564,0.0751482890611223,0.710197411114344,0.20194685125776776,988920.3791145326,16.289471409974,-29886.60835957956,16.289471409974
7,0.3274760169583807,0.02165285872639283,0.19623254912606508,0.012410486311234991,1.2018006944051127,0.07743669638667174,0.7439294942578675,0.14181533867507606,992816.4114190235,13.512197136726348,-28186.285929923113,13.51219713672635
8,0.30944903387436073,0.027237872183979748,0.18416191714278707,0.014941512961275619,1.2461462468526978,0.09337460098932605,0.7030774903238901,0.12314913008864313,996708.8154380837,15.314527887162617,-26489.59178569763,15.314527887162617
9,0.2899171950016081,0.03432951347907538,0.17152349687101523,0.017667218224566555,1.2533434783730697,0.08654485279679416,0.6483490844994746,0.13198038213945001,1000610.0752896602,15.925959901076876,-24784.041808955702,15.925959901076878
10,0.26949845791918947,0.029101804504111612,0.16013629503306934,0.014554905461595918,1.2697934255529626,0.09979186805480639,0.6130438818098028,0.11380800125928453,1004511.3562525841,18.50228139371161,-23078.47072086635,18.50228139371161
11,0.26007201819259845,0.024016068759133147,0.1532401299545291,0.012437136365525023,1.2756725488300933,0.0792563500917078,0.5769149552168374,0.11169238422728174,1008412.8798582526,18.176740685504768,-21372.65699003244,18.176740685504768
12,0.24715117006034723,0.0209752464517748,0.14657791088542252,0.01036251264207994,1.2683694972787343,0.08842445226718376,0.5492961088840493,0.10041636084365485,1012319.9971129037,17.477693227216385,-19661.249610216062,17.477693227216385
13,0.23536881417738578,0.023145810491461364,0.14001099482364934,0.010535762956159139,1.2708492051456606,0.07119994324222607,0.5386342905281607,0.09595535669370547,1016220.1779729438,21.479991964449006,-17956.77862501083,21.479991964449006
14,0.23524322435428613,0.020783130431905928,0.13806631726189086,0.01015006968807872,1.231689403179789,0.08454097520331019,0.5332406871154038,0.09597185913146104,1020125.9287111282,19.865698219258356,-16246.737761660734,19.865698219258356
