Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.18520233643398892,0.0,0.10545842328108783,5.551115123125783e-17,2.6259697686226406,4.440892098500626e-16,1.0,0.0,-628608.5059080833,1.1641532182693481e-10,-637384.1620599574,2.3283064365386963e-10
3,0.21228160711697114,0.0016601782581708718,0.12405557832694161,0.0008419564535108788,2.1165266113255017,0.016897503507520423,0.956080904939322,0.07037210893912228,-654598.5319215138,183.4251307954817,-667763.2133739032,183.4251307954817
4,0.23501562871817303,0.016617584678474788,0.13871779829254569,0.009952191715124471,1.8358219388753017,0.07553633046003332,0.8318658170982541,0.17594636028001034,-667153.4247524932,315.6118889253506,-684707.1315053968,315.6118889253506
5,0.21004467700695137,0.024102945017436078,0.12514869780095325,0.01546426318064921,1.9858581461986904,0.12482226878931438,0.5979433100954388,0.15663620275947265,-671320.3373442825,684.0408515993472,-693263.0693977007,684.0408515993472
6,0.20622138130158876,0.020781054687178304,0.12443700729022593,0.013574807883978544,1.973911024968359,0.07468085896305375,0.7070343186882725,0.18215809499184502,-674615.0225029017,755.5979363068993,-700946.7798568346,755.5979363068993
7,0.1783770953866535,0.028728922824204795,0.10540453910428696,0.015372881654692508,1.9431874555507773,0.14244467183844056,0.5616264064752085,0.13755826742050437,-674508.7789608437,799.5448057531213,-705229.561615291,799.5448057531213
8,0.16776867633793927,0.02659170563424258,0.09844249963346527,0.014645243252098102,1.9015134084557301,0.127244744184597,0.5481024617485103,0.09949982038451399,-672915.2979721182,838.6700113215487,-708025.1059270803,838.6700113215487
9,0.1496031805252638,0.0258223778456502,0.08748776250479494,0.014451878595341167,1.911471618591859,0.12742974687217085,0.5329006095008703,0.09582445418725948,-670736.6076562396,759.7467287246066,-710235.4409117161,759.7467287246066
10,0.14209332008044875,0.02218626310722297,0.08339431113954694,0.012354477818935696,1.8956726159010417,0.12255224183661181,0.5134172216208189,0.09153581645888698,-667786.7784717765,876.6891008424933,-711674.6370277675,876.6891008424933
11,0.13481025356490947,0.021465499356210577,0.0794082689787396,0.012022583794584298,1.8519264871831416,0.12462346093320283,0.5104098753395494,0.09100761466613824,-664276.9751987987,752.5419769330338,-712553.8590553047,752.5419769330338
12,0.1296410360515871,0.022729345445147216,0.07683630891263536,0.012535779245617627,1.8003528889450673,0.12222939496201615,0.5045815258877483,0.09049272821104666,-660380.717932395,742.1659437720788,-713046.6270894152,742.1659437720788
13,0.13140326420853,0.02261198460918103,0.07763553664796585,0.012346116352492808,1.7460780051483553,0.10751846207550748,0.5185485741073077,0.0915048282926102,-655994.376380722,937.2610121603376,-713049.3108382571,937.2610121603377
14,0.12644183606520581,0.024018071885462934,0.07491467815661546,0.013368444895087013,1.695216848994288,0.10311997989108966,0.5043337122681726,0.09100118301334588,-651443.1521908374,986.6864117204524,-712887.111948887,986.6864117204525
