Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.33648661442520506,0.14478599298124506,0.21483896400019442,0.08402886406415713,1.2152994817816158,0.4392768286772704,0.3060386119978717,0.4722149253634868,1015430.9669040123,22.066633165039683,5406.818929238859,22.066633165039683
3,0.37776791884322763,0.054295209072052535,0.2314521155688695,0.036076840330109744,1.3895840334250453,0.22135396377317432,0.6835721821964774,0.26331030357017376,1018766.6279648275,21.222184769597252,6546.770115219045,21.222184769597252
4,0.32822999995166163,0.020173143718960406,0.19445106662883646,0.011131447889626517,1.40149831087328,0.0999905564521338,0.7510629452324922,0.16688414308704078,1022092.1195021169,14.20790934885697,7676.551777674064,14.207909348856973
5,0.30024514269536534,0.02031272549616017,0.17745654698229402,0.011976490506900828,1.4640431737449056,0.1523749771526616,0.6995302929468998,0.14125715069107375,1025446.188907057,27.58705560835222,8834.911307779517,27.58705560835222
6,0.2961697412363497,0.021465074319639215,0.17454234663822732,0.012550426549985692,1.439710280693498,0.13959555897623369,0.6363382471475875,0.1637060463152869,1028805.1592369019,32.435922194539536,9998.17176278986,32.435922194539536
7,0.2906919216553221,0.020810315880575993,0.17026963519157032,0.012244752050448246,1.3952012877006095,0.11978786689632431,0.651649210202054,0.14192027148977318,1032144.9813910392,33.24964642433916,11142.28404209265,33.24964642433917
8,0.287432571548604,0.023788878176002864,0.16756899516000467,0.014010231362133167,1.3929441031819625,0.10383768939145702,0.6932034681970641,0.13024116768135138,1035501.7169114557,29.52900421597517,12303.309687674326,29.529004215975174
9,0.27625269251842627,0.02485086536611658,0.16097498663051837,0.01434554338074963,1.3741303920133854,0.08940293878756263,0.6777026487572041,0.11768480394715411,1038844.3348346752,36.909185924236404,13450.217736059269,36.909185924236404
10,0.2618817969255738,0.026182385304343237,0.15215850015646143,0.015177702711052107,1.3694179955408998,0.09914699542263214,0.6275717487807292,0.12598400140985383,1042193.3519794182,35.8035938463291,14603.525005967722,35.80359384632909
11,0.25077058751058057,0.02762540868435185,0.14567562172053886,0.0152605942610662,1.3609907782354325,0.09598668204588415,0.601365895222372,0.12025210673641366,1045550.5135156524,33.589424201422574,15764.976667367431,33.589424201422574
12,0.23983648218537035,0.028538397071344035,0.1391506933551315,0.015913789557279255,1.337982414672575,0.10300291665330598,0.5759088870128041,0.11325197550641046,1048903.409197388,40.6466780669815,16922.162474268196,40.6466780669903
13,0.2336247119380923,0.02574404661701533,0.1353965250330499,0.014334081789439436,1.3353741013244294,0.10096539566691493,0.5620652119473029,0.10384181446256113,1052252.2898823041,33.30537626222109,18075.333284349515,33.30537626221503
14,0.2284704759765021,0.025179811349819226,0.13247213549029221,0.013988071429830343,1.2967857683409967,0.09032732828682266,0.5568548930935445,0.1017697322483714,1055596.110080113,40.910683357068045,19223.443607323865,40.91068335706643
