k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.521,0.362,1.0,-866378.716,-857603.06,Share of Total
2,0.521,0.336,1.0,-837298.958,-828523.302,Share of Top 30 (L1 Norm)
2,0.478,0.299,1.0,-733281.728,-724506.072,L2 Normalization
2,0.185,0.105,1.0,-637384.162,-628608.506,TF-IDF
3,0.368,0.21,1.0,-837220.882,-824056.201,Share of Top 30 (L1 Norm)
3,0.367,0.209,1.0,-864316.514,-851151.832,Share of Total
3,0.268,0.159,0.999,-744204.496,-731039.815,L2 Normalization
3,0.212,0.124,0.956,-667763.213,-654598.532,TF-IDF
4,0.352,0.198,0.925,-861479.511,-843925.804,Share of Total
4,0.342,0.193,0.93,-835752.163,-818198.456,Share of Top 30 (L1 Norm)
4,0.294,0.177,0.992,-749274.071,-731720.364,L2 Normalization
4,0.235,0.139,0.832,-684707.132,-667153.425,TF-IDF
5,0.33,0.195,0.983,-858615.251,-836672.519,Share of Total
5,0.321,0.186,0.751,-833813.309,-811870.577,Share of Top 30 (L1 Norm)
5,0.256,0.154,0.666,-751586.756,-729644.024,L2 Normalization
5,0.21,0.125,0.598,-693263.069,-671320.337,TF-IDF
6,0.36,0.202,0.965,-855541.355,-829209.597,Share of Total
6,0.342,0.195,0.869,-831708.609,-805376.852,Share of Top 30 (L1 Norm)
6,0.229,0.136,0.625,-752798.137,-726466.379,L2 Normalization
6,0.206,0.124,0.707,-700946.78,-674615.023,TF-IDF
7,0.331,0.19,0.912,-852296.368,-821575.586,Share of Total
7,0.305,0.179,0.731,-829164.689,-798443.906,Share of Top 30 (L1 Norm)
7,0.224,0.132,0.604,-753208.154,-722487.372,L2 Normalization
7,0.178,0.105,0.562,-705229.562,-674508.779,TF-IDF
8,0.32,0.185,0.85,-849025.781,-813915.973,Share of Total
8,0.268,0.165,0.761,-826524.002,-791414.194,Share of Top 30 (L1 Norm)
8,0.208,0.122,0.606,-753037.698,-717927.89,L2 Normalization
8,0.168,0.098,0.548,-708025.106,-672915.298,TF-IDF
9,0.295,0.171,0.754,-845696.17,-806197.337,Share of Total
9,0.248,0.152,0.681,-823583.93,-784085.097,Share of Top 30 (L1 Norm)
9,0.191,0.112,0.585,-752273.076,-712774.243,L2 Normalization
9,0.15,0.087,0.533,-710235.441,-670736.608,TF-IDF
10,0.277,0.16,0.685,-842318.077,-798430.218,Share of Total
10,0.243,0.148,0.634,-820618.649,-776730.791,Share of Top 30 (L1 Norm)
10,0.188,0.11,0.574,-751384.617,-707496.759,L2 Normalization
10,0.142,0.083,0.513,-711674.637,-667786.778,TF-IDF
11,0.263,0.152,0.645,-838929.519,-790652.635,Share of Total
11,0.235,0.146,0.594,-817628.307,-769351.423,Share of Top 30 (L1 Norm)
11,0.175,0.103,0.542,-750241.636,-701964.752,L2 Normalization
11,0.135,0.079,0.51,-712553.859,-664276.975,TF-IDF
12,0.255,0.146,0.592,-835516.191,-782850.281,Share of Total
12,0.235,0.145,0.573,-814629.381,-761963.472,Share of Top 30 (L1 Norm)
12,0.178,0.105,0.558,-748921.105,-696255.196,L2 Normalization
12,0.13,0.077,0.505,-713046.627,-660380.718,TF-IDF
13,0.253,0.145,0.602,-832111.14,-775056.206,Share of Total
13,0.232,0.143,0.545,-811615.171,-754560.236,Share of Top 30 (L1 Norm)
13,0.167,0.099,0.542,-747359.646,-690304.711,L2 Normalization
13,0.131,0.078,0.519,-713049.311,-655994.376,TF-IDF
14,0.251,0.143,0.581,-828678.673,-767234.713,Share of Total
14,0.237,0.148,0.556,-808631.018,-747187.058,Share of Top 30 (L1 Norm)
14,0.176,0.104,0.534,-745609.951,-684165.991,L2 Normalization
14,0.126,0.075,0.504,-712887.112,-651443.152,TF-IDF
