k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.524,0.367,1.0,-841726.589,-837332.775,Share of Total
2,0.513,0.32,1.0,-1444852.241,-1436761.397,Share of Top 30 (L1 Norm)
2,0.476,0.295,1.0,-422596.588,-418202.774,L2 Normalization
2,0.409,0.249,1.0,-399012.423,-394618.609,TF-IDF
3,0.38,0.229,0.897,-435031.771,-428439.852,L2 Normalization
3,0.367,0.212,1.0,-845792.896,-839200.977,Share of Total
3,0.341,0.19,1.0,-1459324.109,-1447186.646,Share of Top 30 (L1 Norm)
3,0.33,0.195,1.0,-409611.191,-403019.273,TF-IDF
4,0.376,0.228,0.988,-446433.552,-437643.53,L2 Normalization
4,0.374,0.209,0.999,-848314.605,-839524.583,Share of Total
4,0.328,0.181,0.951,-1469828.805,-1453644.723,Share of Top 30 (L1 Norm)
4,0.316,0.187,0.957,-418226.393,-409436.37,TF-IDF
5,0.376,0.227,0.915,-452844.953,-441856.826,L2 Normalization
5,0.37,0.217,0.999,-849637.054,-838648.927,Share of Total
5,0.322,0.189,0.87,-424829.845,-413841.717,TF-IDF
5,0.316,0.177,0.996,-1474766.857,-1454536.156,Share of Top 30 (L1 Norm)
6,0.351,0.198,0.92,-849796.661,-836610.43,Share of Total
6,0.348,0.208,0.777,-457346.213,-444159.982,L2 Normalization
6,0.328,0.176,0.942,-1479070.338,-1454793.018,Share of Top 30 (L1 Norm)
6,0.299,0.175,0.742,-429241.318,-416055.087,TF-IDF
7,0.339,0.202,0.744,-461594.403,-446210.068,L2 Normalization
7,0.336,0.196,0.927,-849871.403,-834487.067,Share of Total
7,0.305,0.172,0.868,-1481335.974,-1453012.035,Share of Top 30 (L1 Norm)
7,0.296,0.173,0.726,-433724.703,-418340.367,TF-IDF
8,0.346,0.206,0.972,-849847.077,-832264.637,Share of Total
8,0.308,0.183,0.666,-465012.751,-447430.31,L2 Normalization
8,0.28,0.167,0.813,-1483414.852,-1451044.294,Share of Top 30 (L1 Norm)
8,0.273,0.16,0.667,-437505.748,-419923.308,TF-IDF
9,0.314,0.186,0.861,-849123.166,-829342.621,Share of Total
9,0.294,0.174,0.615,-468461.104,-448680.56,L2 Normalization
9,0.258,0.151,0.645,-440951.374,-421170.83,TF-IDF
9,0.247,0.161,0.757,-1485051.808,-1448634.631,Share of Top 30 (L1 Norm)
10,0.299,0.176,0.824,-848332.18,-826353.531,Share of Total
10,0.278,0.164,0.583,-471587.159,-449608.511,L2 Normalization
10,0.241,0.141,0.605,-444003.902,-422025.253,TF-IDF
10,0.222,0.158,0.727,-1486434.522,-1445970.725,Share of Top 30 (L1 Norm)
11,0.282,0.164,0.747,-847406.265,-823229.512,Share of Total
11,0.269,0.159,0.579,-475030.571,-450853.818,L2 Normalization
11,0.239,0.139,0.583,-447093.17,-422916.417,TF-IDF
11,0.219,0.156,0.713,-1487428.615,-1442918.2,Share of Top 30 (L1 Norm)
12,0.271,0.158,0.689,-846425.17,-820050.312,Share of Total
12,0.263,0.155,0.551,-478508.588,-452133.73,L2 Normalization
12,0.223,0.154,0.706,-1488244.571,-1439687.536,Share of Top 30 (L1 Norm)
12,0.22,0.129,0.544,-450314.314,-423939.457,TF-IDF
13,0.267,0.156,0.691,-845442.274,-816869.312,Share of Total
13,0.253,0.149,0.55,-481674.632,-453101.67,L2 Normalization
13,0.224,0.151,0.67,-1488506.632,-1435902.978,Share of Top 30 (L1 Norm)
13,0.208,0.122,0.539,-453471.985,-424899.023,TF-IDF
14,0.269,0.155,0.704,-844389.322,-813618.256,Share of Total
14,0.253,0.149,0.556,-485165.184,-454394.118,L2 Normalization
14,0.219,0.148,0.66,-1488485.719,-1431835.446,Share of Top 30 (L1 Norm)
14,0.207,0.121,0.539,-456668.681,-425897.615,TF-IDF
