Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.5123821750469455,0.0,0.3279654467338958,1.1102230246251565e-16,1.3241688290034974,0.0,1.0,0.0,0.3889150200093425,0.0
3,0.4130382416783043,0.0001277582634821176,0.24382110852628863,0.0002693429200780275,1.434902783654845,0.00552066021042298,0.9975414870006856,0.009837219673937239,0.323232386619271,1.9356554397289563e-05
4,0.38318791769383,0.0024479733731962083,0.21779267169701538,0.0013901209413924353,1.4165598351406887,0.017229638510404155,0.9675051658192758,0.030231152916655762,0.27814141066891707,2.201631749243166e-05
5,0.3664090040939514,0.0010063376108421715,0.2119923363384187,0.0005246219169902711,1.4311594896128566,0.00585599159203177,0.9897049849005739,0.024916664887103784,0.24886634809194533,2.4576810082839018e-05
6,0.34457238923380173,0.01315443179705467,0.20481921799954267,0.0027048830635257167,1.394829624281683,0.04408941767124144,0.8870778749355172,0.08948826952807225,0.2296425317007542,0.0003088118825996781
7,0.32200997090770866,0.018029597788729264,0.19059683664119137,0.010890790816104478,1.4317066277263373,0.06227687581433893,0.844523624064957,0.07763265919036923,0.2132515732609618,0.0007446283705345054
8,0.31571890757016113,0.0213289050388725,0.18916693622004443,0.011710781423169555,1.3357182801070377,0.07196264148248463,0.8115253782397072,0.09066601361018292,0.19907110515363105,0.0010890790231790348
9,0.2734757207249278,0.0233964508464253,0.1788056377243298,0.00951070064282938,1.3553390471778952,0.06942537812160023,0.7063306365374241,0.09981898630824844,0.18814098696881376,0.0009274913786502223
10,0.25773997760568657,0.017528002331994034,0.17165944537742103,0.00923558725316119,1.3633056055391117,0.06157455540541416,0.6427972418667174,0.09585317017392854,0.17842623202990246,0.000996405508373864
11,0.2569208567017316,0.020086932568688688,0.1689974929687432,0.00923889644316005,1.366182423086577,0.056020332808388244,0.6340359685792984,0.09115586620069167,0.16919869295093723,0.001151738121430879
12,0.25562386135398074,0.014789497420259345,0.16678619669081507,0.00860111702434847,1.351964588472702,0.05052438611210503,0.6244208978607955,0.09118821047749154,0.1610141764412142,0.000947183671262486
13,0.25327296613680716,0.016237885384493896,0.16428934347832114,0.008830281402375371,1.33638213265574,0.05183515398894615,0.6144157251686615,0.08526721436083681,0.1536574585672592,0.0008609460636447606
14,0.25568662035288164,0.018714105960492583,0.1642834602269209,0.009643701154192991,1.3009541714596602,0.0746251190928267,0.6148216577872435,0.08639197427341916,0.14669722446334563,0.0009158668377572588
