Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,0.4581993342243311,1.1102230246251565e-16,0.2818087994252059,0.0,1.527251595452125,0.0,1.0,0.0,19.409483372767507,3.552713678800501e-15
3,0.3588178262419078,0.0011097622810785975,0.21195881132864203,0.0006533049366410092,1.610413384882436,0.007395016488819967,0.9763583186193434,0.03980219497075866,16.355258801311678,0.0009670821040370544
4,0.32295009594324725,0.0010007317874418304,0.19258697974696382,0.0006860215430719537,1.5678328642804957,0.004837822339103992,0.9917259945690217,0.02285026822251648,14.311856333795753,0.004650648034445638
5,0.31070403206181507,0.004542011120717864,0.18241518119755754,0.0026794395211834922,1.5892459688161722,0.023152316550930616,0.8897579501218503,0.05787489096270787,13.163290300570566,0.015049538328207613
6,0.3218108233835274,0.004743331730193628,0.18913080460165144,0.0026797605797335275,1.578887979380808,0.02525590467060727,0.904377455691029,0.04395947921173526,12.162807565378454,0.014000366525696605
7,0.31299014047771884,0.01023121215871685,0.18292126986332047,0.006276969420634058,1.4476410137198499,0.07844365741128974,0.8656439969750857,0.058264967309424785,11.519049246099412,0.03589087292191562
8,0.28841709904027957,0.015929585798683168,0.16755375951655618,0.00975109261597152,1.5111857000045703,0.0810759207238318,0.7922230934436909,0.08709388582474964,10.962229703497421,0.048328150880077796
9,0.2667889444903484,0.02334576122378753,0.15453498693776224,0.013604321509929206,1.4934413573995715,0.11078813239881352,0.6868912265845788,0.10394101372869878,10.468458448513507,0.05277678696730122
10,0.24453464891024607,0.022327028082932524,0.14153015547649528,0.012560213285780494,1.5217885399691407,0.12054399249973931,0.6192750628163394,0.1088705337039306,10.000844208303203,0.04717196988022743
11,0.23745928000353,0.022699959848051864,0.13738019854115627,0.012526073712725237,1.474440338850025,0.1070903172122697,0.5987835987940615,0.1014429273131591,9.561217266552227,0.04521593237786685
12,0.23152327941945317,0.020841819269700728,0.1337391918315108,0.01130738921593987,1.437334075798954,0.10532285276034355,0.5820510208417692,0.09796867530859635,9.145509231961542,0.05649296250580588
13,0.23065884071632156,0.017368110126371492,0.13301365781968275,0.009798058316173747,1.3870508414072815,0.07804063530772623,0.5831162135438851,0.09407570606935146,8.719378059586084,0.056699478950057836
14,0.2279276243500522,0.01541400682472785,0.1313408122736163,0.008639814519233187,1.356932195333761,0.07870106632752986,0.5981806033725711,0.09289018597571416,8.320152746769391,0.06469427656600826
